# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
ausrüstungsgegenstand	ausrüstung gegenstand	# 3
bedrohungslage	bedrohung lage	# 3
behandlungsmöglichkeit	behandlung möglichkeit	# 3
behandlungsoption	behandlung option	# 3
berufspolitiker	beruf politiker	# 3
berufswunsch	beruf wunsch	# 3
beschreibungstext	beschreibung text	# 3
bevölkerungsdicht	bevölkerung dicht	# 3
bezirksleiter	bezirk leiter	# 3
bildungsbereich	bildung bereich	# 3
bildungsforscher	bildung forscher	# 3
bischofskonferenz	bischof konferenz	# 3
bundesratssitzung	bundesrat sitzung	# 3
bundestagspräsident	bundestag präsident	# 3
entschädigungszahlung	entschädigung zahlung	# 3
entstehungsgeschichte	entstehung geschichte	# 3
entwicklungshilfe	entwicklung hilfe	# 3
entwicklungsphase	entwicklung phase	# 3
erfahrungswert	erfahrung wert	# 3
erfolgsfaktor	erfolg faktor	# 3
erinnerungskultur	erinnerung kultur	# 3
ermittlungsverfahren	ermittlung verfahren	# 3
ernährungsplan	ernährung plan	# 3
ernährungstherapie	ernährung therapie	# 3
ernährungsverhalten	ernährung verhalten	# 3
ernährungsweise	ernährung weise	# 3
evolutionstheorie	evolution theorie	# 3
flüchtlingskind	flüchtling kind	# 3
forschungsarbeit	forschung arbeit	# 3
forschungsgebiet	forschung gebiet	# 3
fraktionsgemeinschaft	fraktion gemeinschaft	# 3
fraktionsvorsitzend	fraktion vorsitzend	# 3
friedensmission	frieden mission	# 3
friedensplan	frieden plan	# 3
führungsschicht	führung schicht	# 3
führungsstil	führung stil	# 3
geburtstagsgeschenk	geburtstag geschenk	# 3
gemeinschaftssinn	gemeinschaft sinn	# 3
gerichtsentscheidung	gericht entscheidung	# 3
gerichtsprozess	gericht prozess	# 3
geschäftsordnung	geschäft ordnung	# 3
geschäftsreis	geschäft reis	# 3
geschäftstermin	geschäft termin	# 3
gesellschaftssystem	gesellschaft system	# 3
gesellschaftswissenschaft	gesellschaft wissenschaft	# 3
gesichtsform	gesicht form	# 3
gesteinsplanet	gestein planet	# 3
gewerkschaftsbund	gewerkschaft bund	# 3
glücksgefühl	glück gefühl	# 3
glückshormon	glück hormon	# 3
handelsbeziehung	handel beziehung	# 3
handelsfirma	handel firma	# 3
handelsnetzwerk	handel netzwerk	# 3
identitätsbildung	identität bildung	# 3
infektionsrisiko	infektion risiko	# 3
informationsquelle	information quelle	# 3
informationstechnik	information technik	# 3
informationszeitalter	information zeitalter	# 3
kriegsflüchtling	krieg flüchtling	# 3
kriegsgefahr	krieg gefahr	# 3
kriegsheld	krieg held	# 3
kriegskunst	krieg kunst	# 3
kriegskurs	krieg kurs	# 3
kriegsminister	krieg minister	# 3
kriegsproduktion	krieg produktion	# 3
kriegsrecht	krieg recht	# 3
kriegsreporter	krieg reporter	# 3
königsindisch	könig indisch	# 3
lebenshaltung	leben haltung	# 3
lebenskünstler	leben künstler	# 3
lebenslage	leben lage	# 3
lebensmittelpunkt	leben mittelpunkt	# 3
lieblingshobby	liebling hobby	# 3
lieblingslehrerin	liebling lehrerin	# 3
lieblingsmensch	liebling mensch	# 3
lieblingsmusik	liebling musik	# 3
lieblingssorte	liebling sorte	# 3
lieblingsspiel	liebling spiel	# 3
lieblingssüssigkeit	liebling süssigkeit	# 3
lieblingsthema	liebling thema	# 3
lieblingsverschwörungstheorie	liebling verschwörung theorie	# 3
mannschaftssport	mannschaft sport	# 3
mehrheitsverhältnis	mehrheit verhältnis	# 3
meinungsäusserung	meinung äusserung	# 3
mitgliedschaftsseite	mitgliedschaft seite	# 3
mittagstisch	mittag tisch	# 3
mittelsmann	mittel mann	# 3
nahrungsversorgung	nahrung versorgung	# 3
nutzungsgrad	nutzung grad	# 3
organisationsstruktur	organisation struktur	# 3
orientierungshilfe	orientierung hilfe	# 3
orientierungssinn	orientierung sinn	# 3
parlamentsmehrheit	parlament mehrheit	# 3
persönlichkeitsentwicklung	persönlichkeit entwicklung	# 3
positionspapier	position papier	# 3
produktionsfirma	produktion firma	# 3
rechtsabteilung	recht abteilung	# 3
rechtsklick	recht klick	# 3
rechtssprache	recht sprache	# 3
rechtsterrorismus	recht terrorismus	# 3
regierungsmehrheit	regierung mehrheit	# 3
regierungsprogramm	regierung programm	# 3
regierungstruppe	regierung truppe	# 3
regierungsviertel	regierung viertel	# 3
regierungswechsel	regierung wechsel	# 3
reichsbahn	reich bahn	# 3
reichsgebiet	reich gebiet	# 3
reichsgericht	reich gericht	# 3
reichsverfassung	reich verfassung	# 3
schwangerschaftsbericht	schwangerschaft bericht	# 3
sendungsnummer	sendung nummer	# 3
sicherheitsbewertung	sicherheit bewertung	# 3
sicherheitsexperte	sicherheit experte	# 3
sicherheitsfrage	sicherheit frage	# 3
sicherheitsinteresse	sicherheit interesse	# 3
sicherheitskontrolle	sicherheit kontrolle	# 3
sicherheitsleute	sicherheit leute	# 3
sicherheitsmassnahme	sicherheit massnahme	# 3
sicherheitspersonal	sicherheit personal	# 3
sicherheitsrisiko	sicherheit risiko	# 3
sicherheitsstandard	sicherheit standard	# 3
sicherheitsstrategie	sicherheit strategie	# 3
sicherheitszone	sicherheit zone	# 3
staatsangehörige	staat angehörige	# 3
staatsführung	staat führung	# 3
stellungskrieg	stellung krieg	# 3
stimmungsbild	stimmung bild	# 3
teufelszeug	teufel zeug	# 3
unionsarmee	union armee	# 3
unsicherheitsfaktor	unsicherheit faktor	# 3
urlaubsreise	urlaub reise	# 3
urteilsvermögen	urteil vermögen	# 3
verfassungsänderung	verfassung änderung	# 3
vergleichswert	vergleich wert	# 3
verkehrsministerium	verkehr ministerium	# 3
verkehrsnetz	verkehr netz	# 3
verkehrssicherheitsrat	verkehr sicherheitsrat	# 3
verkehrsteilnehmer	verkehr teilnehmer	# 3
verlaufsform	verlauf form	# 3
verletzungsmuster	verletzung muster	# 3
versicherungsleistung	versicherung leistung	# 3
verteidigungsstrategie	verteidigung strategie	# 3
vertragsarbeiter	vertrag arbeiter	# 3
vertrauensperson	vertrauen person	# 3
verwaltungsaufwand	verwaltung aufwand	# 3
volksaufstand	volk aufstand	# 3
volkskörper	volk körper	# 3
volkswirtschaftslehre	volk wirtschaft lehre	# 3
wettbewerbsnachteil	wettbewerb nachteil	# 3
wettbewerbsvorteil	wettbewerb vorteil	# 3
wirtschaftsaufschwung	wirtschaft aufschwung	# 3
wirtschaftsfaktor	wirtschaft faktor	# 3
wirtschaftsministerium	wirtschaft ministerium	# 3
wirtschaftsordnung	wirtschaft ordnung	# 3
wirtschaftsthema	wirtschaft thema	# 3
wohnungslage	wohnung lage	# 3
zerfallsprozess	zerfall prozess	# 3
zulassungsbehörde	zulassung behörde	# 3
zulassungsverfahren	zulassung verfahren	# 3
zustandsveränderung	zustand veränderung	# 3
zustimmungsfall	zustimmung fall	# 3
überraschungsangriff	überraschung angriff	# 3
abhängigkeitsverhältnis	abhängigkeit verhältnis	# 2
abschiedsfeier	abschied feier	# 2
abschnittsgruppe	abschnitt gruppe	# 2
achtungserfolg	achtung erfolg	# 2
adelsherrschaft	adel herrschaft	# 2
adelstitel	adel titel	# 2
aktionsgruppe	aktion gruppe	# 2
aktivitätsniveau	aktivität niveau	# 2
alltagsdeutsch	alltag deutsch	# 2
alltagspolitik	alltag politik	# 2
altersgrund	alter grund	# 2
anerkennungsstelle	anerkennung stelle	# 2
anfangspunkt	anfang punkt	# 2
anfangsverdacht	anfang verdacht	# 2
angebotsspektrum	angebot spektrum	# 2
angriffsfläche	angriff fläche	# 2
angriffsplan	angriff plan	# 2
angriffstermin	angriff termin	# 2
arbeitsauftrag	arbeit auftrag	# 2
arbeitsblatt	arbeit blatt	# 2
arbeitskollegin	arbeit kollegin	# 2
arbeitsleistung	arbeit leistung	# 2
arbeitslohn	arbeit lohn	# 2
arbeitsmethode	arbeit methode	# 2
arbeitssituation	arbeit situation	# 2
arbeitstier	arbeit tier	# 2
armutszeugnis	armut zeugnis	# 2
aufforderungssatz	aufforderung satz	# 2
aufklärungsarbeit	aufklärung arbeit	# 2
ausbildungsform	ausbildung form	# 2
ausbildungsstelle	ausbildung stelle	# 2
ausgangsbedingung	ausgang bedingung	# 2
ausgangsstoff	ausgang stoff	# 2
auslandserfahrung	ausland erfahrung	# 2
auslandsgeheimdienst	ausland geheimdienst	# 2
auslandsreise	ausland reise	# 2
bedarfsgemeinschaft	bedarf gemeinschaft	# 2
bedeutungsgruppe	bedeutung gruppe	# 2
bedeutungskategorie	bedeutung kategorie	# 2
bedrohungsschutz	bedrohung schutz	# 2
bedrohungsszenario	bedrohung szenario	# 2
befehlsgewalt	befehl gewalt	# 2
beitragsjahr	beitrag jahr	# 2
beobachtungsstelle	beobachtung stelle	# 2
berechnungsmethode	berechnung methode	# 2
bereichsleiter	bereich leiter	# 2
berufsbild	beruf bild	# 2
berufsbildung	beruf bildung	# 2
berufskrankheit	beruf krankheit	# 2
berufslehre	beruf lehre	# 2
berufsmusiker	beruf musiker	# 2
berufspraktikum	beruf praktikum	# 2
berufstraum	beruf traum	# 2
berufsverband	beruf verband	# 2
berufsverbot	beruf verbot	# 2
berufsverkehr	beruf verkehr	# 2
betriebsausgabe	betrieb ausgabe	# 2
betriebswirtschaft	betrieb wirtschaft	# 2
bevölkerungsanteil	bevölkerung anteil	# 2
bevölkerungspyramide	bevölkerung pyramide	# 2
bevölkerungsschicht	bevölkerung schicht	# 2
bevölkerungsstudie	bevölkerung studie	# 2
bewegungsangebot	bewegung angebot	# 2
bewegungsaspekt	bewegung aspekt	# 2
bewegungsmangel	bewegung mangel	# 2
bewegungsrichtung	bewegung richtung	# 2
beziehungsaspekt	beziehung aspekt	# 2
beziehungsstatus	beziehung status	# 2
bezugswort	bezug wort	# 2
bildungsbürger	bildung bürger	# 2
bildungsminister	bildung minister	# 2
bildungsniveau	bildung niveau	# 2
bildungspolitiker	bildung politiker	# 2
bildungsreise	bildung reise	# 2
bildungsschicht	bildung schicht	# 2
bildungsstatus	bildung status	# 2
bindungsfrist	bindung frist	# 2
botschaftsgebäude	botschaft gebäude	# 2
bundestagswahlprogramm	bundestag wahlprogramm	# 2
chipstüte	chip tüte	# 2
chipsverpackung	chip verpackung	# 2
definitionssache	definition sache	# 2
diskussionsrund	diskussion rund	# 2
diskussionsthema	diskussion thema	# 2
einführungsveranstaltung	einführung veranstaltung	# 2
eingangstest	eingang test	# 2
einheitsfront	einheit front	# 2
einheitspartei	einheit partei	# 2
einrichtungsgeschäft	einrichtung geschäft	# 2
emissionsquelle	emission quelle	# 2
emissionswert	emission wert	# 2
entscheidungsprozess	entscheidung prozess	# 2
entscheidungsreihe	entscheidung reihe	# 2
entwicklungsarbeit	entwicklung arbeit	# 2
entwicklungskosten	entwicklung kosten	# 2
entwicklungspolitik	entwicklung politik	# 2
erfahrungswirklichkeit	erfahrung wirklichkeit	# 2
erfolgschance	erfolg chance	# 2
erfolgserlebnis	erfolg erlebnis	# 2
erfolgskonzept	erfolg konzept	# 2
erfolgsrezept	erfolg rezept	# 2
erfolgsstory	erfolg story	# 2
ermittlungserfolg	ermittlung erfolg	# 2
ermittlungsmethode	ermittlung methode	# 2
ernährungsberater	ernährung berater	# 2
ernährungsgewohnheit	ernährung gewohnheit	# 2
ernährungspolitik	ernährung politik	# 2
ernährungsstudie	ernährung studie	# 2
ernährungssystem	ernährung system	# 2
ernährungswissenschaft	ernährung wissenschaft	# 2
erwartungshaltung	erwartung haltung	# 2
eskalationsstufe	eskalation stufe	# 2
essenskultur	essen kultur	# 2
essensrest	essen rest	# 2
essenssache	essen sache	# 2
flüchtlingszahl	flüchtling zahl	# 2
forschungsbeispiel	forschung beispiel	# 2
forschungsfrag	forschung frag	# 2
forschungsfrage	forschung frage	# 2
forschungsgemeinschaft	forschung gemeinschaft	# 2
forschungsschwerpunkt	forschung schwerpunkt	# 2
forschungsstation	forschung station	# 2
forschungsteam	forschung team	# 2
fraktionssitzung	fraktion sitzung	# 2
freiheitsbewegung	freiheit bewegung	# 2
freiheitskampf	freiheit kampf	# 2
freundschaftsspiel	freundschaft spiel	# 2
friedensabkommen	frieden abkommen	# 2
friedensbedingung	frieden bedingung	# 2
friedenswahl	frieden wahl	# 2
frühlingswetter	frühling wetter	# 2
funktionsweise	funktion weise	# 2
führungsanspruch	führung anspruch	# 2
führungsebene	führung ebene	# 2
führungsoffizier	führung offizier	# 2
führungsperson	führung person	# 2
führungszeugnis	führung zeugnis	# 2
gebietsanspruch	gebiet anspruch	# 2
geburtserfahrung	geburt erfahrung	# 2
geburtsjahr	geburt jahr	# 2
geburtsland	geburt land	# 2
geburtstagskuchen	geburtstag kuchen	# 2
geburtstagslied	geburtstag lied	# 2
gefühlssache	gefühl sache	# 2
gefühlswelt	gefühl welt	# 2
gegenwartsliteratur	gegenwart literatur	# 2
gehaltschance	gehalt chance	# 2
gehaltsstruktur	gehalt struktur	# 2
genehmigungsfähigkeit	genehmigung fähigkeit	# 2
genehmigungsvoraussetzung	genehmigung voraussetzung	# 2
gerichtsgebäude	gericht gebäude	# 2
gerichtspodcast	gericht podcast	# 2
gerichtstermin	gericht termin	# 2
geschlechtsentwicklung	geschlecht entwicklung	# 2
geschlechtsverkehr	geschlecht verkehr	# 2
geschmackssache	geschmack sache	# 2
geschäftsbereich	geschäft bereich	# 2
geschäftsfall	geschäft fall	# 2
geschäftsführung	geschäft führung	# 2
geschäftsleitung	geschäft leitung	# 2
geschäftsstelle	geschäft stelle	# 2
gesellschaftsrecht	gesellschaft recht	# 2
gesichtsmaske	gesicht maske	# 2
gesichtsverlust	gesicht verlust	# 2
gesprächskreis	gespräch kreis	# 2
gesprächsverlauf	gespräch verlauf	# 2
gesundheitsbehörde	gesundheit behörde	# 2
gesundheitsbereich	gesundheit bereich	# 2
gesundheitsbewusstsein	gesundheit bewusstsein	# 2
gesundheitsforschung	gesundheit forschung	# 2
gesundheitsförderung	gesundheit förderung	# 2
gesundheitskompetenz	gesundheit kompetenz	# 2
gesundheitsproblem	gesundheit problem	# 2
gesundheitsreform	gesundheit reform	# 2
gesundheitsrisiko	gesundheit risiko	# 2
gesundheitsversorgung	gesundheit versorgung	# 2
glückskind	glück kind	# 2
glückssache	glück sache	# 2
gründungsgeschichte	gründung geschichte	# 2
gründungsmitglied	gründung mitglied	# 2
gründungsmythos	gründung mythos	# 2
gründungsvertrag	gründung vertrag	# 2
handelsinteresse	handel interesse	# 2
handelskrieg	handel krieg	# 2
handelsnetz	handel netz	# 2
handelsplatz	handel platz	# 2
handelspost	handel post	# 2
handelsschiff	handel schiff	# 2
handelsvorteil	handel vorteil	# 2
handelsware	handel ware	# 2
handelszentrum	handel zentrum	# 2
handlungsanweisung	handlung anweisung	# 2
handlungsweise	handlung weise	# 2
herkunftsregion	herkunft region	# 2
herkunftsstaat	herkunft staat	# 2
herkunftsversion	herkunft version	# 2
herrschaftsform	herrschaft form	# 2
herrschaftsstruktur	herrschaft struktur	# 2
infektionsgefahr	infektion gefahr	# 2
inflationsausgleich	inflation ausgleich	# 2
ingenieurskunst	ingenieur kunst	# 2
inhaltsangabe	inhalt angabe	# 2
inhaltsaspekt	inhalt aspekt	# 2
jugendamtsmitarbeiter	jugendamt mitarbeiter	# 2
karnevalsepisode	karneval episode	# 2
karnevalseröffnung	karneval eröffnung	# 2
karnevalsgesellschaft	karneval gesellschaft	# 2
karnevalszeit	karneval zeit	# 2
koalitionsvereinbarung	koalition vereinbarung	# 2
kommissionspräsident	kommission präsident	# 2
kommunikationskanal	kommunikation kanal	# 2
kommunikationsproblem	kommunikation problem	# 2
konzentrationsfähigkeit	konzentration fähigkeit	# 2
kooperationsverbot	kooperation verbot	# 2
korruptionsvorwurf	korruption vorwurf	# 2
krankheitsrisiko	krankheit risiko	# 2
krankheitswelle	krankheit welle	# 2
kriegsberichterstattung	krieg berichterstattung	# 2
kriegsgefangen	krieg gefangen	# 2
kriegsgericht	krieg gericht	# 2
kriegsgerät	krieg gerät	# 2
kriegsgeschehen	krieg geschehen	# 2
kriegsgeschichte	krieg geschichte	# 2
kriegsgewinn	krieg gewinn	# 2
kriegsgrund	krieg grund	# 2
kriegshandlung	krieg handlung	# 2
kriegsjahr	krieg jahr	# 2
kriegskontext	krieg kontext	# 2
kriegsmonat	krieg monat	# 2
kriegsniederlage	krieg niederlage	# 2
kriegsplan	krieg plan	# 2
kriegssituation	krieg situation	# 2
kriegsszene	krieg szene	# 2
kriegsverlierer	krieg verlierer	# 2
kriegswirtschaft	krieg wirtschaft	# 2
königswahl	könig wahl	# 2
landtagsebene	landtag ebene	# 2
lebensabend	leben abend	# 2
lebensabschnitt	leben abschnitt	# 2
lebensgefühl	leben gefühl	# 2
lebensleistung	leben leistung	# 2
lebenslüge	leben lüge	# 2
lebensmodell	leben modell	# 2
lebensphilosophie	leben philosophie	# 2
lebensumstand	leben umstand	# 2
lebenswerk	leben werk	# 2
lebensziel	leben ziel	# 2
leistungsgesellschaft	leistung gesellschaft	# 2
lieblingsausdruck	liebling ausdruck	# 2
lieblingscafé	liebling café	# 2
lieblingsfeind	liebling feind	# 2
lieblingsmolekül	liebling molekül	# 2
lieblingsname	liebling name	# 2
lieblingspolitikerin	liebling politikerin	# 2
lieblingsrolle	liebling rolle	# 2
lieblingssatz	liebling satz	# 2
lieblingssendung	liebling sendung	# 2
lieblingsstelle	liebling stelle	# 2
lieblingssuppe	liebling suppe	# 2
lösungsmöglichkeit	lösung möglichkeit	# 2
lösungsvorschlag	lösung vorschlag	# 2
mehrheitsmeinung	mehrheit meinung	# 2
meinungsfrage	meinung frage	# 2
meinungssache	meinung sache	# 2
meinungsumfrage	meinung umfrage	# 2
menschheitsverbrechen	menschheit verbrechen	# 2
migrationsraum	migration raum	# 2
missionsbeschreibung	mission beschreibung	# 2
mitgliedsseite	mitglied seite	# 2
mittagssonne	mittag sonne	# 2
monatsangebot	monat angebot	# 2
nachtsmann	nacht mann	# 2
nahrungsangebot	nahrung angebot	# 2
nahrungsaufnahme	nahrung aufnahme	# 2
nahrungspflanze	nahrung pflanze	# 2
nutzungskonflikt	nutzung konflikt	# 2
oppositionsgruppe	opposition gruppe	# 2
oppositionspolitiker	opposition politiker	# 2
ordnungskraft	ordnung kraft	# 2
organisationsform	organisation form	# 2
parlamentsfernsehen	parlament fernsehen	# 2
parlamentsgebäude	parlament gebäude	# 2
persönlichkeitsanalyse	persönlichkeit analyse	# 2
persönlichkeitseigenschaft	persönlichkeit eigenschaft	# 2
poststempel	post tempel	# 2
praktikumsplatz	praktikum platz	# 2
produktionsaufwand	produktion aufwand	# 2
produktionskapazität	produktion kapazität	# 2
prüfungsordnung	prüfung ordnung	# 2
prüfungsrecht	prüfung recht	# 2
publikumsverkehr	publikum verkehr	# 2
qualitätsstandard	qualität standard	# 2
qualitätsware	qualität ware	# 2
reaktionsfähigkeit	reaktion fähigkeit	# 2
reaktionsprodukt	reaktion produkt	# 2
rechtsbruch	recht bruch	# 2
rechtsform	recht form	# 2
rechtsfrage	recht frage	# 2
rechtsgrundlage	recht grundlage	# 2
rechtspopulismus	recht populismus	# 2
rechtssicherheit	recht sicherheit	# 2
rechtsterrorist	recht terrorist	# 2
rechtsunsicherheit	recht unsicherheit	# 2
regensburger	regen burger	# 2
regierungsarbeit	regierung arbeit	# 2
regierungsbefragung	regierung befragung	# 2
regierungsdokument	regierung dokument	# 2
regierungsgebäude	regierung gebäude	# 2
regierungsgewalt	regierung gewalt	# 2
regierungshandel	regierung handel	# 2
regierungsjahr	regierung jahr	# 2
regierungspartner	regierung partner	# 2
regierungsplan	regierung plan	# 2
regierungspolitiker	regierung politiker	# 2
regierungspräsident	regierung präsident	# 2
regierungssprecher	regierung sprecher	# 2
regierungssystem	regierung system	# 2
reichsapfel	reich apfel	# 2
reichsebene	reich ebene	# 2
reichsgründung	reich gründung	# 2
reichspartei	reich partei	# 2
reichspolitik	reich politik	# 2
reichsstadt	reich stadt	# 2
reichstagsbrand	reichstag brand	# 2
religionsunterricht	religion unterricht	# 2
revolutionstruppe	revolution truppe	# 2
richtungsstreit	richtung streit	# 2
rückzugsgebiet	rückzug gebiet	# 2
sanktionssystem	sanktion system	# 2
schicksalsjahr	schicksal jahr	# 2
schiffsunglück	schiff unglück	# 2
schiffsverkehr	schiff verkehr	# 2
schwangerschaftshormon	schwangerschaft hormon	# 2
schwangerschaftstest	schwangerschaft test	# 2
schönheitsempfinden	schönheit empfinden	# 2
schönheitswettbewerb	schönheit wettbewerb	# 2
senatsverwaltung	senat verwaltung	# 2
sicherheitsbeamter	sicherheit beamter	# 2
sicherheitsberater	sicherheit berater	# 2
sicherheitsgefühl	sicherheit gefühl	# 2
sicherheitskonferenz	sicherheit konferenz	# 2
sicherheitsstruktur	sicherheit struktur	# 2
sicherheitssystem	sicherheit system	# 2
siedlungsgebiet	siedlung gebiet	# 2
sonntagsvideo	sonntag video	# 2
staatsausgabe	staat ausgabe	# 2
staatsbürgerin	staat bürgerin	# 2
staatsgeheimnis	staat geheimnis	# 2
staatsmedium	staat medium	# 2
staatspolizei	staat polizei	# 2
staatsschutz	staat schutz	# 2
staatsterritorium	staat territorium	# 2
traditionslinie	tradition linie	# 2
umzugskiste	umzug kiste	# 2
umzugsunternehmen	umzug unternehmen	# 2
unionspolitiker	union politiker	# 2
universumsblock	universum block	# 2
urlaubsantrag	urlaub antrag	# 2
urlaubsfilm	urlaub film	# 2
urlaubsland	urlaub land	# 2
urlaubsvideo	urlaub video	# 2
ursprungsland	ursprung land	# 2
verantwortungsbereich	verantwortung bereich	# 2
verbindungsmann	verbindung mann	# 2
verbindungsstudent	verbindung student	# 2
verbotsprüfung	verbot prüfung	# 2
verbreitungsgeschwindigkeit	verbreitung geschwindigkeit	# 2
verfahrensdauer	verfahren dauer	# 2
verfahrensordnung	verfahren ordnung	# 2
verfassungsorgan	verfassung organ	# 2
verfassungsrichter	verfassung richter	# 2
verhandlungsführer	verhandlung führer	# 2
verhandlungslösung	verhandlung lösung	# 2
verhandlungspartner	verhandlung partner	# 2
verkaufschance	verkauf chance	# 2
verkaufsleiter	verkauf leiter	# 2
verkaufspreis	verkauf preis	# 2
verkehrspolizist	verkehr polizist	# 2
verkehrsraum	verkehr raum	# 2
verkehrssicherheit	verkehr sicherheit	# 2
verkehrssystem	verkehr system	# 2
verkehrsunternehmen	verkehr unternehmen	# 2
verkehrswende	verkehr wende	# 2
verkehrszeichen	verkehr zeichen	# 2
verletzungsrisiko	verletzung risiko	# 2
verpackungsmaterial	verpackung material	# 2
verpackungsmüll	verpackung müll	# 2
versammlungsbehörde	versammlung behörde	# 2
versicherungspflicht	versicherung pflicht	# 2
versorgungslinie	versorgung linie	# 2
versorgungssituation	versorgung situation	# 2
versuchsaufbau	versuch aufbau	# 2
verteidigungsarmee	verteidigung armee	# 2
verteidigungsrede	verteidigung rede	# 2
verteidigungsring	verteidigung ring	# 2
verteidigungsunion	verteidigung union	# 2
vertragsbruch	vertrag bruch	# 2
vertragspartei	vertrag partei	# 2
vertrauensverhältnis	vertrauen verhältnis	# 2
verwaltungsgebäude	verwaltung gebäude	# 2
verwaltungszentrum	verwaltung zentrum	# 2
veränderungsprozess	veränderung prozess	# 2
veränderungswille	veränderung wille	# 2
volksbefragung	volk befragung	# 2
volksbühne	volk bühne	# 2
volksfeind	volk feind	# 2
volksinitiative	volk initiative	# 2
volkskrankheit	volk krankheit	# 2
volkslied	volk lied	# 2
volksmusik	volk musik	# 2
volkspolizei	volk polizei	# 2
vorbereitungszeit	vorbereitung zeit	# 2
vorsichtsmassnahme	vorsicht massnahme	# 2
vorstellungsvideo	vorstellung video	# 2
wanderungsbewegung	wanderung bewegung	# 2
werksgelände	werk gelände	# 2
wettbewerbssituation	wettbewerb situation	# 2
widerstandsfähigkeit	widerstand fähigkeit	# 2
widerstandskraft	widerstand kraft	# 2
wirkungsweise	wirkung weise	# 2
wirtschaftsbereich	wirtschaft bereich	# 2
wirtschaftsbeziehung	wirtschaft beziehung	# 2
wirtschaftsexperte	wirtschaft experte	# 2
wirtschaftsform	wirtschaft form	# 2
wirtschaftsforscher	wirtschaft forscher	# 2
wirtschaftsfrage	wirtschaft frage	# 2
wirtschaftsförderung	wirtschaft förderung	# 2
wirtschaftsgemeinschaft	wirtschaft gemeinschaft	# 2
wirtschaftsinteresse	wirtschaft interesse	# 2
wirtschaftskompetenz	wirtschaft kompetenz	# 2
wirtschaftskraft	wirtschaft kraft	# 2
wirtschaftslage	wirtschaft lage	# 2
wirtschaftspartei	wirtschaft partei	# 2
wirtschaftsrecht	wirtschaft recht	# 2
wirtschaftstätigkeit	wirtschaft tätigkeit	# 2
wirtschaftsunternehmen	wirtschaft unternehmen	# 2
wissensbereich	wissen bereich	# 2
wissenschaftssendung	wissenschaft sendung	# 2
wissenschaftsstandort	wissenschaft standort	# 2
wissenschaftstheorie	wissenschaft theorie	# 2
wissenschaftsverständnis	wissenschaft verständnis	# 2
wissensgesellschaft	wissen gesellschaft	# 2
wohnungsversicherung	wohnung versicherung	# 2
währungspolitik	währung politik	# 2
währungsraum	währung raum	# 2
währungsreform	währung reform	# 2
zahlungsverkehr	zahlung verkehr	# 2
zufallsprinzip	zufall prinzip	# 2
zukunftsaussicht	zukunft aussicht	# 2
zustandspassiv	zustand passiv	# 2
überzeugungskraft	überzeugung kraft	# 2
übungssache	übung sache	# 2
krankenkasse	krank kasse	# 52
missbrauch	miss brauch	# 52
klassenfahrt	klasse fahrt	# 51
muttersprache	mutter sprache	# 50
bürgermeister	bürger meister	# 49
mittelpunkt	mittel punkt	# 49
glückwunsch	glück wunsch	# 47
grundrecht	grund recht	# 46
grundsatzprogramm	grund satz programm	# 46
höhepunkt	höhe punkt	# 46
quizfrage	quiz frage	# 46
süssstoff	süss stoff	# 46
hinterkopf	hinter kopf	# 45
trinkgeld	trink geld	# 45
unterschrift	unter schrift	# 45
videospiel	video spiel	# 45
werteunion	wert union	# 45
grossstadt	gross stadt	# 44
tierversuch	tier versuch	# 44
sonnenlicht	sonne licht	# 43
grosseltern	gross eltern	# 42
menschenrecht	mensch recht	# 42
nachname	nach name	# 42
schlafzimmer	schlaf zimmer	# 42
spitzenkandidat	spitze kandidat	# 42
krankenwagen	krank wagen	# 41
zahnarzt	zahn arzt	# 41
atomkraftwerk	atom kraftwerk	# 40
lichtgeschwindigkeit	licht geschwindigkeit	# 40
nachbarland	nachbar land	# 40
tankstelle	tank stelle	# 40
fremdsprache	fremd sprache	# 39
kanzlerkandidat	kanzler kandidat	# 39
kraftwerk	kraft werk	# 39
aussenpolitik	aussen politik	# 38
jahrtausend	jahr tausend	# 38
lichtjahr	licht jahr	# 38
nachhinein	nach hinein	# 38
atomenergie	atom energie	# 37
hochschule	hoch schule	# 37
kritikpunkt	kritik punkt	# 37
