text,stored_top,stored_expected,stored,n,a_top,a_expected,a,a_tokens,b_top,b_expected,b,b_tokens,model
"Aber ihr könnt uns unterstützen, wenn ihr möchtet.",B1,1.74,"{""C1"": 0.0, ""A1"": 0.04, ""B1"": 0.76, ""B2"": 0.01, ""A2"": 0.19}",59,B1,1.54,"{""B1"": 0.57, ""A2"": 0.37, ""A1"": 0.05, ""B2"": 0.01, ""C1"": 0.0}",493,A2,1.01,"{""A1"": 0.19, ""B1"": 0.18, ""A2"": 0.62, ""B2"": 0.01, ""C1"": 0.0}",156.6,jev-1.13.0
Trotzdem hat sich Kamala Harris für ihn entschieden.,A2,1.76,"{""B2"": 0.22, ""C1"": 0.0, ""A2"": 0.46, ""A1"": 0.0, ""B1"": 0.32}",60,B1,1.8,"{""B1"": 0.6, ""A2"": 0.3, ""A1"": 0.0, ""C1"": 0.0, ""B2"": 0.1}",491,A2,1.28,"{""A1"": 0.03, ""B1"": 0.23, ""A2"": 0.7, ""B2"": 0.04, ""C1"": 0.0}",156.6,jev-1.13.0
"Dieses Leben beginnt allein durch unsere Worte, durch die Bildschirme zu dringen und in jeden einzelnen, der dort sitzt, zu fließen.",C1,3.37,"{""A2"": 0.0, ""A1"": 0.0, ""C1"": 0.51, ""B1"": 0.14, ""B2"": 0.35}",61,C1,3.51,"{""C1"": 0.58, ""B1"": 0.07, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.35}",511,B2,3.0,"{""C1"": 0.3, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.3, ""B2"": 0.4}",159.9,jev-1.13.0
"Wodargs Kritik: ""Da gibt es ein Protokoll, das hat Herr Drosten eingereicht bei der WHO.",B1,2.27,"{""B1"": 0.64, ""B2"": 0.3, ""C1"": 0.01, ""A1"": 0.0, ""A2"": 0.05}",62,B1,2.21,"{""A2"": 0.06, ""A1"": 0.0, ""B1"": 0.68, ""C1"": 0.01, ""B2"": 0.25}",505,A2,1.46,"{""C1"": 0.0, ""B1"": 0.27, ""A1"": 0.01, ""A2"": 0.62, ""B2"": 0.1}",159.9,jev-1.13.0
"Wenn ich loslasse, wirst du nie wieder zu mir zurückkommen, oder?",B1,2.08,"{""A2"": 0.01, ""A1"": 0.0, ""B1"": 0.9, ""C1"": 0.0, ""B2"": 0.09}",63,B1,2.08,"{""A2"": 0.02, ""B1"": 0.88, ""A1"": 0.0, ""C1"": 0.0, ""B2"": 0.1}",498,B1,1.68,"{""C1"": 0.0, ""B1"": 0.65, ""A1"": 0.01, ""A2"": 0.32, ""B2"": 0.02}",159.9,jev-1.13.0
"Und alles, was wir haben, sind bloß Schatten der Menschen, die unsere entfernte Vergangenheit als ihre Gegenwart erlebten.",C1,3.7,"{""C1"": 0.71, ""B1"": 0.01, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.28}",64,C1,3.77,"{""A1"": 0.0, ""B1"": 0.01, ""C1"": 0.78, ""A2"": 0.0, ""B2"": 0.21}",508,B2,2.95,"{""C1"": 0.18, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.23, ""B2"": 0.59}",159.9,jev-1.13.0
Denn dort erfolgt die Kommunikation über Funk.,B1,2.03,"{""B2"": 0.09, ""A2"": 0.04, ""C1"": 0.0, ""A1"": 0.01, ""B1"": 0.86}",65,B1,1.99,"{""C1"": 0.0, ""B2"": 0.08, ""A2"": 0.07, ""A1"": 0.01, ""B1"": 0.84}",487,A2,0.96,"{""C1"": 0.0, ""A2"": 0.63, ""A1"": 0.21, ""B1"": 0.15, ""B2"": 0.01}",159.9,jev-1.13.0
Ich bin Bein von seinem Bein und Fleisch von seinem Fleisch.,C1,2.69,"{""A2"": 0.12, ""A1"": 0.04, ""C1"": 0.37, ""B1"": 0.32, ""B2"": 0.15}",66,C1,2.64,"{""A1"": 0.04, ""C1"": 0.39, ""B2"": 0.11, ""A2"": 0.17, ""B1"": 0.29}",491,B1,1.84,"{""C1"": 0.08, ""A2"": 0.38, ""A1"": 0.03, ""B1"": 0.39, ""B2"": 0.12}",159.9,jev-1.13.0
"Hör zu, ich weiß nicht, was zwischen uns passiert ist.",B1,1.93,"{""A1"": 0.02, ""B2"": 0.01, ""C1"": 0.0, ""B1"": 0.9299999999999999, ""A2"": 0.04}",67,B1,1.98,"{""B2"": 0.06, ""A2"": 0.06, ""B1"": 0.87, ""A1"": 0.01, ""C1"": 0.0}",493,A2,0.91,"{""C1"": 0.0, ""A2"": 0.61, ""A1"": 0.24, ""B1"": 0.15, ""B2"": 0.0}",159.9,jev-1.13.0
Da muss Bonnie Way Williams schon wieder weg gewesen sein.,B2,2.2,"{""A2"": 0.26, ""A1"": 0.0, ""B2"": 0.42, ""B1"": 0.3, ""C1"": 0.02}",68,B1,2.23,"{""C1"": 0.02, ""B2"": 0.38, ""A2"": 0.19, ""A1"": 0.0, ""B1"": 0.41000000000000003}",490,A2,1.36,"{""C1"": 0.0, ""A2"": 0.71, ""A1"": 0.01, ""B1"": 0.19, ""B2"": 0.09}",159.9,jev-1.13.0
"Und hatte so leichte Schmerzen, auch in der Brust.",A2,1.14,"{""C1"": 0.0, ""B1"": 0.13, ""A2"": 0.85, ""A1"": 0.01, ""B2"": 0.01}",69,A2,1.28,"{""C1"": 0.0, ""B2"": 0.01, ""A1"": 0.01, ""B1"": 0.27, ""A2"": 0.71}",490,A2,0.98,"{""C1"": 0.0, ""B1"": 0.07, ""A1"": 0.09, ""A2"": 0.84, ""B2"": 0.0}",159.9,jev-1.13.0
"Die ganze Fülle von ihm, die mich als Geist erfüllt.",C1,3.64,"{""A1"": 0.0, ""B2"": 0.16, ""C1"": 0.74, ""B1"": 0.1, ""A2"": 0.0}",70,C1,3.64,"{""B2"": 0.14, ""A2"": 0.0, ""B1"": 0.11, ""A1"": 0.0, ""C1"": 0.75}",493,B1,2.7,"{""C1"": 0.21, ""B1"": 0.45, ""A1"": 0.0, ""A2"": 0.03, ""B2"": 0.31}",159.9,jev-1.13.0
Und diese Sicht der Dinge hat sich eigentlich bis heute gehalten.,B1,2.23,"{""B2"": 0.28, ""A1"": 0.0, ""B1"": 0.61, ""C1"": 0.02, ""A2"": 0.09}",71,B1,2.23,"{""A2"": 0.07, ""B1"": 0.65, ""A1"": 0.0, ""C1"": 0.02, ""B2"": 0.26}",491,B1,1.64,"{""C1"": 0.0, ""A2"": 0.41, ""A1"": 0.01, ""B1"": 0.51, ""B2"": 0.07}",159.9,jev-1.13.0
"Die USA brennen, könnte man schon sagen.",B1,2.44,"{""B1"": 0.47, ""A2"": 0.04, ""B2"": 0.46, ""A1"": 0.01, ""C1"": 0.02}",72,B1,2.37,"{""A1"": 0.0, ""A2"": 0.07, ""B2"": 0.42, ""C1"": 0.01, ""B1"": 0.5}",490,A2,1.33,"{""C1"": 0.0, ""A2"": 0.54, ""A1"": 0.11, ""B1"": 0.26, ""B2"": 0.09}",159.9,jev-1.13.0
"Ein Apfel ist, sag ich mal, ein klassisches deutsches Produkt.",A1,0.64,"{""A2"": 0.35, ""A1"": 0.51, ""C1"": 0.0, ""B1"": 0.13, ""B2"": 0.01}",73,A2,1.06,"{""C1"": 0.0, ""A1"": 0.27, ""B2"": 0.02, ""B1"": 0.29, ""A2"": 0.42}",496,A2,0.99,"{""C1"": 0.01, ""A2"": 0.61, ""A1"": 0.22, ""B1"": 0.14, ""B2"": 0.02}",159.9,jev-1.13.0
Sie werden nicht mehr in Ihr Kleid passen.,A2,0.98,"{""B2"": 0.02, ""B1"": 0.1, ""C1"": 0.0, ""A1"": 0.16, ""A2"": 0.72}",74,A2,1.12,"{""C1"": 0.0, ""B1"": 0.16, ""A2"": 0.74, ""B2"": 0.02, ""A1"": 0.08}",488,A2,1.1,"{""C1"": 0.0, ""A2"": 0.66, ""A1"": 0.14, ""B1"": 0.16, ""B2"": 0.04}",159.9,jev-1.13.0
Und den brauchen wir auch in diesen Zeiten.,A2,0.82,"{""B2"": 0.01, ""A2"": 0.49, ""C1"": 0.0, ""B1"": 0.15, ""A1"": 0.35}",75,A2,1.1,"{""C1"": 0.0, ""B2"": 0.01, ""A2"": 0.65, ""B1"": 0.21, ""A1"": 0.13}",488,A2,1.18,"{""C1"": 0.0, ""A2"": 0.57, ""A1"": 0.13, ""B1"": 0.29, ""B2"": 0.01}",159.9,jev-1.13.0
"Die Bühne besteht nun aus Raum und Zeit zugleich, und beides ist nicht überall gleich.",C1,3.14,"{""C1"": 0.45999999999999996, ""B1"": 0.32, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.22}",76,C1,3.25,"{""B1"": 0.24, ""A1"": 0.0, ""C1"": 0.49, ""A2"": 0.0, ""B2"": 0.27}",497,B2,2.88,"{""C1"": 0.16, ""B1"": 0.28, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.56}",159.9,jev-1.13.0
"Insgesamt ist das eine schwierige Situation, in der eigentlich nur ein Land vermitteln kann, das keine Interessen in der Region hat.",B2,2.75,"{""B2"": 0.71, ""A1"": 0.0, ""A2"": 0.0, ""B1"": 0.27, ""C1"": 0.02}",77,B2,2.86,"{""B1"": 0.17, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.8, ""C1"": 0.03}",508,B2,2.72,"{""C1"": 0.03, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.31, ""B2"": 0.66}",159.9,jev-1.13.0
"Möglich wäre nur, dass im Rahmen der Ermittlungen Dinge herauskommen, bei denen man sagen muss, es geht nicht anders, Donald Trump muss weg.",B2,3.09,"{""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.91, ""C1"": 0.09, ""B1"": 0.0}",78,B2,3.14,"{""A2"": 0.0, ""B1"": 0.0, ""C1"": 0.14, ""A1"": 0.0, ""B2"": 0.86}",515,B2,3.06,"{""C1"": 0.09, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.03, ""B2"": 0.88}",159.9,jev-1.13.0
"Aber reicht das aus, um unseren Bedarf auch in Zukunft zu decken?",B1,2.16,"{""A2"": 0.03, ""B2"": 0.19, ""C1"": 0.0, ""B1"": 0.78, ""A1"": 0.0}",79,B1,2.18,"{""B2"": 0.2, ""B1"": 0.78, ""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.02}",495,B1,2.27,"{""C1"": 0.01, ""B1"": 0.64, ""A1"": 0.0, ""A2"": 0.05, ""B2"": 0.3}",159.9,jev-1.13.0
Energie kann nicht wirklich verloren gehen.,A2,1.35,"{""A2"": 0.7, ""C1"": 0.0, ""B2"": 0.11, ""B1"": 0.16, ""A1"": 0.03}",80,A2,1.16,"{""B2"": 0.03, ""B1"": 0.15, ""A2"": 0.77, ""A1"": 0.05, ""C1"": 0.0}",488,A2,0.9,"{""C1"": 0.0, ""A2"": 0.65, ""A1"": 0.23, ""B1"": 0.11, ""B2"": 0.01}",159.9,jev-1.13.0
"Bitte, bitte tötet mich nicht.",A1,0.38,"{""A2"": 0.29, ""B2"": 0.01, ""B1"": 0.03, ""A1"": 0.67, ""C1"": 0.0}",81,A1,0.47,"{""A2"": 0.4, ""B1"": 0.02, ""A1"": 0.56, ""B2"": 0.01, ""C1"": 0.0}",488,A1,0.02,"{""A2"": 0.02, ""C1"": 0.0, ""A1"": 0.98, ""B1"": 0.0, ""B2"": 0.0}",157.9,jev-1.13.0
"Der Mann macht man eine schnelle, kräftige Bewegung und berührt die Scheibe mit der Hand.",A2,1.05,"{""A1"": 0.17, ""B1"": 0.2, ""A2"": 0.62, ""C1"": 0.0, ""B2"": 0.01}",82,B1,1.36,"{""B1"": 0.43, ""A2"": 0.44, ""B2"": 0.02, ""A1"": 0.11, ""C1"": 0.0}",502,A2,1.33,"{""A2"": 0.59, ""C1"": 0.01, ""B2"": 0.08, ""B1"": 0.23, ""A1"": 0.09}",157.9,jev-1.13.0
"Unbesiegt im Feld, verraten in der Heimat.",C1,3.65,"{""B1"": 0.08, ""C1"": 0.73, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.19}",83,C1,3.68,"{""B1"": 0.04, ""A2"": 0.0, ""B2"": 0.24, ""A1"": 0.0, ""C1"": 0.72}",491,B1,2.04,"{""A2"": 0.28, ""C1"": 0.1, ""A1"": 0.01, ""B1"": 0.47, ""B2"": 0.14}",157.9,jev-1.13.0
"Vor uns, drüben am Horizont, jenseits vom Inntal, die Tuxer Alpen.",C1,3.03,"{""A2"": 0.06, ""B1"": 0.25, ""C1"": 0.43, ""B2"": 0.25, ""A1"": 0.01}",84,C1,2.68,"{""B2"": 0.18, ""C1"": 0.35, ""A1"": 0.01, ""B1"": 0.28, ""A2"": 0.18}",504,B1,1.99,"{""A2"": 0.25, ""C1"": 0.06, ""B2"": 0.16, ""B1"": 0.51, ""A1"": 0.02}",157.9,jev-1.13.0
"Du bist vor fünfzig Jahren, lieber Erich, als Fremder der Liebe zu deiner Johanna gefolgt.",C1,3.77,"{""A2"": 0.01, ""A1"": 0.0, ""C1"": 0.81, ""B1"": 0.02, ""B2"": 0.16}",85,C1,3.57,"{""B1"": 0.09, ""A2"": 0.01, ""B2"": 0.22, ""A1"": 0.0, ""C1"": 0.68}",505,C1,3.36,"{""A2"": 0.01, ""C1"": 0.51, ""A1"": 0.0, ""B1"": 0.13, ""B2"": 0.35}",157.9,jev-1.13.0
Die ganze Fülle von ihm.,C1,2.6,"{""C1"": 0.4, ""B1"": 0.31, ""A2"": 0.17, ""A1"": 0.05, ""B2"": 0.07}",86,C1,2.41,"{""B1"": 0.33, ""A2"": 0.2, ""B2"": 0.09, ""A1"": 0.06, ""C1"": 0.32}",487,A1,0.67,"{""A2"": 0.32, ""C1"": 0.03, ""A1"": 0.54, ""B1"": 0.1, ""B2"": 0.01}",157.9,jev-1.13.0
"Ein Thema haben wir uns aber für YouTube aufgehoben, damit wir in richtigen Deep Dive machen können.",B1,2.22,"{""A2"": 0.01, ""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.76, ""B2"": 0.23}",87,B1,2.23,"{""C1"": 0.0, ""A1"": 0.0, ""B2"": 0.24, ""A2"": 0.01, ""B1"": 0.75}",502,B1,2.09,"{""A2"": 0.15, ""C1"": 0.01, ""A1"": 0.01, ""B1"": 0.59, ""B2"": 0.24}",157.9,jev-1.13.0
"Ich fühle mich als Anette, weil du mich als Anette siehst.",B1,1.95,"{""A2"": 0.02, ""C1"": 0.0, ""B2"": 0.01, ""A1"": 0.02, ""B1"": 0.95}",88,B1,1.92,"{""C1"": 0.0, ""B2"": 0.01, ""A1"": 0.03, ""B1"": 0.93, ""A2"": 0.03}",497,A2,1.03,"{""A2"": 0.51, ""C1"": 0.0, ""A1"": 0.25, ""B1"": 0.2, ""B2"": 0.04}",157.9,jev-1.13.0
"So, das Ding ist schon hoch.",A1,0.21,"{""B2"": 0.0, ""B1"": 0.05, ""A1"": 0.84, ""C1"": 0.0, ""A2"": 0.11}",89,A1,0.49,"{""B2"": 0.0, ""B1"": 0.11, ""C1"": 0.0, ""A1"": 0.62, ""A2"": 0.27}",487,A1,0.33,"{""A2"": 0.22, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.04, ""A1"": 0.73}",157.9,jev-1.13.0
Genau die Summe schlug er beim Blick über den Lake Washington raus.,C1,3.19,"{""A2"": 0.02, ""A1"": 0.0, ""C1"": 0.41000000000000003, ""B1"": 0.18, ""B2"": 0.39}",90,C1,3.25,"{""C1"": 0.48, ""A1"": 0.0, ""B2"": 0.32, ""A2"": 0.03, ""B1"": 0.17}",495,B2,2.27,"{""A2"": 0.21, ""C1"": 0.04, ""A1"": 0.0, ""B1"": 0.35, ""B2"": 0.4}",157.9,jev-1.13.0
Könnte Trump die Zahlungen und Lieferungen an die Ukraine eventuell auch komplett einstellen?,B2,2.97,"{""B1"": 0.03, ""B2"": 0.97, ""A1"": 0.0, ""A2"": 0.0, ""C1"": 0.0}",91,B2,2.97,"{""A2"": 0.0, ""B2"": 0.95, ""B1"": 0.04, ""A1"": 0.0, ""C1"": 0.01}",499,B2,2.62,"{""A2"": 0.01, ""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.36, ""B2"": 0.63}",157.9,jev-1.13.0
"Mein Herz, meine Seele, meine Liebe.",A1,0.21,"{""B2"": 0.0, ""B1"": 0.05, ""A1"": 0.87, ""A2"": 0.07, ""C1"": 0.01}",92,A1,0.19,"{""A2"": 0.07, ""A1"": 0.88, ""B1"": 0.04, ""C1"": 0.01, ""B2"": 0.0}",489,A1,0.11,"{""A2"": 0.11, ""C1"": 0.0, ""A1"": 0.89, ""B1"": 0.0, ""B2"": 0.0}",157.9,jev-1.13.0
Was könnten die Schlimmes anrichten?,B2,2.75,"{""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.13, ""B2"": 0.81, ""A2"": 0.06}",93,B2,2.67,"{""B1"": 0.19, ""C1"": 0.0, ""B2"": 0.74, ""A2"": 0.07, ""A1"": 0.0}",489,A2,1.31,"{""A2"": 0.63, ""C1"": 0.0, ""A1"": 0.05, ""B1"": 0.28, ""B2"": 0.04}",157.9,jev-1.13.0
Das ist der Jurist Elwood Towner.,A1,0.28,"{""C1"": 0.0, ""B1"": 0.03, ""B2"": 0.0, ""A1"": 0.75, ""A2"": 0.22}",94,A1,0.2,"{""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.16, ""B1"": 0.02, ""A1"": 0.82}",490,A1,0.28,"{""A2"": 0.26, ""C1"": 0.0, ""A1"": 0.73, ""B1"": 0.01, ""B2"": 0.0}",157.9,jev-1.13.0
Wenn ich etwas Falsches mache oder falsch handle.,B1,1.83,"{""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.07, ""A1"": 0.05, ""B1"": 0.88}",95,B1,1.83,"{""B2"": 0.0, ""C1"": 0.0, ""B1"": 0.87, ""A2"": 0.09, ""A1"": 0.04}",490,B1,1.49,"{""A2"": 0.44, ""C1"": 0.0, ""A1"": 0.04, ""B1"": 0.51, ""B2"": 0.01}",157.9,jev-1.13.0
Rund 1 Million Menschen sollen im Laufe der Jahre in die Lager gesperrt worden sein.,B2,3.0,"{""C1"": 0.03, ""B2"": 0.9400000000000001, ""B1"": 0.03, ""A1"": 0.0, ""A2"": 0.0}",96,B2,2.92,"{""B1"": 0.09, ""C1"": 0.01, ""B2"": 0.9, ""A2"": 0.0, ""A1"": 0.0}",499,B2,2.44,"{""A2"": 0.1, ""C1"": 0.0, ""B2"": 0.54, ""B1"": 0.36, ""A1"": 0.0}",157.9,jev-1.13.0
Vom griechischen Aristoteles bis hin zu Karl Marx.,C1,2.73,"{""C1"": 0.32, ""A2"": 0.13, ""B2"": 0.24, ""A1"": 0.01, ""B1"": 0.3}",97,B2,2.7,"{""B1"": 0.29, ""C1"": 0.27, ""A2"": 0.14, ""B2"": 0.3, ""A1"": 0.0}",493,B1,1.5,"{""A2"": 0.42, ""C1"": 0.01, ""A1"": 0.07, ""B1"": 0.46, ""B2"": 0.04}",157.9,jev-1.13.0
"Terroristen sind sich zunächst mal sicher, auf der richtigen Seite zu stehen.",B1,2.24,"{""A1"": 0.0, ""C1"": 0.01, ""B2"": 0.25, ""A2"": 0.03, ""B1"": 0.71}",98,B1,2.21,"{""C1"": 0.01, ""A2"": 0.01, ""B1"": 0.78, ""B2"": 0.2, ""A1"": 0.0}",495,B1,1.96,"{""A2"": 0.16, ""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.72, ""B2"": 0.12}",157.9,jev-1.13.0
"Nach dem Motto: Kann sein, muss aber nicht.",B1,1.69,"{""C1"": 0.01, ""A2"": 0.34, ""B2"": 0.13, ""B1"": 0.46, ""A1"": 0.06}",99,A2,1.46,"{""C1"": 0.0, ""A1"": 0.06, ""B2"": 0.08, ""A2"": 0.5, ""B1"": 0.36}",490,A2,0.87,"{""A2"": 0.48, ""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.18, ""A1"": 0.33}",157.9,jev-1.13.0
Ich will nicht immer nur ihre Leitungen retten müssen.,B1,1.68,"{""C1"": 0.0, ""B1"": 0.49, ""B2"": 0.1, ""A2"": 0.4, ""A1"": 0.01}",100,A2,1.61,"{""A1"": 0.01, ""A2"": 0.48, ""B2"": 0.11, ""B1"": 0.4, ""C1"": 0.0}",490,A2,1.48,"{""A2"": 0.54, ""C1"": 0.0, ""A1"": 0.03, ""B1"": 0.35, ""B2"": 0.08}",157.9,jev-1.13.0
"Unsere Aufgabe ist es, die Kinder zu schützen, wenn es die Eltern nicht können oder nicht tun.",B1,2.03,"{""C1"": 0.0, ""A1"": 0.0, ""B2"": 0.04, ""B1"": 0.95, ""A2"": 0.01}",101,B1,2.1,"{""C1"": 0.0, ""B2"": 0.11, ""A1"": 0.0, ""A2"": 0.01, ""B1"": 0.88}",500,B1,1.74,"{""A2"": 0.25, ""B2"": 0.01, ""B1"": 0.73, ""C1"": 0.0, ""A1"": 0.01}",157.9,jev-1.13.0
Es gibt wirtschaftliche und auch politische Kontakte.,A1,0.66,"{""B1"": 0.12, ""C1"": 0.0, ""A1"": 0.46, ""B2"": 0.0, ""A2"": 0.42}",102,A2,0.92,"{""B2"": 0.01, ""A2"": 0.55, ""B1"": 0.17, ""C1"": 0.0, ""A1"": 0.27}",491,A2,0.63,"{""A2"": 0.59, ""B2"": 0.0, ""B1"": 0.02, ""C1"": 0.0, ""A1"": 0.39}",157.9,jev-1.13.0
"Und wo wir gerade bei Änderungen sind, da sind wir bei einem entscheidenden Problem.",B1,2.31,"{""A2"": 0.0, ""C1"": 0.01, ""B1"": 0.7, ""A1"": 0.0, ""B2"": 0.29}",103,B1,2.3,"{""B2"": 0.28, ""A2"": 0.0, ""B1"": 0.71, ""C1"": 0.01, ""A1"": 0.0}",498,B1,1.71,"{""A2"": 0.3, ""A1"": 0.02, ""B1"": 0.63, ""C1"": 0.0, ""B2"": 0.05}",157.9,jev-1.13.0
Der Unterricht fällt heute wegen Krankheit aus.,A2,0.66,"{""B2"": 0.0, ""B1"": 0.09, ""A1"": 0.43, ""C1"": 0.0, ""A2"": 0.48}",104,A2,0.98,"{""B1"": 0.18, ""C1"": 0.0, ""A1"": 0.2, ""A2"": 0.62, ""B2"": 0.0}",487,A1,0.49,"{""A2"": 0.49, ""B2"": 0.0, ""B1"": 0.0, ""C1"": 0.0, ""A1"": 0.51}",157.9,jev-1.13.0
Oft wird Avocado ja in Brotaufstrich verwendet.,A2,1.48,"{""C1"": 0.0, ""A2"": 0.54, ""B2"": 0.16, ""B1"": 0.23, ""A1"": 0.07}",105,A2,1.25,"{""B2"": 0.05, ""A2"": 0.72, ""B1"": 0.19, ""C1"": 0.0, ""A1"": 0.04}",493,A2,1.08,"{""A2"": 0.83, ""A1"": 0.05, ""B1"": 0.11, ""C1"": 0.0, ""B2"": 0.01}",157.9,jev-1.13.0
Nach ein paar Sekunden habe ich ihn erkannt.,A2,1.14,"{""B2"": 0.0, ""B1"": 0.14, ""C1"": 0.0, ""A1"": 0.0, ""A2"": 0.86}",106,A2,1.33,"{""A2"": 0.67, ""B1"": 0.33, ""C1"": 0.0, ""A1"": 0.0, ""B2"": 0.0}",488,A2,0.99,"{""A2"": 0.99, ""B2"": 0.0, ""B1"": 0.0, ""C1"": 0.0, ""A1"": 0.01}",157.9,jev-1.13.0
Der Staat würde alles komplett überwachen.,B2,2.66,"{""A2"": 0.15, ""A1"": 0.0, ""B2"": 0.81, ""B1"": 0.04, ""C1"": 0.0}",107,B2,2.41,"{""C1"": 0.0, ""B1"": 0.06, ""B2"": 0.68, ""A2"": 0.25, ""A1"": 0.01}",489,A2,1.45,"{""A2"": 0.58, ""A1"": 0.02, ""B1"": 0.33, ""C1"": 0.0, ""B2"": 0.07}",157.9,jev-1.13.0
"Er oder sie kommt aus dieser Situation heraus mit einem kleinen Schaden, der aber eigentlich viel größer hätte sein können.",B2,2.84,"{""A2"": 0.0, ""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.16, ""B2"": 0.84}",108,B2,2.88,"{""A1"": 0.0, ""A2"": 0.0, ""C1"": 0.0, ""B1"": 0.12, ""B2"": 0.88}",501,B2,2.91,"{""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.09, ""C1"": 0.0, ""B2"": 0.91}",157.9,jev-1.13.0
"Definition und Beweise, also nur sprachliches Denken.",C1,2.99,"{""A2"": 0.02, ""A1"": 0.0, ""C1"": 0.38, ""B1"": 0.35, ""B2"": 0.25}",109,B1,2.65,"{""C1"": 0.25, ""B2"": 0.19, ""A1"": 0.0, ""B1"": 0.52, ""A2"": 0.04}",491,B1,2.45,"{""A2"": 0.13, ""B2"": 0.2, ""B1"": 0.48, ""C1"": 0.19, ""A1"": 0.0}",157.9,jev-1.13.0
Der Geist der modernen Welt ist mit dem Jahr 1492 verbunden.,B2,2.51,"{""B1"": 0.37, ""A2"": 0.08, ""B2"": 0.51, ""A1"": 0.0, ""C1"": 0.04}",110,B1,1.96,"{""A1"": 0.0, ""C1"": 0.04, ""A2"": 0.29, ""B1"": 0.5, ""B2"": 0.17}",495,B1,1.92,"{""A2"": 0.28, ""B2"": 0.12, ""B1"": 0.56, ""C1"": 0.04, ""A1"": 0.0}",157.9,jev-1.13.0
"Wie hoch ist also die Wahrscheinlichkeit, dass Olaf Scholz im Herbst zum Kanzler gewählt wird?",B2,2.67,"{""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.33, ""B2"": 0.67, ""A2"": 0.0}",111,B1,2.45,"{""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.53, ""A2"": 0.01, ""B2"": 0.46}",506,B1,2.3,"{""A2"": 0.06, ""A1"": 0.0, ""B1"": 0.58, ""C1"": 0.0, ""B2"": 0.36}",157.9,jev-1.13.0
"Zum anderen auch, weil es kaum einen Bezug zu Deutschland gibt.",B1,2.08,"{""C1"": 0.0, ""B1"": 0.9, ""B2"": 0.09, ""A1"": 0.0, ""A2"": 0.01}",112,B1,2.03,"{""B1"": 0.93, ""B2"": 0.05, ""A2"": 0.02, ""A1"": 0.0, ""C1"": 0.0}",492,B1,1.7,"{""A2"": 0.35, ""B2"": 0.05, ""B1"": 0.6, ""C1"": 0.0, ""A1"": 0.0}",157.9,jev-1.13.0
"Der Leib Christi, die Fülle dessen, der alles in allem erfüllt in diesem Körper jetzt, im mächtigen Namen Jesu.",C1,3.94,"{""B1"": 0.0, ""C1"": 0.9400000000000001, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.06}",113,C1,3.96,"{""A2"": 0.0, ""C1"": 0.96, ""A1"": 0.0, ""B1"": 0.0, ""B2"": 0.04}",508,C1,3.93,"{""A2"": 0.0, ""B2"": 0.05, ""B1"": 0.01, ""C1"": 0.94, ""A1"": 0.0}",157.9,jev-1.13.0
Ich bin jetzt ein Profi.,A1,0.05,"{""B2"": 0.0, ""A2"": 0.05, ""C1"": 0.0, ""B1"": 0.0, ""A1"": 0.95}",114,A1,0.08,"{""A1"": 0.93, ""B1"": 0.01, ""B2"": 0.0, ""C1"": 0.0, ""A2"": 0.06}",485,A1,0.05,"{""A2"": 0.05, ""B2"": 0.0, ""B1"": 0.0, ""C1"": 0.0, ""A1"": 0.95}",157.9,jev-1.13.0
Und mit einem kleinen Stück Metall.,A1,0.32,"{""A1"": 0.7, ""B1"": 0.02, ""A2"": 0.28, ""C1"": 0.0, ""B2"": 0.0}",115,A1,0.29,"{""B2"": 0.0, ""B1"": 0.02, ""A1"": 0.73, ""A2"": 0.25, ""C1"": 0.0}",486,A1,0.19,"{""A2"": 0.17, ""A1"": 0.81, ""B1"": 0.01, ""C1"": 0.0, ""B2"": 0.0}",157.9,jev-1.13.0
