text,stored_top,stored_expected,stored,n
Vielleicht greifen wir die anderen Minderheiten in einem anderen Video auf.,B1,1.7,"{""B2"": 0.06, ""C1"": 0.0, ""A2"": 0.34, ""A1"": 0.01, ""B1"": 0.59}",145
"Und dann ist da noch die NATO, auch das ein wichtiger Schritt.",B1,1.61,"{""B2"": 0.06, ""C1"": 0.0, ""B1"": 0.54, ""A2"": 0.35, ""A1"": 0.05}",146
Die wiederum bestehen aus noch kleineren Teilchen.,B1,1.85,"{""A2"": 0.27, ""A1"": 0.01, ""B1"": 0.59, ""C1"": 0.01, ""B2"": 0.12}",147
"Pro Monat stehen jedem und jeder Abgeordneten etwa 20.000 Euro zur Verfügung, um eigene Mitarbeiter einzustellen.",B2,2.64,"{""C1"": 0.01, ""B2"": 0.63, ""B1"": 0.35, ""A2"": 0.01, ""A1"": 0.0}",148
Beide treten 1937 auch in die NSDAP ein.,B2,2.06,"{""A1"": 0.0, ""B2"": 0.39, ""C1"": 0.03, ""A2"": 0.39, ""B1"": 0.19}",149
"Stella, Stella, ich konnte doch nichts dafür.",A2,1.42,"{""B2"": 0.12, ""A1"": 0.02, ""B1"": 0.2, ""C1"": 0.0, ""A2"": 0.66}",150
"Ihr merkt, die zeitlichen Grenzen fassen die Wirklichkeit nur ungefähr.",C1,3.17,"{""B2"": 0.17, ""A2"": 0.0, ""A1"": 0.0, ""B1"": 0.33, ""C1"": 0.5}",151
Aber unter den gleichen Umständen würde ich aus heutiger Sicht dasselbe wieder tun.,B2,2.71,"{""A2"": 0.01, ""A1"": 0.0, ""B1"": 0.28, ""B2"": 0.7, ""C1"": 0.01}",152
"An die Einheit des Ortes hält sich Lessing in ""Emilia Galotti"" nicht.",C1,3.72,"{""B2"": 0.22, ""A2"": 0.0, ""C1"": 0.75, ""A1"": 0.0, ""B1"": 0.03}",153
"Ja, ich fahre jetzt zurück nach Kansas.",A1,0.16,"{""C1"": 0.0, ""A1"": 0.85, ""B1"": 0.01, ""B2"": 0.0, ""A2"": 0.14}",154
"Und wenn ich etwas herausnehme, streiche ich es durch.",B1,1.9,"{""C1"": 0.0, ""B2"": 0.01, ""A1"": 0.02, ""B1"": 0.9, ""A2"": 0.07}",155
"Ja, entschuldige, ich brauche zwei Bildschirme für diesen neuen Kunden.",A2,0.89,"{""A1"": 0.31, ""C1"": 0.0, ""B1"": 0.18, ""B2"": 0.01, ""A2"": 0.5}",156
"Was das Thema Religion angeht, da gibt es bei Kılıçdaroğlu außerdem noch eine Besonderheit.",B1,2.26,"{""B2"": 0.24, ""A1"": 0.0, ""A2"": 0.0, ""B1"": 0.75, ""C1"": 0.01}",157
Danach gefiel ihnen das Leben dort nicht mehr.,A2,1.27,"{""C1"": 0.0, ""B1"": 0.25, ""B2"": 0.01, ""A1"": 0.0, ""A2"": 0.74}",158
Was passiert am Rand der Scheibe?,A1,0.53,"{""C1"": 0.0, ""A2"": 0.33, ""B1"": 0.1, ""A1"": 0.56, ""B2"": 0.0}",159
Das sei auch nach außen wichtig.,B2,2.19,"{""B2"": 0.43, ""A1"": 0.01, ""A2"": 0.22, ""C1"": 0.0, ""B1"": 0.34}",160
"Da spannt die Stimme einen Bogen, wie ein Dach.",C1,3.06,"{""B1"": 0.36, ""C1"": 0.44, ""A1"": 0.0, ""A2"": 0.01, ""B2"": 0.19}",161
Früher hat man Tiere als Opfer für die Götter getötet.,A2,1.45,"{""C1"": 0.0, ""B1"": 0.27, ""A1"": 0.0, ""A2"": 0.64, ""B2"": 0.09}",162
"Oder mir wurde gesagt, na ja, versuch es nicht mal mit Deutsch.",B2,2.48,"{""B2"": 0.53, ""A1"": 0.0, ""B1"": 0.39, ""C1"": 0.01, ""A2"": 0.07}",163
"Wir fangen an mit einer Alternative für ein Wort, das ihr garantiert ständig benutzt: „schaffen“.",B1,2.02,"{""B2"": 0.05, ""C1"": 0.0, ""A2"": 0.03, ""A1"": 0.0, ""B1"": 0.92}",164
Woher kommt diese Welt der abstrakten Vorstellung?,C1,3.02,"{""A2"": 0.01, ""B1"": 0.37, ""A1"": 0.0, ""B2"": 0.21, ""C1"": 0.41}",165
"Von bislang 2747 Betrieben auf 22.000 Betriebe, nur in Deutschland.",C1,2.97,"{""C1"": 0.41000000000000003, ""A1"": 0.0, ""B2"": 0.26, ""B1"": 0.22, ""A2"": 0.11}",166
Unser soziales Wesen wurde Teil unserer Natur.,B1,2.35,"{""A1"": 0.0, ""B1"": 0.49, ""C1"": 0.1, ""B2"": 0.28, ""A2"": 0.13}",167
Sie hat nicht Recht gehabt.,A2,1.09,"{""A1"": 0.01, ""B2"": 0.02, ""C1"": 0.0, ""B1"": 0.06, ""A2"": 0.91}",168
Und dann füllt Markus die Schrift aus.,A1,0.54,"{""B2"": 0.0, ""A2"": 0.42, ""C1"": 0.0, ""A1"": 0.52, ""B1"": 0.06}",169
Ganz zu schweigen von einem guten.,C1,2.56,"{""C1"": 0.3, ""B2"": 0.2, ""A1"": 0.04, ""B1"": 0.3, ""A2"": 0.16}",170
Anfangs ist der Mensch zu Fuß unterwegs.,A1,0.27,"{""A2"": 0.21, ""A1"": 0.76, ""B2"": 0.0, ""C1"": 0.0, ""B1"": 0.03}",171
Dann sähe die Reaktion aus der Politik vermutlich anders aus.,B2,2.85,"{""B1"": 0.13, ""C1"": 0.0, ""A2"": 0.01, ""B2"": 0.86, ""A1"": 0.0}",172
Denn mit Gas könnte es in Deutschland eng werden.,B1,2.0,"{""A2"": 0.15, ""A1"": 0.0, ""B1"": 0.7, ""B2"": 0.15, ""C1"": 0.0}",173
Die ist war auch war aber stärker noch ist so geblieben.,C1,2.48,"{""C1"": 0.3, ""A1"": 0.07, ""B2"": 0.19, ""B1"": 0.27, ""A2"": 0.17}",174
Du brauchst auch vielleicht Deutsch in deiner Umgebung oder in deinem Alltag.,A2,0.99,"{""A1"": 0.18, ""B1"": 0.17, ""C1"": 0.0, ""B2"": 0.0, ""A2"": 0.65}",175
Glauben Sie zum Vergnügen schlagen wir uns unsere Nächte um die Ohren.,C1,3.35,"{""B2"": 0.34, ""B1"": 0.14, ""A2"": 0.01, ""A1"": 0.0, ""C1"": 0.51}",176
"Mir reicht schon wenn überhaupt erstmal dahin kommen, dass wir Schülern wirklich ganz stark vermitteln kritisches, bewusstes Denken.",B2,2.66,"{""C1"": 0.05, ""B1"": 0.39, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.5599999999999999}",177
Allerdings gibt es noch eine Besonderheit.,A2,1.1,"{""A2"": 0.45, ""B2"": 0.01, ""A1"": 0.23, ""B1"": 0.31, ""C1"": 0.0}",178
Sehr vernünftig aber leider zu spät.,A1,0.53,"{""A1"": 0.57, ""C1"": 0.0, ""A2"": 0.34, ""B2"": 0.01, ""B1"": 0.08}",179
"Dass die Planeten an allem schuld sind, das ist aus heutiger Sicht natürlich Unsinn.",B2,2.55,"{""A1"": 0.0, ""B2"": 0.53, ""C1"": 0.01, ""B1"": 0.46, ""A2"": 0.0}",180
Und jetzt wird es richtig seltsam.,A1,0.42,"{""C1"": 0.0, ""A1"": 0.68, ""B2"": 0.0, ""B1"": 0.1, ""A2"": 0.22}",181
Permanent werden neue Inhalte veröffentlicht.,B2,2.4,"{""A1"": 0.01, ""B1"": 0.21, ""B2"": 0.6, ""A2"": 0.18, ""C1"": 0.0}",182
Die Schichten der Realität ergeben nur miteinander Sinn.,C1,3.36,"{""B1"": 0.2, ""B2"": 0.24, ""C1"": 0.56, ""A2"": 0.0, ""A1"": 0.0}",183
"Das bin nicht nur ich, das sind auch ganz andere.",A1,0.65,"{""B1"": 0.16, ""A1"": 0.53, ""B2"": 0.01, ""A2"": 0.3, ""C1"": 0.0}",184
"Erstaunlich weit gedacht, auch im Vergleich zu dem, was erstmals danach kommt, viel viel weiter gedacht als bei Platon.",C1,3.5,"{""A2"": 0.0, ""B2"": 0.4, ""C1"": 0.56, ""B1"": 0.03, ""A1"": 0.0}",185
"Ja, Physik, Mathe und Chemie.",A1,0.01,"{""C1"": 0.0, ""A1"": 0.99, ""B1"": 0.0, ""A2"": 0.01, ""B2"": 0.0}",186
Dein Gott gebetet dir krie sollst du im Staub.,C1,2.83,"{""C1"": 0.37, ""A2"": 0.12, ""B2"": 0.23, ""A1"": 0.01, ""B1"": 0.27}",187
"Das bedeutet, dass man jemanden oder etwas aufmerksam hört.",B1,1.84,"{""B2"": 0.0, ""B1"": 0.88, ""A1"": 0.04, ""C1"": 0.0, ""A2"": 0.08}",188
"Also, der ganze Abschnitt war seit etwa 10 Uhr für den Verkehr gesperrt.",B2,2.37,"{""C1"": 0.0, ""B2"": 0.54, ""B1"": 0.29, ""A2"": 0.17, ""A1"": 0.0}",189
"Die ganze Fülle von ihm, die meine Seele erfüllt.",C1,3.25,"{""B1"": 0.27, ""C1"": 0.52, ""A1"": 0.0, ""A2"": 0.0, ""B2"": 0.21}",190
Wir reden nicht alle gleich in Franken.,A1,0.63,"{""B1"": 0.1, ""B2"": 0.01, ""A1"": 0.49, ""A2"": 0.4, ""C1"": 0.0}",191
Max ist der mit dem Hut.,A1,0.31,"{""B1"": 0.06, ""C1"": 0.0, ""A1"": 0.75, ""B2"": 0.0, ""A2"": 0.19}",192
Ein Dichter wie er reicht einer Frau schon als Feind.,C1,3.3,"{""A2"": 0.01, ""C1"": 0.49, ""B1"": 0.17, ""A1"": 0.0, ""B2"": 0.33}",193
Die Eltern sind Grace und Mark.,A1,0.02,"{""C1"": 0.0, ""A1"": 0.98, ""B1"": 0.0, ""B2"": 0.0, ""A2"": 0.02}",194
Im Zweifel aber bedient man sich seiner Person.,C1,3.35,"{""B1"": 0.16, ""A1"": 0.0, ""B2"": 0.33, ""A2"": 0.0, ""C1"": 0.51}",195
Objektiv an sich in der Welt.,C1,2.91,"{""B2"": 0.06, ""A2"": 0.11, ""C1"": 0.59, ""B1"": 0.13, ""A1"": 0.11}",196
Das ist die wahre Tochter der Familie Ruan!,A1,0.47,"{""A1"": 0.62, ""B2"": 0.01, ""C1"": 0.0, ""B1"": 0.07, ""A2"": 0.3}",197
Da gibt es dann andere Werte.,A1,0.6,"{""B2"": 0.0, ""B1"": 0.13, ""C1"": 0.0, ""A1"": 0.53, ""A2"": 0.34}",198
"Sondern es wird einfach mal probiert und dann geguckt, was passiert.",B1,1.85,"{""C1"": 0.0, ""A2"": 0.12, ""B2"": 0.03, ""B1"": 0.82, ""A1"": 0.03}",199
"Nicht ohne Grund sind zum Beispiel Künstler, die ihre Herkunft im Osten hervorheben, dort besonders erfolgreich.",B2,2.75,"{""C1"": 0.03, ""A1"": 0.0, ""B1"": 0.28, ""B2"": 0.69, ""A2"": 0.0}",200
