n,stratum,pattern,gloss,surface,text,video,start
144,uniform,etw. (Akk) können,,können,Und wir können sie mit der nötigen Technologie ausstatten.,ME6xH8jrNK4,88.683
145,uniform,jdn. (Akk) zu etw. einladen,jemanden zu etwas einladen means to invite someone to something.,Putin eingeladen,"Donald Trump hat Wladimir Putin eingeladen, möchte den Krieg in der Ukraine beenden.",SGvv-xIoStA,178.04
146,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,Wörter benutzen,"Versucht dabei, Wörter zu benutzen, die ihr beim Lesen gelernt habt.",xWgB_L31IOs,765.3982432432432
147,uniform,etw. (Akk) erzeugen,etwas erzeugen means to generate (energy/power).,erzeugte einen Selektionsdruck,Der schwierige Übergang vom Jagen und Sammeln zum Ackerbau erzeugte einen Selektionsdruck.,5IpAsztfBBA,160.04
148,uniform,der Ausdruck,der Ausdruck means an expression or phrase.,diese Ausdrücke,"Wenn ihr diese Ausdrücke kennt, könnt ihr euch abwechslungsreicher auf Deutsch ausdrücken und Muttersprachler besser verstehen.",Xb46PtEeGmU,15.76
149,uniform,die Mutter,die Mutter means mother.,meiner Mutter,Ich habe gerade mit meiner Mutter gesprochen.,erEyk5iHhGc,353.131
150,uniform,die Schule,die Schule means school (the institution or the activity of attending it).,die Schule,Lisa hat die Schule bereits gewechselt.,eFiDZrQWaHU,1351.875
151,uniform,die Frage,die Frage means question.,keine Frage,"Ja, ich glaube, das ist keine Frage des Geldes mehr.",9rVCgdaOv4I,2065.9533333333347
152,uniform,der Fall,auf jeden Fall means definitely/absolutely.,keinen Fall,Komm auf keinen Fall raus.,JqyD9UoF0No,691.473
153,uniform,nach etw. klingen,nach etwas klingen means to sound like something.,klingt,Ein formeller Brief klingt sehr offiziell.,sbdl1y5XosI,337.4982608695653
154,uniform,etw./jdn. (Akk) haben,,die nötige Kraft hat,"Umsetzen lässt sich so etwas nur, wenn man auch die nötige Kraft dafür hat.",kBUzEoX5ENI,721.24
155,uniform,etw. (Akk) verbreiten,etwas verbreiten means to spread something.,Unruhe verbreitet,Die NATO-Staaten haben auch ordentlich Unruhe verbreitet.,FHvP4RKLUp4,237.2
156,uniform,"all, alle",,allem,"Sie sagen, das ist eine kühle Machtpolitikerin, die vor allem auf eins aus ist: auf den eigenen Vorteil.",IUqGpj7dLfg,418.4
157,uniform,etw. (Akk) wollen,,wollen,"Er sagt, wir wollen das gemeinsam im Herbst entscheiden.",DxlQCJZUdVo,861.44
158,uniform,die Erde,die Erde means the planet Earth.,Die Erde,Die Erde kühlt sich weiter ab und es regnet wahrscheinlich Millionen von Jahren lang.,8wQkM-znhjY,517.56
159,uniform,das Kind,das Kind means child (a young human being).,Kinder,Ihr seid ja noch Kinder.,qaWTR3YkRJI,280.958
160,uniform,der Hersteller,der Hersteller means manufacturer.,die Hersteller,"Wenn Minderjährige Vape Pens konsumieren oder Dampfer Einweg-Vapes einfach in den Hausmüll werfen, dann können die Hersteller nicht dafür verantwortlich gemacht werden.",F5rN_LkLWMQ,718.92
161,uniform,"vorne, vorn",vorne means front or forward (direction).,vorne,"Da vorne ist eine Oase, glaube ich.",LA3U2FAyunM,1187.406
162,uniform,etw. (Akk) lernen,etwas lernen means to acquire knowledge or skills.,lernten,"Im Osten war wichtig, dass die Kinder lernten, im sozialistischen System zu leben.",qzXXbR3MqjI,268.39079999999996
163,uniform,etw. (Akk) ändern,etwas ändern means to change something.,sich sich etwas ändern,Es könnte sich ja etwas ändern.,YWAzVYPivWE,308.48
164,uniform,etw. (Akk) können,,kann,"Millionen gucken zu."" Was kann der machen?",EprQ9qtTafg,1315.003157894737
165,uniform,die Sprache,die Sprache means language.,Sprache,"Und der Bereich in unserem Gehirn, der für Sprache und Struktur verantwortlich ist, wird deaktiviert.",oNtNLyzWneM,126.34536585365854
166,uniform,etw. (Akk) einnehmen,etwas einnehmen means to earn or receive (money).,Ohne die Magie nimmt seinen Platz ein,"Ohne die Magie des Feuerbringers nimmt n alles wieder seinen Platz ein, wo es wissenschaftlich hingehört.",xru8Neeub1k,4762.47294117647
167,uniform,etw./jdn. (Akk) haben,,habe,Ich habe schon zu Mittag gegessen.,98S3JDk_7Ww,4407.111
168,uniform,die Rücksicht,die Rücksicht means consideration or regard.,keine Rücksicht,"Ein irrwitziges Vorhaben, das auf das Leben und die Gesundheit der Jugendlichen keine Rücksicht nimmt.",AdoL7zmVSmU,1289.04
169,uniform,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,Menschen bedeuten,"Die würden übersetzt sehr oft ""Menschen"" oder ""Volk"" bedeuten.",rVLYaU1mNjY,167.04
170,uniform,die Schwester,die Schwester means sister.,Schwester,"Ich brauche deine Hilfe, Schwester.",Wee30B9zUL8,132.5
171,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,mache die Lara einen Antrag,"Ich glaube, ich mache die Lara auch einen Antrag.",5nhnENjf2lA,404.75
172,uniform,etw. (Akk) verdienen,etwas verdienen means to earn something (money or income).,eine zweite Chance verdient,"Ich denke, Jan hat eine zweite Chance verdient.",7w_Y0Nn2FBE,59.326
173,uniform,etw. (Akk) wissen,etwas wissen means to know something.,weiß,"Ich weiß nicht, ob ich es dir erzählen kann.",y-fiIZWz3Bk,410.251
174,uniform,der Held,der Held means hero.,ein Held,Doch ich bleibe ein Held.,PUjcC-VJE7s,3.4955555555555553
175,uniform,etw. (Akk) an jdn. zahlen,etwas an jemanden zahlen means to pay something to someone (or to pay for something).,zahle an der Kasse,Ich zahle an der Kasse.,DGd2b3pSixw,735.669
176,uniform,etw./jdn. (Akk) haben,,hatte,"Er hatte gesagt, dass er einkaufen wollte.",LkufozluseI,5060.224761904763
177,uniform,"all, alle",,alle,Wir sind alle hier zum lernen.,JCf91HHEojg,421.89484615384623
178,uniform,die Bank,die Bank means the financial institution.,Bank 900.,"Punkt a. Wir überweisen 900 € für Miete, das heißt unser Buchungssatz lautet Mietaufwand an Bank 900.",34RchejaaPo,118.21387096774194
179,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,mit dem Dativ benutzt,Aber sie wird auch mit dem Dativ benutzt.,UJG0jUBGiRU,826.6799999999998
180,uniform,der Tag,der Tag means the period of daylight or a 24-hour day.,jeden Tag,Ein kleiner Schritt jeden Tag ist besser als ein großer Schritt einmal in der Woche.,uP_ernGddlA,711.32
181,uniform,jdn. (Akk) führen,jemanden führen means to lead someone or something.,ihn führt,"Das impliziert ja, dass es diesen einen Mann gibt, Wladimir Putin, russischer Präsident, der den Krieg allein begonnen hat und ihn alleine führt.",AVukppy9qRc,42.04
182,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sage,"Dabei beschreibe ich einen Körperteil erst und sage dann, wie er auf Deutsch heißt.",KXKBogPrjV8,51.157499999999985
183,uniform,etw. (Akk) wollen,,wollen,"Was ist mit denen, die das Windrad nicht vor ihrer Tür haben wollen?",KYZkyrOc7FA,1056.6
184,uniform,die Mama,die Mama means mother/mom.,Mama,"Kein Problem, Mama und Papa!",jk5V7vFnqZc,274.945
185,uniform,etw. (Akk) mit etw. kombinieren,etwas mit etwas kombinieren means to combine something with something.,Bei einem Shift kombinieren sich sich,"Bei einem Shift kombinieren sich genetische Eigenschaften verschiedener Viren, wobei eine so wesentliche und abrupte genetische Veränderung auftritt, dass ein ganz neues Virus entsteht.",rt5ZtBfDrIs,408.92
186,uniform,jdm. (Dat) etw. (Akk) sichern,"jemandem etwas sichern means to secure something for someone (to obtain or guarantee rights, advantages, etc.).",gesichert,"Darum ist es so wichtig, dass der Radraum gut gesichert ist.",slyev-JfiyI,3008.96
187,uniform,ein paar,ein paar means a few.,paar,"Ich war vor ein paar Wochen wirklich besorgt, weil ich damit gerechnet hatte, dass mit den Lockerungen die Infektionszahlen wieder hochgehen.",De5FGogMWzQ,1313.36
188,uniform,etw. (Akk) für etw. ausgeben,etwas für etwas ausgeben means to spend something (money) for something.,eine Menge Geld ausgegeben,"Die haben ein tolles Produkt, aber das ist egal , denn die haben eine Menge Geld dafür ausgegeben.",98S3JDk_7Ww,728.728
189,uniform,der Schutz,der Schutz means protection.,Schutz,"Hier lag einst eine der größten keltischen Höhenfestungen, die den einheimischen Pikten bei Gefahr Schutz bot.",mS6gOaa5vYo,1079.0
190,uniform,jdn. (Akk) beruhigen,jemanden beruhigen means to calm someone down or to reassure someone.,dich beruhigen,Du musst dich endlich beruhigen.,3TwY5jtZJvM,3722.241126760563
191,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,lassen,Man könnte auch bestimmteDinge bestehen lassen.,zOUQZvm7c7E,717.32
192,uniform,etw. (Akk) tun,etwas tun means to do something.,eines tun,"Um möglichst lange zu überleben, kannst du nur eines tun: gar nichts.",3IpcM5gqRM4,342.883
193,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen,jemanden anschauen means to look at someone or something closely.,Schauen uns uns das an an,"Schauen wir uns das genauer an. Wie vorhin angesprochen, haben alle Diktaturen gemeinsam, dass es keine Gewaltenteilung gibt.",Ec_Nn0OiTRc,182.6
194,uniform,die Folge,die Folge means episode (of a TV show or series).,einer neuen Folge Mr.,In einer neuen Folge Mr.Wissen2go Exklusiv.,stq0ZB5HHyA,61.6
195,uniform,die Partie,die Partie means a chess or board game match.,die Partie,"Je nachdem, wie die Partie weitergeht.",7HLH8Q5FTwg,642.733
196,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt eine enge wirtschaftliche Zusammenarbeit,Es gibt eine enge wirtschaftliche Zusammenarbeit.,w7cf0kaYvKE,527.68
197,uniform,der Gott,der Gott means God.,Gott,"Oh Gott, warum schlägt mein Herz auf einmal so stark, wenn ich an ihn denke?",oHJ57gROfmw,183.20054054054057
198,uniform,der Krieg,der Krieg means war.,der Krieg,"Und damit sind wir bei Folge zwei: Dass der Krieg in der Ukraine Auswirkungen auf die Weltwirtschaft hat, das merken wir momentan alle.",puEJwWdlYuY,356.92
199,uniform,die Sicherheit,die Sicherheit means safety.,die Sicherheit,"Für mich bedeutet, dass wir als Parlamentarier nutzen unsere Möglichkeiten, um den Frieden und die Sicherheit in Europa zu stärken.",zjLkTb2jQnw,856.7938888888889
200,uniform,etw./jdn. (Akk) haben,,habe,"Ich habe schon versucht, mit ihr darüber zu sprechen, aber es hat nichts gebracht.",QBWSyYeB5B8,107.455
201,uniform,das Auge,das Auge means eye.,zwei riesigen leeren Augen,Zusammen mit zwei riesigen leeren Augen hat der Mola immer einen dämlichen Gesichtausdruck.,-sNiIwGn46Y,191.93500000000003
202,uniform,etw. (Akk) organisieren,etwas organisieren means to organize something.,Sex mit russischen Mädchen organisiert,"Laut Recherchen des Spiegel soll Epstein geschrieben haben, er habe Sex mit russischen Mädchen für Gates organisiert.",RgwO0qVFW-Q,713.96
203,uniform,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,kenne keine Albanerin,Ich kenne keine Albanerin namens Yara.,_i_1y_nSxCA,191.273
204,uniform,die Polizei,die Polizei means the police.,der Polizei,Kurz darauf geht ein Sonderkommando der Polizei in Trainingsanzügen und mit Sturmgewehren auf den Dächern rundum sowie auf dem besetzten Gebäude in Stellung.,lk019BF5RDI,367.84
205,uniform,etw./jdn. (Akk) haben,,haben,Nicht ohne Grund haben die USA im Zweiten Weltkrieg Stützpunkte auf Grönland errichtet und einen dieser Stützpunkte dann auch im sogenannten Kalten Krieg beibehalten.,-PlfwHI2ma0,585.44
206,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,keinen Begriff machen,"Zeitungen wie das SPD-Blatt „Vorwärts“ zitieren Schilderungen aus Briefen von Soldaten: „Ihr könnt euch gar keinen Begriff in Deutschland davon machen, wie es hier aussieht.",3ZbKzL8od8s,712.56
207,uniform,etw./jdn. (Akk) verändern,etwas verändern means to change something.,verändert deine Gene,"Es verändert deine Gene, deine DNA und bringt auch noch sämtliche ande- re krebserregende Effekte mit sich.",XTMIomsXxKM,174.52
208,uniform,das Ende,das Ende means finally or in the long run.,Ende,"Ende der 1970er-Jahre wird Iran eine islamische Republik, in der die Geistlichkeit das Sagen hat und eine religiöse Diktatur errichtet.",IAD_fVFE6y8,356.64
209,uniform,die Insel,die Insel means island.,alle entlegenen Inseln,"Wir haben alle entlegenen Inseln besucht, die Arktis erobert und den Dschungel erforscht.",q6fgbYWsMgw,4.36
210,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,findet,Da findet ihr einige Dokumentationen aus der ZDF-Mediathek verlinkt.,LGIMpZnfP-E,660.6
211,uniform,das Thema,das Thema means topic.,diesem heiklen Thema,"Danke euch, dass ihr bei diesem heiklen Thema fair bleibt in den Kommentaren, danke fürs Zuschauen und bis zum nächsten Mal.",_EJLZxZR-_M,964.52
212,uniform,"eben, ebend",eben means exactly/as expected/just now.,eben,"Und wenn man Letztere anhand von starker Evidenz erkennt, dann ist man hier klug beraten, eben doch auf die Wissenschaft zu hören.",ptJ-42ME3f8,1557.52
213,uniform,der Dank,der Dank means thanks/thankfulness.,Vielen Dank,Vielen Dank für Ihr Verständnis.,PFsFOWjW33A,556.21
214,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,benutzen die,"Wenn diese Dokumente auftauchen, benutzen wir die auch. allein damit unsere andere Blätter nicht Hofberichterstattung unterstellen.",_kl4oeGNxVI,2891.072727272727
215,uniform,der Bundestag,der Bundestag means the German federal parliament.,des Bundestags,Die wichtigste Aufgabe des Bundestags ist aber: Gesetze beschließen.,Mk2PSAgkYNU,40.0
216,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,sich sich lassen,"Mao nutzt diese Zeit und die militärischen Fehler seiner Konkurrenten, um sich 1943 auch offiziell zum Vorsitzenden der Kommunistischen Partei wählen zu lassen.",eHVHjYmYQ5U,215.04
217,uniform,das Militär,das Militär means the armed forces or the military as an institution.,Militär,"In der Weimarer Republik bekleiden Personen aus diesen Kreisen oft einflussreiche Posten, etwa als Richter oder im Militär.",tDI4SxeoH6k,131.76
218,uniform,der Nachbar,der Nachbar means neighbor.,ihre neuen Nachbarn,Sie wollte ihre neuen Nachbarn kennenlernen.,BrTWUh8kUec,390.093
219,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,mir gesagt,"Nein, er hat mir gesagt, er ist zu Hause.",8vhAcpQejSA,484.75
220,uniform,der Tag,der Tag means the period of daylight or a 24-hour day.,Tag,Ausfahrt Tag und Nacht freihalten!,o-L4Ha843I0,10.123
221,uniform,der Job,der Job means a paid position of employment.,Job,"Wie geht ihr mit Stress im Job um? Habt ihr spezielle Routinen oder Techniken, die euch helfen, im Alltag die Ruhe zu bewahren?",Tt5DYoKSKGQ,1093.5367741935486
222,uniform,das Wort,das Wort means word.,Das Wort Geschmäckle,"Das Wort “Geschmäckle” kommt aus dem süddeutschen Sprachraum, genauer gesagt aus dem Schwäbischen.",xKB21l3klHo,515.76
223,uniform,die Wohnung,die Wohnung means apartment.,ihre früheren Wohnungen,"In ihre früheren Wohnungen ziehen nichtjüdische ""Mitbürger"" ein.",pFo2kXMqa98,318.2
224,uniform,etw./jdn. (Akk) haben,,hat,Sie hat also “neun” gesagt oder auch “sieben”.,UyJEBGjch2g,306.2294736842106
225,uniform,der Mensch,der Mensch means person/people.,den Menschen,Und wie sollte den Menschen geholfen werden?,ZVBxklE6o-I,684.6
226,uniform,jdm. (Dat) erscheinen,jemandem erscheinen means to seem to someone.,erscheint,"Vielleicht löschen sie das Universum selbst. (Böses Lachen) (Fröhliche Musik) Ein schwarzes Locher erscheint, wenn eine unfassbare Menge Materie auf ganz kleinem Raum konzentriert ist.",VOYuMywDnXI,15.233
227,uniform,die Handlung,die Handlung means action.,Handlung,"Im geschlossenen Drama gilt die Einheit von Handlung, Zeit und Ort.",rh5MUxhUUEE,519.4
228,uniform,die Antwort,die Antwort means answer.,Eine Antwort,"Eine Antwort darauf gibt US-Präsident Donald Trump vor den Kameras, oder genauer gesagt vor einer Kamera.",fvMbJHASc5o,279.44
229,uniform,der Student,der Student means student.,Studenten,"Aber das stimmt so auch nicht, denn wir führen uns vor Augen, es sind junge Menschen, die die Grünen wählen, Studenten, Abiturienten und andere.",mjak9u_sdRY,400.96
230,uniform,das Parlament,das Parlament means parliament.,das Parlament,"Es hat nur eine Woche gedauert, bis dieses Gesetz tatsächlich durch das Parlament gegangen ist.",f0f4jC56MTs,214.96
231,uniform,der Herr,der Herr means Mr.,Herr Kunze,"Ok, vielen Dank, Herr Kunze!",xdSbZ4YyGqE,397.251
232,uniform,"der Teil, das Teil",der Teil means part.,welchen Teilen,"Das heißt, aus welchen Teilen wird sie bestehen.",i4YRCtzi_B0,408.3421428571429
233,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,Anteile hält,"Außerdem möchte er die USA unabhängiger von China machen und verbieten, dass China Anteile an lebenswichtiger Infrastruktur in den USA hält.",4K-7BSnfm78,781.4
234,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,Yara finden,"Vielleicht kann er uns helfen, Yara zu finden.",Ged11_KhtWc,576.134
235,uniform,die Produktion,die Produktion means production.,die Produktion,"Kurz nach Bekanntwerden der Vorwürfe hat Volkswagen sogar angekündigt, die Produktion dort auszuweiten.",l6n5EmaQlVA,457.96
236,uniform,jdn. (Akk) erschießen,jemanden erschießen means to shoot someone (kill them with a firearm).,keine erschossen,"Ich habe sehr viele Fakten und alle Fakten sagen mir, dass Lee keine die erschossen hat.",KLDG8XvcQWw,3842.611219512194
237,uniform,der Mund,der Mund means mouth.,dein Mund,"Gut, dein Mund hast du ja schon mal trainiert, Cheer.",3TwY5jtZJvM,1277.5097435897435
238,uniform,die Quelle,die Quelle means source.,den Quellen,"In den Quellen ist immer die Rede davon, dass ungeheure Massen an Wikingern angreifen.",KE8j-fOZidQ,504.48
239,uniform,etw./jdn. (Akk) erreichen,etwas erreichen means to contact someone or make contact with them.,der Atompilz eine Höhe erreichte,"Ihre Explosion war so gewaltig, dass die Druckwelle etwa dreimal die Erde umrundete und der Atompilz eine Höhe von 64 km erreichte.",SorIEgajNd0,69.28
240,uniform,"all, alle",,allem,"Denn dass die CDU tatsächlich mit dem BSW koaliert, dürfte vor allem in den westdeutschen Bundesländern bei den Mitgliedern nicht gut ankommen.",GDKjxv78PWI,658.48
241,uniform,jdn./etw. (Akk) wählen,jemanden wählen means to elect someone (to office).,beim letzten Mal Biden gewählt,"Die Leute, die beim letzten Mal Biden nur deshalb gewählt haben, weil er eben nicht Trump ist, könnten dieses Mal nicht mitmachen.",LduT5XIVt_U,520.92
242,uniform,jdm. (Dat) gehören,gehört means heard.,gehört,Dazu gehört sie noch heute.,3ZEhLpSjHZk,545.76
243,uniform,etw. (Akk) spielen,"etwas spielen means to play (a game, instrument, or activity).",eine große Rolle spielt bei dem,"Und ich bin der Meinung, dass diese Person oder Gruppe, mit der er gesprochen hat, eine große Rolle spielt bei dem, was er gemacht hat.",LhIV_MhdhuE,597.44
244,uniform,etw. (Akk) tun,etwas tun means to do something.,tut mir,"Oh Gott, es tut mir leid, Schatz.",uD8pyhyeGMk,342.625
245,uniform,das Geschäft,das Geschäft means shop.,dem Geschäft,"Dann sind sie dieselbe Route zurückgefahren, ehe sie den Krankenwagen an dem Geschäft stehen ließen.",2L8DYY1gmXs,4764.1
246,uniform,der Bundestag,der Bundestag means the German federal parliament.,Bundestag,"Und im Bundestag wird an etwas geschraubt, das nach Zukunft klingt.",OdHj-8ngOT0,1800.8
247,uniform,"gern, gerne",gern means willingly or with pleasure.,gerne,"Ihr könnt gerne in mein Buch schauen, das heißt ""Verrückte Geschichte"".",FoTcT_yU9FM,934.56
248,uniform,etw./jdn. (Akk) haben,,hat,"Die hat in einer Pressekonferenz 2020 gesagt, dass sie nicht glaubt, dass es so bleibt, wie's jetzt ist.",yeaNw2HiSwk,860.84
249,uniform,etw. (Akk) verwenden,etwas verwenden means to use something.,verwendet,"Ich denke, das liegt unter anderem daran, dass der Begriff ""Depressionen"" im Alltag häufig missverständlich verwendet wird.",mKlga_U3pmI,105.44
250,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,sprechen,"Sie können sich gut ausdrücken, fließend sprechen und man hört ihnen einfach sehr gerne zu. Diese Personen sind eloquent.",kC4ISShpZhE,262.24303797468355
251,uniform,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,schreibt in die Kommentare,"Also, wenn ihr Themenvorschläge für nächste Videos habt, schreibt sie gerne in die Kommentare.",-NMs56pQ9EE,898.44
252,uniform,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,bedeutet,"Aber es bedeutet, etwas Kompliziertes zunächst mit einer nützlichen Vereinfachung zu erklären.",_aWSE2TqRn0,38.663
253,uniform,etw. (Akk) einschlagen,etwas einschlagen means to crash or strike down.,die Signale schlagen zum Gehirn ein,"Jedenfalls, die Signale von diesen Nozizeptoren, egal von wo sie kommen, schlagen alle dieselbe Route zum Gehirn ein.",CgGITxbcA1o,259.32
254,uniform,der Herr,der Herr means Mr.,Herr Kunze,"Sie sind dran, Herr Kunze!",BtEaCm4OU5s,354.955
255,uniform,der Hafen,der Hafen means harbor/haven.,den Hafen,"Die Nevada, die beim ersten Angriff beschädigt wurde, konnte sich in den Hafen manövrieren, wird aber erneut mehrfach von den japanischen Bombern getroffen.",6j7502LJKcU,3783.5211428571424
256,uniform,das Bild,das Bild means image.,fehlende Bilder,Also fehlende Bilder die unabsichtlich mit aufgezeichnet wurden z.B fällt dir im Nachhinein auf dass du eine zeitlubensequenz aus 25 Frames Material erstellen möchtest.,hG74y-GbtRA,972.4757575757575
257,uniform,etw./jdn. (Akk) haben,,hat,Sie hat dort eine Ausbildung zur Flugbegleiterin gemacht.,LQw0ss4ixsY,212.517
258,uniform,etw./jdn. (Akk) haben,,habt diese ganze Sache,"Ihr habt es bestimmt mitbekommen, diese ganze Sache hier.",De5FGogMWzQ,33.16
259,uniform,das Gefühl,das Gefühl means feeling or intuition.,dieses Gefühl,"Ich möchte dieses Gefühl nicht nur für die nächsten Monate oder Jahre haben, sondern für den Rest meines Lebens.",vgH0qWtM920,546.373273381295
260,uniform,der Staat,der Staat means the government or the state as a political entity.,die einzelnen Staaten,"Denn die einzelnen Staaten entscheiden, wie gesagt, selbst, was sie tun und was sie lassen wollen.",AnlPAnneitY,158.2
261,uniform,etw. (Akk) meinen,etwas meinen means to mean something.,meine,"Genau das meine ich, Willie.",_l5a2PJG60s,723.097
262,uniform,die Mama,die Mama means mother/mom.,Deine Mama,"Deine Mama ist hier, Lisa.",uD8pyhyeGMk,696.333
263,uniform,die Frucht,die Frucht means fruit.,Früchte,"Nur Früchte und Zucker, also kein Problem.",EKhS5JC8BEk,1030.896
264,uniform,etw. (Akk) verarbeiten,etwas verarbeiten means to process (an emotional experience).,verarbeitet,Fleisch hat noch einen großen Vorteil: Einige der Nährstoffe im Fleisch können schneller verarbeitet und genutzt werden als die in Pflanzen.,q6YkYx7-Y_k,112.08
265,uniform,mit jdm. / über etw./jdn. sprechen,mit jemandem sprechen means to speak with someone.,spreche mit meinen Freunden,"Ich spreche oft mit meinen Freunden über Afrika und ich sage Ihnen, dass wir dort viel Geld verdienen können.",Dtf3SQY04B8,1491.22
266,uniform,etw./jdn. (Akk) haben,,hat,Dieses Mal hat man kaum etwas darüber gehört.,X4BzEfN_3MI,400.2
267,uniform,jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen,jemandem etwas abziehen means to subtract or deduct something.,ziehen die Nub ab ab,"Aber muss schnell sein, ja? Ja, wir ziehen die Nub schnell ab. Genauso das wollte ich hören, Controller Queen.",4eHUfuF5MRk,108.888
268,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was macht,"Da ist sehr viel schief gelaufen und man hat den Eindruck bekommen, da weiß der eine nicht, was der andere macht.",ZSMvWosDDmw,530.24
269,uniform,die Frage,die Frage means question.,Eine zentrale Frage,Eine zentrale Frage würde sein: Wer gilt denn eigentlich als bayrischer Staatsbürger?,POU5TGGiNVQ,409.44
270,uniform,die Million,die Million means million.,Millionen Menschen,Mindestens acht Millionen Menschen sterben.,Kt6QoiZ4mQs,937.08
271,uniform,das Thema,das Thema means topic.,großes Thema,"Herr Huizinga, die Abnehmspritze, großes Thema in den letzten Wochen und Monaten, auch von den Medien extrem hochgespielt.",RoaPmJTjLuA,1018.48
272,uniform,jdm. (Dat) etw. (Akk) reichen,etwas reicht nicht means something is insufficient or not enough.,reicht,"Ja, eine kurze E-Mail reicht aber.",UPcn0kz0lr0,932.765
273,uniform,etw. (Akk) wollen,,will,Das will ich einmal vorweg sagen.,ca4CuIj_U9w,5875.951818181818
274,uniform,die Leute,die Leute means people.,Leuten,"Ich gehe in Museen und in französische Filme und werde mit Leuten reden, die viel Ahnung von allem haben.",oo-MyTJjVZ4,516.72
275,uniform,die Bewertung,die Bewertung means review or evaluation.,Kritische Bewertungen,Kritische Bewertungen finden wir so gut wie gar keine.,Dmhm8dTn2nY,141.52
276,uniform,etw. (Akk) können,,könnte,Auch dieses Mal könnte die Regierung auf die Opposition zugehen und nach Unterstützung fragen.,Mt0wAFkRzlI,903.24
277,uniform,die Geschichte,die Geschichte means story.,eine andere Geschichte,"Während sich absurde Ideen in der Wissenschaft nur schwer durchsetzen, ist es in den Medien eine ganz andere Geschichte.",Nn2rJrKwENI,602.32
278,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,das in Japan gibt,"Probier vielleicht etwas, das es in Japan nicht gibt. -Alle. -Alle?",9rkoFS7K6SY,313.66
279,uniform,etw. (Akk) können,,können,Dann können wir es prüfen.,1_Sne_JjXLU,1631.546
280,uniform,von etw. ausgehen,von etwas ausgehen means to go out (for entertainment).,ausgehen,Man kann nicht ausgehen und knallen.,98S3JDk_7Ww,1081.33
281,uniform,jdn./etw. (Akk) kontrollieren,jemanden kontrollieren means to control someone or something.,kontrolliert,"Wenn es einen Totalausfall gibt, wird das Trinkwasser nicht mehr automatisch kontrolliert.",DAe5BuOQCSM,441.84
282,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,für sich lassen,Die alle anderen für sich haben arbeiten lassen.,x0WbGMS3cHE,125.433
283,uniform,auf jdn./etw. (Akk) zutreffen,auf jemanden zutreffen means to apply to someone.,zutreffen,"Aber egal welche Gründe jetzt zutreffen oder nicht, klar ist, Drogen sind in den meisten Ländern auf der Welt zu einem großen Teil verboten.",u7YEFl63xXc,355.56
284,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,Außer finden eine Niere,Außer wir finden eine Niere für Sie.,PQueNUkAZJ4,530.458
285,uniform,die Datei,die Datei means a digital file.,die Dateien,"Solltest du die Dateien also irgendwann mal aus Versehen löschen oder verschieben, dann findet CapCut sie nicht mehr wieder.",Qd7JsVjaKSI,95.4895238095238
286,uniform,die Straße,die Straße means street.,die Straße,Oder indem sie bei Fridays for Future auf die Straße gehen.,4K2Pm82lBi8,1438.92
287,uniform,der Freund,der Freund means friend.,mein Freund,"Inshallah, mein Freund, so Gott will.",Nsc9siYOMNE,1680.2
288,uniform,etw. (Akk) können,,können,Denn damals können die Menschen noch nicht Architektur studieren.,iy9Dpimk2PI,78.32
289,uniform,der Euro,der Euro means the euro (the currency).,137.000 Euro,Durch den Digitalpakt würden laut Bundesbildungsministerium jede Schule eine Finanzspritze von ca. 137.000 Euro bekommen.,BQpbIjXESwE,166.0
290,uniform,das Krankenhaus,das Krankenhaus means hospital.,das Krankenhaus,Wir müssen sofort das Krankenhaus evakuieren.,Z2zXDdFzofQ,296.0
