n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
347,0.12,jev-1.13.0,676,0.25,frame,,panel,mit jdm. / über etw./jdn. sprechen
348,0.23,jev-1.13.0,702,0.22,frame,,panel,mit jdm. / über etw./jdn. sprechen
349,0.51,jev-1.13.0,680,0.27,construction,,panel,das Beispiel
350,0.65,jev-1.13.0,664,0.25,frame,,panel,das Beispiel
351,0.36,jev-1.13.0,691,0.27,construction,,panel,das Beispiel
352,0.75,jev-1.13.0,662,0.44,frame,,panel,"selbst, selber"
353,0.75,jev-1.13.0,655,0.24,frame,,panel,"selbst, selber"
354,0.66,jev-1.13.0,666,0.28,frame,,panel,"selbst, selber"
355,0.87,jev-1.13.0,652,0.26,frame,,panel,die Zeit
356,0.81,jev-1.13.0,665,0.32,frame,,panel,die Zeit
357,0.57,jev-1.13.0,650,0.28,construction,,panel,die Zeit
358,0.87,jev-1.13.0,658,0.3,frame,,panel,das Land
359,0.91,jev-1.13.0,655,0.44,frame,,panel,das Land
360,0.78,jev-1.13.0,673,0.31,frame,,panel,das Land
361,0.75,jev-1.13.0,668,0.3,frame,,panel,etw. (Akk) bekommen
362,0.62,jev-1.13.0,663,0.26,frame,,panel,etw. (Akk) bekommen
363,0.7,jev-1.13.0,677,0.35,frame,,panel,etw. (Akk) bekommen
364,0.95,jev-1.13.0,664,0.33,frame,,panel,etw./jdn. (Akk) brauchen
365,0.14,jev-1.13.0,679,0.3,other,,panel,etw./jdn. (Akk) brauchen
366,0.92,jev-1.13.0,686,0.39,frame,,panel,etw./jdn. (Akk) brauchen
367,0.13,jev-1.13.0,692,0.36,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
368,0.51,jev-1.13.0,678,0.27,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
369,0.14,jev-1.13.0,683,0.28,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
370,0.69,jev-1.13.0,678,0.34,frame,,panel,"gern, gerne"
371,0.79,jev-1.13.0,654,0.33,frame,,panel,"gern, gerne"
372,0.78,jev-1.13.0,651,0.36,frame,,panel,"gern, gerne"
373,0.87,jev-1.13.0,655,0.33,frame,,panel,"nichts, nix"
374,0.62,jev-1.13.0,669,0.36,construction,,panel,"nichts, nix"
375,0.72,jev-1.13.0,653,0.36,frame,,panel,"nichts, nix"
376,0.26,jev-1.13.0,662,0.33,frame,,panel,jdm. (Dat) passieren
377,0.61,jev-1.13.0,686,0.36,frame,,panel,jdm. (Dat) passieren
378,0.63,jev-1.13.0,672,0.36,frame,,panel,jdm. (Dat) passieren
379,0.75,jev-1.13.0,677,0.33,frame,,panel,der Tag
380,0.81,jev-1.13.0,653,0.25,frame,,panel,der Tag
381,0.53,jev-1.13.0,655,0.33,frame,,panel,der Tag
382,0.88,jev-1.13.0,681,0.24,frame,,panel,die Frage
383,0.77,jev-1.13.0,655,0.25,frame,,panel,die Frage
384,0.89,jev-1.13.0,665,0.3,frame,,panel,die Frage
385,0.6,jev-1.13.0,666,0.31,frame,,panel,der Mann
386,0.69,jev-1.13.0,666,0.35,frame,,panel,der Mann
387,0.96,jev-1.13.0,657,0.27,frame,,panel,der Mann
388,0.12,jev-1.13.0,668,0.27,other,,panel,jdm. (Dat) / etw. (Akk) glauben
389,0.47,jev-1.13.0,679,0.26,other,,panel,jdm. (Dat) / etw. (Akk) glauben
390,0.12,jev-1.13.0,669,0.27,other,,panel,jdm. (Dat) / etw. (Akk) glauben
391,0.54,jev-1.13.0,661,0.26,frame,,panel,die Frau
392,0.72,jev-1.13.0,672,0.27,frame,,panel,die Frau
393,0.89,jev-1.13.0,667,0.29,frame,,panel,die Frau
394,0.13,jev-1.13.0,669,0.33,other,,panel,etw./jdn. (Akk) lassen
395,0.64,jev-1.13.0,665,0.29,frame,,panel,etw./jdn. (Akk) lassen
396,0.6,jev-1.13.0,681,0.29,other,,panel,etw./jdn. (Akk) lassen
397,0.7,jev-1.13.0,692,0.29,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
398,0.64,jev-1.13.0,697,0.45,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
399,0.56,jev-1.13.0,665,0.3,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
400,0.39,jev-1.13.0,664,0.28,other,,panel,nach etw. aussehen
401,0.69,jev-1.13.0,707,0.36,other,,panel,nach etw. aussehen
402,0.68,jev-1.13.0,669,0.28,other,,panel,nach etw. aussehen
403,0.59,jev-1.13.0,655,0.28,frame,,panel,die Leute
404,0.92,jev-1.13.0,653,0.49,frame,,panel,die Leute
405,0.8,jev-1.13.0,676,0.25,frame,,panel,die Leute
406,0.91,jev-1.13.0,675,0.44,frame,,panel,die Partei
407,0.9,jev-1.13.0,670,0.36,frame,,panel,die Partei
408,0.77,jev-1.13.0,673,0.26,frame,,panel,die Partei
409,0.86,jev-1.13.0,679,0.27,frame,,panel,jdm. (Dat) etw. (Akk) zeigen
410,0.35,jev-1.13.0,676,0.33,frame,,panel,jdm. (Dat) etw. (Akk) zeigen
411,0.12,jev-1.13.0,683,0.36,other,,panel,jdm. (Dat) etw. (Akk) zeigen
412,0.73,jev-1.13.0,657,0.36,frame,,panel,das Leben
413,0.56,jev-1.13.0,683,0.33,construction,,panel,das Leben
414,0.59,jev-1.13.0,677,0.36,frame,,panel,das Leben
415,0.8,jev-1.13.0,665,0.36,frame,,panel,das Kind
416,0.67,jev-1.13.0,699,0.34,frame,,panel,das Kind
417,0.69,jev-1.13.0,664,0.35,frame,,panel,das Kind
418,0.21,jev-1.13.0,666,0.36,construction,,panel,etw./jdn. (Akk) nehmen
419,0.16,jev-1.13.0,662,0.26,construction,,panel,etw./jdn. (Akk) nehmen
420,0.45,jev-1.13.0,681,0.27,frame,,panel,etw./jdn. (Akk) nehmen
421,0.13,jev-1.13.0,688,0.29,construction,,panel,jdm. (Dat) etw. (Akk) bringen
422,0.14,jev-1.13.0,691,0.25,construction,,panel,jdm. (Dat) etw. (Akk) bringen
423,0.47,jev-1.13.0,675,0.38,frame,,panel,jdm. (Dat) etw. (Akk) bringen
424,0.46,jev-1.13.0,664,0.26,frame,,panel,das Problem
425,0.78,jev-1.13.0,671,0.24,frame,,panel,das Problem
426,0.86,jev-1.13.0,671,0.25,frame,,panel,das Problem
427,0.66,jev-1.13.0,667,0.27,frame,,panel,der Fall
428,0.35,jev-1.13.0,655,0.26,construction,,panel,der Fall
429,0.67,jev-1.13.0,660,0.25,frame,,panel,der Fall
430,0.49,jev-1.13.0,652,0.27,frame,,panel,der Herr
431,0.38,jev-1.13.0,659,0.28,frame,,panel,der Herr
432,0.51,jev-1.13.0,654,0.24,frame,,panel,der Herr
433,0.81,jev-1.13.0,653,0.23,frame,,panel,das Thema
434,0.6,jev-1.13.0,659,0.28,frame,,panel,das Thema
435,0.71,jev-1.13.0,674,0.24,frame,,panel,das Thema
436,0.09,jev-1.13.0,660,0.27,other,,panel,jdm. (Dat) gehören
437,0.14,jev-1.13.0,674,0.27,other,,panel,jdm. (Dat) gehören
438,0.07,jev-1.13.0,658,0.36,other,,panel,jdm. (Dat) gehören
439,0.84,jev-1.13.0,666,0.34,frame,,panel,etw./jdn. (Akk) kennen
440,0.72,jev-1.13.0,686,0.28,frame,,panel,etw./jdn. (Akk) kennen
441,0.66,jev-1.13.0,684,0.29,frame,,panel,etw./jdn. (Akk) kennen
442,0.85,jev-1.13.0,682,0.47,frame,,panel,das Geld
443,0.9,jev-1.13.0,661,0.3,frame,,panel,das Geld
444,0.87,jev-1.13.0,654,0.39,frame,,panel,das Geld
445,0.9,jev-1.13.0,679,0.36,frame,,panel,jdm. (Dat) helfen
446,0.7,jev-1.13.0,665,0.23,frame,,panel,jdm. (Dat) helfen
447,0.92,jev-1.13.0,667,0.29,frame,,panel,jdm. (Dat) helfen
448,0.81,jev-1.13.0,660,0.33,frame,,panel,"lange, lang"
449,0.79,jev-1.13.0,666,0.36,frame,,panel,"lange, lang"
450,0.69,jev-1.13.0,655,0.36,frame,,panel,"lange, lang"
