sent,build,surface,initial,tag,st_xpos,md,md_repaired,st,acc,att_md_repaired,att_st,text
2227,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,Neulich habe ich vier Stunden im Wartezimmer gesessen!” Man muss dort also sehr lange warten.
2228,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,Da schreibt ihr oft: Kannst du darüber nicht mal ein Video machen?
2229,subtitle,ihnen,0,PPER,PPER,ihnen,ihnen,sie,sie,1,1,Allein in Berlin lassen sich mehr als 300.000 von ihnen nieder.
2230,subtitle,ge-,0,TRUNC,$(,ge,ge,ge-,ge-,1,0,"Für das Hochdeutsche lautet jedoch die Regel: Das Partizip 2 des Hilfsverbs ""werden"" spart sich ein ge- und heißt ""worden""."
2232,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,"Damit sind wir beim dritten Punkt, der ist besonders heikel."
2232,subtitle,dritten,0,ADJA,ADJA,dritter,dritter,dritt,dritt,1,1,"Damit sind wir beim dritten Punkt, der ist besonders heikel."
2233,subtitle,Jemen,0,NN,NE,Jem,jem,Jemen,Jemen,1,1,Saudi-Arabien grenzt direkt an den Jemen an. Die große Sorge ist: Feindliche Mächte könnten sich hier etablieren und Saudi-Arabien angreifen.
2233,subtitle,Mächte,0,NN,NN,Mächt,mächt,Macht,Macht,0,1,Saudi-Arabien grenzt direkt an den Jemen an. Die große Sorge ist: Feindliche Mächte könnten sich hier etablieren und Saudi-Arabien angreifen.
2234,subtitle,Dass,1,KOUS,KOUS,dass,dass,daß,daß,1,1,Dass Donald Trump einfach im Weißen Haus bleiben würde.
2234,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,Dass Donald Trump einfach im Weißen Haus bleiben würde.
2238,subtitle,domestizierte,0,ADJA,ADJA,domestiziert,domestiziert,domestizieren,domestizieren,1,1,"Das waren v.a. domestizierte Tiere, also Rinder, Schafe, Ziegen, Schweine."
2239,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,Das freut mich besonders bei den vielen Hörspiele die es auch auf Bookbeat gibt.
2239,subtitle,vielen,0,PIAT,PIAT,vieler,vieler,viel,viel,1,1,Das freut mich besonders bei den vielen Hörspiele die es auch auf Bookbeat gibt.
2243,subtitle,ins,0,APPRART,ART,in,in,ecser,ins,1,0,Ihr müsst sofort ins Krankenhaus kommen.
2247,subtitle,einiger,0,PIAT,PIAT,einiger,einiger,einige,einige,1,1,"Zumindest von den Sanktionen, die vor einiger Zeit in Kraft traten."
2249,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Ohne dich hätte ich die Prüfung nicht bestanden.
2250,subtitle,Dass,1,KOUS,KOUS,dass,dass,daß,daß,1,1,"Dass die Cybersicherheit gestärkt wird, es schnelles Internet gibt und die Netzneutralität gewahrt bleibt."
2250,subtitle,gewahrt,0,VVPP,VVPP,wahren,wahren,gewahrt,gewahren,1,1,"Dass die Cybersicherheit gestärkt wird, es schnelles Internet gibt und die Netzneutralität gewahrt bleibt."
2251,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,Da findet ihr eine Playlist und direkt darunter gibt’s ein weiteres Video zu einem anderen spannenden Thema.
2251,subtitle,’s,0,NN,PPER,’s,’s,'s,'s,0,0,Da findet ihr eine Playlist und direkt darunter gibt’s ein weiteres Video zu einem anderen spannenden Thema.
2252,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,So war es auch schon im April.
2257,subtitle,Bitte,1,ADV,ADV,bitte,bitte,bitten,Bitte,1,1,"Bitte kommen Sie mit, der Prozess geht weiter."
2257,subtitle,Prozess,0,NN,NN,Prozess,prozess,Prozeß,Prozeß,1,1,"Bitte kommen Sie mit, der Prozess geht weiter."
2259,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,"Wenn man zum Beispiel am Computer sitzt und etwas einfach nicht funktioniert, egal, was man versucht."
2259,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,"Wenn man zum Beispiel am Computer sitzt und etwas einfach nicht funktioniert, egal, was man versucht."
2261,subtitle,zelebriert,0,VVPP,VVPP,zelebrieren,zelebriert,zelebrieren,zelebrieren,1,1,"Genau, inklusive Adresse, Geburtstag natürlich auch, weil das wird auch immer groß zelebriert."
2262,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Ich bin hier, um dir zu gratulieren."
2263,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Ja, geh mir aus den Augen."
2265,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,"Wie beim Radio und beim Kino, geht die Entwicklung des Fernsehens auch im 19. Jahrhundert los."
2265,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,"Wie beim Radio und beim Kino, geht die Entwicklung des Fernsehens auch im 19. Jahrhundert los."
2265,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Wie beim Radio und beim Kino, geht die Entwicklung des Fernsehens auch im 19. Jahrhundert los."
2267,subtitle,was,0,PRELS,PWS,wer,wer,was,was,1,1,"Wenn man jemanden in Verlegenheit bringt, dann sagt man etwas, was für eine andere Person peinlich oder unangenehm ist."
2268,subtitle,einige,0,PIAT,PIAT,einiger,einiger,einige,einige,1,1,Aber es gab zumindest einige weitere Optionen.
2270,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"""Bürgerbewegung"" ist die Partei des ehemaligen Betriebsratschefs von Porsche, Uwe Hück, der auch mal Europameister im Thaiboxen war."
2275,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,Dankeschön und bis zum nächsten Mal!
2275,subtitle,nächsten,0,ADJA,ADJA,nächster,nächster,nah,nah,1,1,Dankeschön und bis zum nächsten Mal!
2276,subtitle,uns,0,PRF,PRF,sich,sich,wir,wir,1,1,"Bevor wir uns mit dem Hambacher Fest beschäftigen, erkläre ich euch erst mal, wie sich damals die große Weltlage darstellt."
2276,subtitle,euch,0,PRF,PPER,euch,euch,ihr,ihr,1,1,"Bevor wir uns mit dem Hambacher Fest beschäftigen, erkläre ich euch erst mal, wie sich damals die große Weltlage darstellt."
2277,subtitle,vom,0,APPRART,ART,von,von,vom,vom,1,1,"Da merkt man mal wieder, dass wir vom Affen abstammen."
2277,subtitle,Affen,0,NN,NN,affen,affen,Affe,Affe,1,1,"Da merkt man mal wieder, dass wir vom Affen abstammen."
2278,subtitle,Grossteil,0,NN,NN,Grossteil,grossteil,Großteil,Großteil,1,1,Ein Grossteil der Lieferungen stammt aus Venezuela.
2281,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,Könnt ihr mir paar Pringles mitbringen?
2281,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,Könnt ihr mir paar Pringles mitbringen?
2282,subtitle,bestätigte,0,ADJA,ADJA,bestätigt,bestätigt,bestätigen,bestätigen,1,1,"Rund 250 bestätigte Fälle weltweit, steht hier."
2283,subtitle,einigen,0,PIAT,PIAT,einiger,einiger,einige,einige,1,1,"In einem Interview mit Table Media hat Ramelow vor einigen Wochen gesagt, er persönlich habe, Zitat: ""null Bock auf Minderheitsregierung""."
2284,subtitle,Ihm,1,PPER,PPER,ihm,ihm,er,er,1,1,"Ihm war es wichtiger auszusuchen, welche hübsche, junge FDJlerin neben ihm sitzt."
2284,subtitle,auszusuchen,0,VVIZU,VVIZU,auszusuchen,auszusuchen,aussuchen,aussuchen,1,1,"Ihm war es wichtiger auszusuchen, welche hübsche, junge FDJlerin neben ihm sitzt."
2284,subtitle,ihm,0,PPER,PPER,ihm,ihm,er,er,1,1,"Ihm war es wichtiger auszusuchen, welche hübsche, junge FDJlerin neben ihm sitzt."
2287,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Ich hoffe, dass Marie in den Park kommt, um mit mir zu reden."
2288,subtitle,verabschieden,0,VVINF,VVINF,verabschieden,verabschieden,verabscheiden,verabschieden,1,1,"Man könnte sagen, das wird übernommen, hie und da geändert, dann kann die Regierung das Gesetz verabschieden."
2293,subtitle,Im,0,APPRART,ART,in,in,im,im,1,1,"Zitat: Im Fußball würde man dazu sagen: in den Farben getrennt, in der Sache vereint."
2294,subtitle,Im,1,APPRART,ART,in,in,im,im,1,1,Im Prozess sagt er zunächst nichts.
2294,subtitle,Prozess,0,NN,NN,Prozess,prozess,Prozeß,Prozeß,1,1,Im Prozess sagt er zunächst nichts.
2295,subtitle,müsste,0,VMFIN,VMFIN,müssten,müsste,müssen,müssen,1,1,"Vorher hatte man immer damit argumentiert, die Bundesrepublik Deutschland sei Nachfolger des Naziregimes und müsste die Kosten übernehmen."
2297,subtitle,meine,0,VVFIN,PPER,meinen,meinen,mein,meinen,1,1,"Mm. Verstehst du, was ich meine? (JP spricht in Zungen)."
2302,subtitle,mich,0,PPER,PPER,sich,sich,ich,ich,1,1,"I tell you he's darauf aus, mich zu töten."
2303,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,Das “aber” lässt diese Aufforderung im Gespräch sehr natürlich klingen.
2306,subtitle,Abgeordneten,0,NN,NN,abgeordneter,abgeordneter,Abgeordnete,Abgeordnete,1,1,Die Abgeordneten werden alle vier Jahre gewählt und bilden den Deutschen Bundestag.
2306,subtitle,alle,0,PIAT,PIAT,aller,aller,alle,alle,1,1,Die Abgeordneten werden alle vier Jahre gewählt und bilden den Deutschen Bundestag.
2310,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,"Ich hab euch dieses ""Project 2025"" unten in der Infobox verlinkt, da erfahrt ihr dann mehr darüber."
2310,subtitle,verlinkt,0,VVPP,VVPP,verlinken,verlinkt,verlinken,verlinken,1,1,"Ich hab euch dieses ""Project 2025"" unten in der Infobox verlinkt, da erfahrt ihr dann mehr darüber."
2310,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Ich hab euch dieses ""Project 2025"" unten in der Infobox verlinkt, da erfahrt ihr dann mehr darüber."
2312,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,Lasst uns mit dem hinteren Teil des Kopfes anfangen.
2312,subtitle,hinteren,0,ADJA,ADJA,hinterer,hinterer,hinter,hinter,1,1,Lasst uns mit dem hinteren Teil des Kopfes anfangen.
2318,subtitle,Ihnen,0,PPER,PPER,ihnen,ihnen,Sie,Sie,1,1,Sie wird Ihnen keine Vorwürfe machen.
2319,subtitle,überzeugt,0,VVFIN,VVFIN,überzeugen,überzeugen,überzeugt,überzeugt,1,1,"Also diese Argumentation überzeugt mich jetzt überhaupt nicht, denn Bewegungsmangel hat auch kein typisches Krankheitsbild, sondern begünstigt eine ganze Vielzahl von Krankheiten."
2319,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,"Also diese Argumentation überzeugt mich jetzt überhaupt nicht, denn Bewegungsmangel hat auch kein typisches Krankheitsbild, sondern begünstigt eine ganze Vielzahl von Krankheiten."
2326,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,"Die Kommunikationsbranche wäre vermutlich betroffen, Satelliten würden ausfallen durch den Ruß u.v.m. Flugzeuge müssen für Monate oder Jahre am Boden bleiben."
2327,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Könnt ihr euch noch erinnern, dass ich als Kind immer einen anderen Berufswunsch hatte?"
2327,subtitle,euch,0,PRF,PPER,euch,euch,ihr,ihr,1,1,"Könnt ihr euch noch erinnern, dass ich als Kind immer einen anderen Berufswunsch hatte?"
2329,subtitle,ähh,0,PIS,VVFIN,ähh,ähh,ähhen,ähh,1,0,"Wir ähh, wir sind Freunde von Mario."
2331,subtitle,Umfragewerte,0,NN,NN,Umfragewerte,umfragewerte,Umfragewert,Umfragewert,1,1,Die Umfragewerte der Grünen sehen zwar momentan nicht ganz so rosig aus wie vor zwei oder drei Monaten.
2332,subtitle,Am,1,APPRART,APPR,an,an,Am,Am,1,1,Am 22. Februar werden die schlicht ausgebildeten biesischen und indischen Truppen zersprengt und flüchten.
2333,subtitle,oberste,0,ADJA,ADJA,oberer,oberer,ober,ober,1,1,"Das Malerkrepp verhindert ein Verlaufen des Bohrers, sodass die oberste Schicht bald durchdrungen ist."
2333,subtitle,durchdrungen,0,VVPP,VVPP,durchdrung,durchdrungen,durchdringen,durchdringen,1,1,"Das Malerkrepp verhindert ein Verlaufen des Bohrers, sodass die oberste Schicht bald durchdrungen ist."
2335,subtitle,regulierten,0,ADJA,ADJA,reguliert,reguliert,regulieren,regulieren,1,1,"Ja, Lufthansa rechnet damit, ab Samstag wieder einen weitgehend regulierten Flugplan anbieten zu können."
2336,subtitle,Schusswaffen,0,NN,NN,Schusswaffen,schusswaffen,Schußwaffe,Schußwaffe,1,1,Ein einmaliger Fall in der Geschichte der Schusswaffen.
2337,subtitle,meisten,0,PIS,PIS,meister,meister,meist,meist,1,1,Die meisten davon haben viele unterschiedliche Bedeutungen.
2337,subtitle,viele,0,PIAT,PIAT,vieler,vieler,viel,viel,1,1,Die meisten davon haben viele unterschiedliche Bedeutungen.
2341,subtitle,Mails,0,NN,NN,Mail,mail,Mails,Mails,1,1,"Damit sind wir bei Kritikpunkt Nummer eins: Klar, es ist ziemlich praktisch, wenn alles aus einer Hand kommt: Videos, Mails, Cloudspeicher und so weiter."
2344,subtitle,Am,1,APPRART,APPR,an,an,Am,Am,1,1,Am Ende kommt man auf ein Gesamtergebnis.
2345,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,"Es ist eine Plattform geworden, die dich aktiv in ein bestimmtes Nutzungsverhalten lenken will."
2345,subtitle,Nutzungsverhalten,0,NN,NN,Nutzungsverhalt,nutzungsverhalt,Nutzungsverhalten,Nutzungsverhalten,0,1,"Es ist eine Plattform geworden, die dich aktiv in ein bestimmtes Nutzungsverhalten lenken will."
2346,subtitle,Bakterien,0,NN,NN,Bakterie,bakterie,Bakterium,Bakterie,1,1,Weil die ja nur gegen Bakterien helfen.
2347,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Auch im Westen, in der Bundesrepublik konnte man das beobachten."
2352,subtitle,ins,0,APPRART,APPR,in,in,ins,ins,1,1,Du kommst für mindestens 30 Jahre ins Gefängnis.
2354,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,Ja. Ja. Mein Papa hat es mir beigebracht.
2355,subtitle,Russland,0,NN,NE,Russland,russland,Rußland,Rußland,1,1,Aber genau hier fangen die Probleme an. Bei Russland.
2358,subtitle,ihm,0,PPER,PPER,ihm,ihm,er,er,1,1,"Ich hoffe, das hilft ihm."
2360,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,Lass Dich nie wieder bei uns blicken.
2362,subtitle,weniger,0,PIAT,PIAT,weniger,weniger,wenig,wenig,1,1,"Immer weniger Menschen im Ausland wollen deutsche Autos kaufen, weil sie so teuer sind."
2362,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Immer weniger Menschen im Ausland wollen deutsche Autos kaufen, weil sie so teuer sind."
2363,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,"Hat sich dieser Verdacht einmal festgesetzt, könnte dich schon die bloße Angst vor Gesundheitsschäden durch schwache Strahlung krank machen."
2366,subtitle,Escobars,0,NN,NE,Escobar,escobar,Escobars,Escobars,1,1,"Tatsächlich sind Escobars Aktionen so alltäglich, dass man sagen kann: Täglich explodieren Bomben."
2369,subtitle,warst,0,VVFIN,VAFIN,warn,warst,sein,sein,1,1,Du warst gestern bei einer Therapeutin.
2371,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Also, wenn ihr euch oft müde fühlt, ich fürchte, der Osterhase hat euch zu oft gepeitscht."
2371,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,"Also, wenn ihr euch oft müde fühlt, ich fürchte, der Osterhase hat euch zu oft gepeitscht."
2371,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,"Also, wenn ihr euch oft müde fühlt, ich fürchte, der Osterhase hat euch zu oft gepeitscht."
2372,subtitle,Kohlenstoffketten,0,NN,NN,Kohlenstoffkett,kohlenstoffkett,Kohlenstoffkette,Kohlenstoffkette,0,1,Allerdings nimmt gleichzeitig die Wasserlöslichkeit in die Richtung ab. Denn solche Kohlenstoffketten verstehen sich nicht gut mit Wasser.
2374,subtitle,Danke,1,NN,PTKANT,Danke,danke,Dank,Dank,1,1,Danke für eure Meinungen und fürs Zuschauen.
2374,subtitle,eure,0,PPOSAT,PPOSAT,eur,eur,euer,euer,1,1,Danke für eure Meinungen und fürs Zuschauen.
2374,subtitle,fürs,0,APPRART,ART,für,für,fürser,für,1,0,Danke für eure Meinungen und fürs Zuschauen.
2374,subtitle,Zuschauen,0,NN,NN,Zuschauen,Zuschauen,Zuschaue,Zuschauen,1,1,Danke für eure Meinungen und fürs Zuschauen.
2376,subtitle,mich,0,PPER,PRF,mich,mich,ich,ich,1,1,"Ich traue es mich fast nicht zu fragen, aber tätowiert er noch?"
2377,subtitle,Nackthunde,0,NN,NN,Nackthunde,nackthunde,Nackthund,Nackthund,1,1,"Wer kommt auf die Idee, Selbstbräuner auf mexikanische Nackthunde zu tun?"
2378,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2378,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2378,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2378,subtitle,beschissen,0,VVPP,VVPP,beschissen,beschissen,bescheißen,bescheißen,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2378,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2378,subtitle,mir,0,PRF,PPER,mir,mir,ich,ich,1,1,"Wer sagt uns denn, dass ihr uns nicht beschissen habt? dass ihr mir nicht vertraut ist."
2381,subtitle,ihm,0,PPER,PPER,ihm,ihm,er,er,1,1,Aber ich werde mit ihm sprechen.
2384,subtitle,Leerzeichen,0,NN,NN,Leerzeich,leerzeich,Leerzeichen,Leerzeichen,0,1,"Er wird immer von zwei Leerzeichen umschlossen, außer es folgt ein Doppelpunkt oder ein Komma."
2384,subtitle,umschlossen,0,ADJD,VVPP,umschlossen,umschlossen,umschließen,umschließen,1,1,"Er wird immer von zwei Leerzeichen umschlossen, außer es folgt ein Doppelpunkt oder ein Komma."
2387,subtitle,dir,0,PPER,PRF,dir,dir,du,dir,1,1,Das glaube ich dir nicht!
2388,subtitle,ihm,0,PPER,PPER,ihm,ihm,er,er,1,1,"Hallo, das habe ich ihm gerade klar gemacht."
2390,subtitle,eins,0,PIS,ADV,einer,einer,ein,ein,1,1,Wenn es überhaupt eins gibt.
2393,subtitle,öfter,0,ADV,ADV,öfter,öfter,oft,oft,1,1,"Aber ich habe vor, öfter herzukommen."
2393,subtitle,herzukommen,0,VVIZU,VVIZU,herzukommen,herzukommen,herkommen,herkommen,1,1,"Aber ich habe vor, öfter herzukommen."
2397,subtitle,besondere,0,ADJA,ADJA,besonderer,besonderer,besonder,besonder,1,1,"Sie hat eine besondere Eigenschaft, die man nicht so leicht beschreiben kann."
2399,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,"Ja, ich habe eine Überraschung für dich."
2402,subtitle,Kampfzonen,0,NN,NN,Kampfzon,kampfzon,Kampfzone,Kampfzone,0,1,Die Flüssigkeit transportiert einen stillen Killer in die Kampfzonen: Millionen Komplementproteine.
2402,subtitle,Komplementproteine,0,NN,NN,Komplementproteine,komplementproteine,Komplementprotein,Komplementprotein,1,1,Die Flüssigkeit transportiert einen stillen Killer in die Kampfzonen: Millionen Komplementproteine.
2406,subtitle,schlafe,0,VVFIN,VVFIN,schlafe,schlafe,schlafen,schlafen,1,1,Ja. Und dann schlafe ich erst mal.
2407,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Wenn es mir nicht möglich ist, gerade in dem Moment eine größere Antenne aufzubauen oder die Informationen relativ schnell an die Operationszentrale weitergegeben werden müssen."
2407,subtitle,Operationszentrale,0,NN,NN,Operationszentral,operationszentral,Operationszentrale,Operationszentrale,1,1,"Wenn es mir nicht möglich ist, gerade in dem Moment eine größere Antenne aufzubauen oder die Informationen relativ schnell an die Operationszentrale weitergegeben werden müssen."
2411,subtitle,anlässlich,0,ADJD,ADJD,anlässlich,anlässlich,anläßlich,anläßlich,1,1,"Das können wir auch daran sehen, dass ""anlässlich"" von dem Nomen ""der Anlass"" kommt."
2411,subtitle,Anlass,0,NN,NN,Anlass,anlass,Anlaß,Anlaß,1,1,"Das können wir auch daran sehen, dass ""anlässlich"" von dem Nomen ""der Anlass"" kommt."
2413,subtitle,Verkehrs,0,NN,NN,Verkehrs,verkehrs,Verkehr,Verkehr,1,1,Ich fahren Sie ein Verkehrs Bravo Einheit hier zentrale.
2413,subtitle,zentrale,0,ADJA,NN,zentrale,zentrale,zentral,zentral,1,1,Ich fahren Sie ein Verkehrs Bravo Einheit hier zentrale.
2414,subtitle,beiseitegeschoben,0,VVPP,VVPP,beiseitegeschoben,beiseitegeschoben,beiseiteschieben,beiseiteschieben,1,1,"Da sagen Experten, das Thema Rechtsextremismus wurde beiseitegeschoben und so konnten die Rechtsextremen ihre Strukturen stärken."
2416,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Welcher Zahnarzt Notdienst hat, erfahrt ihr im Internet."
2416,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Welcher Zahnarzt Notdienst hat, erfahrt ihr im Internet."
2417,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,Return soll sich wieder in mich verlieben.
2418,subtitle,Passwort,0,NN,NN,Passwort,passwort,Paßwort,Paßwort,1,1,Sie bekommen einen Brief mit Passwort.
2419,subtitle,alle,0,PIAT,PIS,aller,aller,alle,alle,1,1,Auf dem freien Markt sind alle Auf dem freien Markt sind alle Teilnehmer frei.
2419,subtitle,alle,0,PIAT,PIAT,aller,aller,alle,alle,1,1,Auf dem freien Markt sind alle Auf dem freien Markt sind alle Teilnehmer frei.
2421,subtitle,ersten,0,ADJA,ADJA,erster,erster,erst,erst,1,1,"Auf Basis einer ersten Medical List, also einer Liste mit verbotenen Substanzen und Methoden, die das Internationale Olympische Komitee schon 1967 erstellt hat."
2422,subtitle,Im,1,APPRART,ART,in,in,im,im,1,1,"Im besten Fall gibt es kleinere lokale Konflikte, kleine Attacken, im schlechtesten Fall könnte es eine Art Flächenbrand geben."
2422,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Im besten Fall gibt es kleinere lokale Konflikte, kleine Attacken, im schlechtesten Fall könnte es eine Art Flächenbrand geben."
2424,subtitle,wird's,0,VAFIN,VAFIN,wird's,wird's,werd'en,wird'ss,0,0,"Wenn der Fisch kommt, wird's auch wieder spannender."
2426,subtitle,bräuchte,0,VVFIN,VVFIN,bräuchte,bräuchte,brauchen,brauchen,1,1,"Denn dafür bräuchte man erst mal Geld, um Spieler zu kaufen."
2427,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Bald lacht ihr mich nicht mehr, wenn ich Sexback habe."
2427,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,"Bald lacht ihr mich nicht mehr, wenn ich Sexback habe."
2428,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,Dann hat mich das schon eine Weile beschäftigt.
2429,subtitle,eine,0,PIS,PIS,einer,einer,ein,ein,1,1,Die Verbindung unserer jeweiligen Strom- oder Energiesysteme ist sicherlich eine der zukünftigen Aufgaben in Europa und Fortschritte sind dort erzielt worden.
2434,subtitle,Zum,1,APPRART,ART,zu,zu,zum,zum,1,1,"Zum Beispiel, wenn man eine Bindung zu Menschen aus der gleichen Region aufbauen will oder bei der Identitätsbildung."
2435,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,Nick Gorki fährt heute zum Ground Zero.
2440,subtitle,nächsten,0,ADJA,ADJA,nächster,nächster,nah,nah,1,1,Kommen wir nun zu unserem nächsten alltäglichen Verb: “etwas erklären”.
2443,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,Die UV-Strahlung liegt im elektromagnetischen Spektrum neben dem sichtbaren Licht.
2444,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,"Damit sind wir beim ersten Punkt, wie Donald Trump zurückkommen könnte."
2444,subtitle,ersten,0,ADJA,ADJA,erster,erster,erst,erst,1,1,"Damit sind wir beim ersten Punkt, wie Donald Trump zurückkommen könnte."
2445,subtitle,zur,0,APPRART,APPR,zu,zu,zur,zu,1,1,"Eine Richterin, ein Richter in Deutschland gehört zur Judikative."
2447,subtitle,ihn,0,PPER,PPER,ihn,ihn,er,er,1,1,"Also: Weil sie ihn liebte, zog sie nach Hamburg."
2449,subtitle,dich,0,PRF,PRF,dich,dich,du,du,1,1,"Baba, ich muss dich etwas fragen."
2452,subtitle,gibt's,0,VVFIN,VVFIN,gibt'sn,geben,gibte'n,gibten,1,0,Jetzt gibt's ein Video dazu.
2453,subtitle,Gezeitenkräfte,0,NN,NN,Gezeitenkräft,gezeitenkräft,Gezeitenkraft,Gezeitenkraft,0,1,Deine Zellen würden durch seine gewaltigen Gezeitenkräfte auseinandergerissen werden und das Schwarze Loch würde dich verschlingen bevor du es überhaupt merkst.
2453,subtitle,auseinandergerissen,0,VVPP,VVPP,auseinandergerissen,auseinandergerissen,auseinanderreißen,auseinanderreißen,1,1,Deine Zellen würden durch seine gewaltigen Gezeitenkräfte auseinandergerissen werden und das Schwarze Loch würde dich verschlingen bevor du es überhaupt merkst.
2453,subtitle,dich,0,PRF,PPER,dich,dich,du,du,1,1,Deine Zellen würden durch seine gewaltigen Gezeitenkräfte auseinandergerissen werden und das Schwarze Loch würde dich verschlingen bevor du es überhaupt merkst.
2459,subtitle,Mystische,1,ADJA,ADJA,Mystische,mystische,mystisch,mystisch,1,1,"Mystische Zither-Musik Radfahrer Reinder hat schon einiges durchgemacht: Insolvenz, Krebserkrankung, aber er hat nie aufgegeben."
2460,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,So ist es zum Beispiel bei “sprechen von” und “sprechen über”.
2461,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,"Man fährt irgendwo über die Autobahn, egal ob am Steuer oder hinten oder auf dem Beifahrersitz."
2464,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,Es gibt auf meinem Kanal übrigens noch ein Video zum Thema Prüfungsvorbereitung.
2465,subtitle,zweite,0,ADJA,ADJA,zweiter,zweiter,zweit,zweit,1,1,Die zweite ist die Vertrauensfrage.
2466,subtitle,zurückgegeben,0,VVPP,VVPP,zurückgegeben,zurückgegeben,zurückgeben,zurückgeben,1,1,In einer feierlichen Zeremonie hat der damalige britische Gouverneur Hongkongs die Region an China zurückgegeben.
2467,subtitle,letztes,0,ADJA,ADJA,letzter,letzter,letzt,letzt,1,1,Dann lassen Sie als letztes noch in die Küche gehen.
2468,subtitle,Häute,0,NN,NN,Häut,häut,Haut,Haut,0,1,"Daraus werden später Häute, sogenannte Saitlinge, für deutsche Bock- oder Bratwürste."
2468,subtitle,sogenannte,0,ADJA,ADJA,sogenannter,sogenannter,sogenannt,sogenannt,1,1,"Daraus werden später Häute, sogenannte Saitlinge, für deutsche Bock- oder Bratwürste."
