step,candidates,well_formed,chosen_score,best_score,chosen,best
861,28,8,1.0,1.0,"Weißt du, ich konnte dir nie für die Kamera danken.",Samira ist mir vor und hinter der Kamera eine große Hilfe.
862,16,9,1.0,1.0,"Weiter Folgen sind, dass auch unsere Ersparnisse an Wert verlieren.",Also es war jedes Mal eine Variable mit einem anderen Wert.
863,29,9,1.0,1.0,So werden sie dir dann auch am Computer angezeigt.,Ich werde die Polizei anrufen und diesen Dieb anzeigen!
864,20,13,1.0,1.0,Herr Hitler scheint die Feinde mehr im eigenen Land zu suchen.,Dann aus den Feinden am Himmel werden später Freunde fürs Leben.
865,28,11,1.0,1.0,Wie könnt ihr in der Hochfrequenz Financial Engineering einsteigen?,Wie könnt ihr in der Hochfrequenz Financial Engineering einsteigen?
866,25,8,1.0,1.0,Typische Quasare verzehren zwischen einer und hundert Erdmassen Gas pro Minute!,"Aber es gibt noch weniger neuro typische, die das können."
867,31,21,1.0,1.0,Wie kann man sich also vor all diesen Risiken schützen?,"Je länger der Krieg dauert, desto höher das politische Risiko."
868,23,9,1.0,1.0,"Jetzt heißt es aber warten, dass der Wind aufhört.","Es ist gerade nicht möglich, weil wir Wind haben."
869,22,15,1.0,1.0,Und nicht links oder rechts über die Felder drüber fährt.,Und nicht links oder rechts über die Felder drüber fährt.
870,21,12,1.0,1.0,"Tägliche Immersion klingt erstmal kompliziert, aber was heißt das eigentlich?","Da konnte man täglich zuschauen, wie der Gletscher kleiner wird."
871,32,6,1.0,1.0,Hilfe ich werde entführt Bitte irgendjemand muss mir helfen.,"Das war keine Bitte um Erlaubnis, sondern nur ein Gespräch."
872,27,18,1.0,1.0,Sie können doch unmöglich das letzte Wort in Punkto Führerscheine sein.,"Ich sag dir, das Kind kann unmöglich von ihm sein!"
873,26,15,1.0,1.0,Zufällig einfach mal dazwischen rufen Blau habe ich gehört.,Hat der zufällig vor langer Zeit in Walsen gelebt?
874,33,17,1.0,1.0,"Woher kommen Sie, wo haben Sie gearbeitet, was sind Ihre Hobbys?","Tja, aus diesem Hobby könntest du viel mehr machen."
875,29,14,1.0,1.0,Ich habe ein lahmes Pferd und wir werden tauschen.,"Oh, ich ich will nur nach dem Pferd sehen."
876,15,7,1.0,1.0,Ihr wollt doch die Verlobung mit unserer Familie Ruan auflösen!,Auch die Verträge von anderen Academy-Teilnehmerinnen seien aufgelöst worden.
877,34,8,1.0,1.0,Was kann man von einem Schwein anderes erwarten als grunzen?,"Jeder, der Schwein ist, bekommt bei mir eine Eins."
878,31,7,1.0,1.0,"Denkst du echt, mit ein paar Blumen wird alles wieder gut?","Denkst du echt, mit ein paar Blumen wird alles wieder gut?"
879,20,12,1.0,1.0,Vielen Dank für Ihr Interesse und bis zum nächsten Mal.,Vielen Dank für Ihr Interesse und bis zum nächsten Mal.
880,25,11,1.0,1.0,Wir haben ein wichtiges Projekt mit einer Firma aus China.,"Jede Firma, die ich auditiere, versucht, sich im besten Licht darzustellen."
881,20,13,1.0,1.0,Wir leben immer noch in Deutschland und Kultur eine große Geschichte.,"Kultur, Zivilisation und die Raumfahrt entwickelten sich dann allerdings superschnell."
882,35,15,1.0,1.0,Normalerweise schmeißen wir Leute bei einem Vergehen schon aus unserem Hotel!,"Ja, mal etw türkische Musik an, dann vergeht die Zeit schneller."
883,23,17,1.0,1.0,"Warum sollte ich mich auf das richten, was im Himmel zählt?","Nein, ich wollte ihn schon vor Jahren richten lassen."
884,33,10,1.0,1.0,Wir machen eine Pause zum Frühstück in ein paar Minuten.,"Jetzt zwei Minuten warten, dann ist das Frühstück fertig."
885,27,10,1.0,1.0,Von mir aus kannst du die Gläser mit ins Bett nehmen.,Ein Glas Whisky und Lockenwickler und du könntest meine Mom sein.
886,22,7,1.0,1.0,"Schaut, was er hier in Kolosser Kapitel 2 sagt.","Beginnen sie überall, ein neues Kapitel der Menschheitsgeschichte aufzuschlagen."
887,25,15,1.0,1.0,"Wir verschenken als Gesellschaft so viel, und viele Menschen leiden unnötig.","Ich möchte nicht, dass Ihre Beziehung zu Sarah wegen mir leidet."
888,31,10,1.0,1.0,Mit leerem Magen kann ich sowieso nicht klar denken.,"An deinem Schmuck habe ich gesehen, dass du diese Farbe magst."
889,29,9,1.0,1.0,"Tja, ihr Signore singt für ihren Meister und das bedeutet was?","Nun singt der Zuckerspiegel im Blut aber, neue Kohlenhydrate werden gebraucht."
890,26,13,1.0,1.0,Ich nehme einen Topf und mache ein Feuer um ihn herum.,Ich besuchte Kunstgalerien und stöberte in verstaubten Antiquariaten herum.
891,25,9,1.0,1.0,"Weißt du, es ist komisch, dass du gerade jetzt auftauchst.","Aliens könnten nicht nur auftauchen, sondern uns auch ziemlich schnell umzingeln."
892,29,15,1.0,1.0,"Wenn er deine Romane kauft, die Welt gehört in mute Gedanke.",Also ein guter Roman ist für mich wie Netflix.
893,25,9,1.0,1.0,"Wir verstehen unter Deflation, den Rückgang des allgemeinen Preisniveaus.","Im Allgemeinen drückt er aus, dass etwas in Ordnung ist."
894,29,11,1.0,1.0,"Zweimal rausgeworfen werden, dass es mehr als man verlangen kann.","Am Telefon sagten Sie zweimal so schnell, nicht viermal."
895,32,12,1.0,1.0,Er hatte sich mit ein paar Antikastroanern geprügelt und wurde verhaftet.,Er hatte sich mit ein paar Antikastroanern geprügelt und wurde verhaftet.
896,35,13,1.0,1.0,"Wie war denn das Leben als du noch jung warst, Oma?","Wie war denn das Leben als du noch jung warst, Oma?"
897,24,13,1.0,1.0,"Ich frage den spanischen Mann, warum er auf diesen Inseln ist.",Dann gehen wir etwas in einem spanischen Restaurant essen.
898,29,10,1.0,1.0,"Sobald wir wissen, wo Lisa ist, werden wir sie befreien.",Er hat mich aus der Macht der Finsternis befreit.
899,21,9,1.0,1.0,"Wie heiß wird das, wenn man ins Feuer rein geht?","Und es gibt eine schwarze Stelle, wo ein Feuer gewesen ist."
900,31,15,1.0,1.0,Sonst muss ich das ganze Zeug noch mal machen.,"Du weißt doch, wie viel Kalorien das Zeug hat."
901,21,13,1.0,1.0,Und ich muss nicht den ganzen Tag Unterhosen waschen.,Und ich muss nicht den ganzen Tag Unterhosen waschen.
902,35,7,1.0,1.0,"Wie wär es, wenn wir toll essen gehen und spazieren?","Wie wär es, wenn wir toll essen gehen und spazieren?"
903,22,10,1.0,1.0,"Komm, ich helfe dir ein paar passende Schuhe dafür zu finden.",Ich kann mir die Schuhe mit dem Haken drauf leisten.
904,26,10,1.0,1.0,Wir beide gehen uns jetzt mal ein paar schöne Antipasti aussuchen.,"Ich kann mir oft nicht aussuchen, worüber ich nachdenke."
905,24,9,1.0,1.0,Wie hat mein Lehrer damals immer gesagt: Ohne Fleiß keinen Preis!,Die Preise sahen gut aus und die Autos auch.
906,22,14,1.0,1.0,"Kannst du mir später zeigen, wie ich Programme selbst schließe?","Das Programm aus Ernährungstherapie, Bewegungsprogramm und Verhaltenstherapie hat er mitentwickelt."
907,23,16,1.0,1.0,Und deswegen bezeichne ich ADHS als eine Art Diabetes im Kopf.,Pershing bezeichnete ihn als den besten Frontgeneral des Krieges.
908,23,12,1.0,1.0,"Wir wollen diese beiden Männer hängen, aber streng nach dem Gesetz.",Auch alle anderen Gesetze müssen damit in Einklang stehen.
909,17,9,1.0,1.0,Und das war der soziale Vergleich mit anderen Menschen.,Im Vergleich zu meiner Stadt gibt es hier mehr Radwege.
910,18,11,1.0,1.0,"Schnell Jungs, ihr wisst, dass es 78er Gebiet ist.",In diesem Gebiet ist nur ein kleiner Asteroid angezeigt.
911,30,15,1.0,1.0,"Versteh nicht, was das mit Patienten zu tun hat.","Versteh nicht, was das mit Patienten zu tun hat."
912,20,10,1.0,1.0,Wir wurden zu Beginn des Prozesses mit Visitenkarten überschüttet.,Wir wurden zu Beginn des Prozesses mit Visitenkarten überschüttet.
913,18,9,1.0,1.0,Vor allen weil mein Vater grundsätzlich dagegen war gegen ihn.,Und deswegen gehen die grundsätzlich anders um mit China.
914,31,7,1.0,1.0,"Ich habe am Tee gerochen, wie deine Matrjoschka riecht.","Ich habe am Tee gerochen, wie deine Matrjoschka riecht."
915,26,13,1.0,1.0,Ich kann nicht mit meinem Kanu aufs Meer hinausfahren.,Ich kann nicht mit meinem Kanu aufs Meer hinausfahren.
916,19,11,0.94,0.94,"Als wir nach Hause kommen, sagt der Kapitän, benutze ein größeres Boot.","Als wir nach Hause kommen, sagt der Kapitän, benutze ein größeres Boot."
917,18,11,1.0,1.0,"Sie müssen versuchen, die Situation unter Kontrolle zu kriegen.","Deswegen kann man sagen: Kontrolle, Kurs und klare Kante zeigen Wirkung."
918,28,7,1.0,1.0,"Scheiße, ich habe Schüsse gehört, die kamen von da drüben.","Scheiße, ich habe Schüsse gehört, die kamen von da drüben."
919,21,12,1.0,1.0,Zntausende sterben im Granatfeuer und werden in zusammenstürzenden Gebäuden begraben.,"Und in diesem Gebäude, das den Namen von Louise Weiß trägt."
920,24,10,1.0,1.0,"Lacht weiter, ihr werdet mich bald im Fernsehen sehen.","Dann erzähle ich, ich war zu Hause und habe Fernsehen geguckt."
921,24,8,1.0,1.0,Und lässt sich im Jahr 800 zum Kaiser krönen.,"Aber man darf den Diktator, den kommunistischen Kaiser Chinas nicht verniedlichen."
922,23,6,1.0,1.0,Kann ich bei Ihnen den Antrag stellen für eine Terminierung?,Kann ich bei Ihnen den Antrag stellen für eine Terminierung?
923,24,9,1.0,1.0,"Vielen Dank, Lena, für diese klaren und praxisnahen Erklärungen.",Und Modelwerk hat mir auch keine Erklärung wirklich geben können.
924,14,9,1.0,1.0,Britische Kommandeure der achten Armee freuen sich über einen Sieg.,Britische Kommandeure der achten Armee freuen sich über einen Sieg.
925,19,14,1.0,1.0,Er hat den amerikanischen Bürgerkrieg gewonnen und die Sklaverei abgeschafft.,Die amerikanischen und philippinischen Streitkräfte sind schlecht ausgerüstet und unerfahren.
926,29,13,1.0,1.0,Nur ein Jahr nach Beginn unserer Ehe begann Richard zu husten.,Nur ein Jahr nach Beginn unserer Ehe begann Richard zu husten.
927,32,13,1.0,1.0,Wie weit wollen Sie in der Blechdose da reinkommen?,Wie weit wollen Sie in der Blechdose da reinkommen?
928,24,12,1.0,1.0,"Ich denke, dass die Blätter nicht noch mal überarbeitet werden sollten.","Bitte denken Sie daran, auf jedes Blatt Ihren Namen zu schreiben!"
929,28,16,1.0,1.0,Wir nehmen den Zug heute Nachmittag nach San Francisco.,"Mittags gibt es eine Pause, und am Nachmittag geht es weiter."
930,23,15,1.0,1.0,Wollen Sie bei Ihrer eigenen Hochzeit der Missachtung verurteilt werden?,"Verurteilt, der Gerichtspodcast mit Heike Borufka und Basti Red."
931,30,17,1.0,1.0,"Wir sind auf dem Weg, den Planeten Erde zu erobern.",Unser Planet hat einen Durchmesser von mehr als 12.000 Kilometern.
932,29,12,1.0,1.0,"Ja, ich hätte mir niemals träumen lassen, dass es soweit kommt.",Die AfD träumt von Atomkraftwerken und will keine neuen Windräder genehmigen.
933,33,10,1.0,1.0,Hört also gut zu und lasst euch nicht ablenken!,"Du musst ihn irgendwie ablenken, damit ich mit Yara reden kann."
934,33,14,1.0,1.0,Wie kann man seiner Tochter so etwas nur antun.,"Ich weiß nicht, wie er mir das antun konnte."
935,17,9,1.0,1.0,"Daher kommt das, wenn man die Politik so einteilt.","Daher kommt das, wenn man die Politik so einteilt."
936,13,7,1.0,1.0,"Welche Herausforderung für alle anderen, die nichts gegen Hitler gemacht haben.",Für die Baubehörden ist der Elfenglaube eine besondere Herausforderung.
937,28,11,1.0,1.0,"Und zum Schluss wollen die Hunde immer kuscheln, das ist großartig.",Und in dieser Herrlichkeitszone fühlst du dich plötzlich großartig.
938,27,14,1.0,1.0,"Ja, also er hat sich in die Hose gemacht.","Ja, also er hat sich in die Hose gemacht."
939,21,11,1.0,1.0,Sie dürfen nicht darüber berichten in den nächsten zwei Stunden.,"Eure Majestät, ich kann berichten, der Premierminister hat einen Adoptivsohn."
940,18,10,1.0,1.0,"Und die Vorstellung ist, so ist das mit dem Leben.","Und die Vorstellung ist, so ist das mit dem Leben."
941,23,12,1.0,1.0,"Ich weiß noch, als wir die Wahl gewonnen hatten.","Damit wartet er, bis er die Wahl gewonnen hat."
942,21,11,1.0,1.0,"Wer viel Geld hat, der hat Einfluss und Vorteile.","Wer viel Geld hat, der hat Einfluss und Vorteile."
943,19,11,1.0,1.0,"Live ist das, die Aufnahme wird noch geschnitten und redigiert.","Live ist das, die Aufnahme wird noch geschnitten und redigiert."
944,25,16,1.0,1.0,Und von diesem Augenblick an hatte ich keine Angst mehr.,In diesem Augenblick hat Oswald vielleicht zum ersten Mal Angst gehabt.
945,27,13,1.0,1.0,"Meine Ärztin hat gesagt, dass ich mich mal untersuchen lassen sollte.",Dann untersucht der Archäologe Antoine Muller die Kugeln mit einem Laserscan.
946,22,10,1.0,1.0,"Waco, sag allen, sie können sich die Beine vertreten.","Ich vertrete nicht nur die Täterseite, sondern auch die Opferseite."
947,27,11,1.0,1.0,Leah: Hat sich schon mal jemand einen Finger gebrochen?,Leah: Hat sich schon mal jemand einen Finger gebrochen?
948,28,7,1.0,1.0,"Immer wenn Papa kacken geht, muss ich die Luft anhalten!","Immer wenn Papa kacken geht, muss ich die Luft anhalten!"
949,32,16,1.0,1.0,Wie soll ich noch zwei Jahre mit denen aushalten?,"Ich wundere mich tatsächlich, wie sich so lange ausgehalten hat."
950,29,10,1.0,1.0,"Wenn Sie nicht still sind, höre ich gar nichts.","Wenn Sie nicht still sind, höre ich gar nichts."
951,27,11,1.0,1.0,Wir haben einen Termin mit Herrn Freundlich um 16:00 Uhr.,"Ich kenne ihn nicht gut, aber er wirkt freundlich."
952,22,12,1.0,1.0,"Zum Beispiel ein Zeuge, der schon einen Mitwirkungsvertrag unterschrieben hat.","Tommi, ma che belle ragazze, voll die geilen Zeugen."
953,20,12,1.0,1.0,"Wasserstoff soll eingesetzt werden, die Anlagen sollen dafür ertüchtigt werden.","Wasserstoff soll eingesetzt werden, die Anlagen sollen dafür ertüchtigt werden."
954,26,13,1.0,1.0,Sie ist so wertvoll und die höchste Maxime im Leben.,Ich breche gerne in Häuser ein und stehle wertvolle Sachen.
955,25,14,1.0,1.0,"Wenn Sie Brot oder Nudeln essen, dann lieber am Mittag.",Also lieber ein leichter Salat oder ein belegtes Brot.
956,30,13,1.0,1.0,So können Back-Fans zusammen mit den Omas backen lernen.,So können Back-Fans zusammen mit den Omas backen lernen.
957,26,5,1.0,1.0,Dann lassen Sie uns gleich mit dem Wohnzimmer anfangen.,Dann lassen Sie uns doch gleich ins Wohnzimmer gehen.
958,24,11,1.0,1.0,Warum hast du sie nicht an die Wand geschmissen?,"Es ist natürlich schon was Besonderes, an dieser Wand zu sitzen."
959,25,15,1.0,1.0,Wir müssen gemeinsam ein Thema für die Präsentation auswählen.,In filmic pro kannst du das Mikrofon bewusst auswählen.
960,30,12,1.0,1.0,"Wenn wir einen Unfall haben, dann muss ich deine Beerdigung bezahlen.",Mittlerweile gehört zur Arbeitssicherheit mehr als nur die Verhinderung von Unfällen.
961,22,18,1.0,1.0,"Und darauf, mit anderen Menschen möglichst oft gemeinsam zu sein.","Ich will, dass du möglichst schnell möglichst viele Videos fertig bekommst."
962,21,7,1.0,1.0,"Und du sagst, sie hätten deine lutherische Kirche hier geschlossen.","Es ist nicht so, dass jede Kirche gleich ist."
963,14,9,1.0,1.0,"Und, dass sie die Kosten über ihre ersten Jobs begleichen könne.",Nach den Anwaltsschreiben steigen die Kosten sogar auf rund 3.500 Euro.
964,24,12,1.0,1.0,"So, wie viele Personen besitzen einen Schlüssel für den Safe?","So, wie viele Personen besitzen einen Schlüssel für den Safe?"
965,22,12,1.0,1.0,Wünschen Sie sich eher einen Jungen oder ein Mädchen?,Wir freuen uns über Ihre Fragen und Wünsche in den Kommentaren.
966,22,12,1.0,1.0,Zur Erinnerung: Franzi möchte gerne in die Modelkartei aufgenommen werden.,"Dann ist mir aufgefallen, dass die besten Geschenke Erinnerungen sind."
967,28,9,1.0,1.0,Er hat allen Schülern von früher eine E-Mail geschrieben.,Er hat allen Schülern von früher eine E-Mail geschrieben.
968,19,7,1.0,1.0,"Wichtig ist nur, ihren Zustand im Auge zu behalten.",Solche Fragen und auch dieses ständige Abfragen von Zuständen.
969,15,4,1.0,1.0,Wie konnte es aus seiner Sicht zu der Radikalisierung kommen?,Und diese Sicht der Dinge hat sich eigentlich bis heute gehalten.
970,27,15,1.0,1.0,"Seltsam, denn ich höre keine Beschwerden von den anderen.",Den ganzen Tag über hast du diese seltsamen Schwingungen.
971,25,8,1.0,1.0,"Sie geben möglicherweise einen Hinweis darauf, welche Zeremonien zum Spiel gehörten.",Und dann und dann möglicherweise wurde jedes Wort aufgezeichnet.
972,29,9,1.0,1.0,"Man fragt natürlich, soll ich da hingehen oder blockieren.","Man fragt natürlich, soll ich da hingehen oder blockieren."
973,29,14,1.0,1.0,"„Partisanen werden in den Gebieten gebraucht, wo sie aufgewachsen sind.","Auch ich habe nicht vergessen, wie ich aufgewachsen bin."
974,27,10,1.0,1.0,Werden unsere Noten gelöscht und wir starten wieder bei null?,Werden unsere Noten gelöscht und wir starten wieder bei null?
975,28,12,1.0,1.0,Wollen wir noch kurz zu mir gehen und einen Wein trinken?,"Wir haben Musik gehört, Wein getrunken und Spiele gespielt."
976,29,13,1.0,1.0,"Wir gehen wieder."" Das wäre Musik in meinen Ohren und Taschen.","Ich würde gleich damit anfangen, meine Tasche zu packen."
977,27,11,1.0,1.0,"Hey, du mit den Schamharen, greift dir die Pizza.",Das kann man doch gar nicht richtig auch greifen.
978,23,12,1.0,1.0,Warum geht ihr nicht einfach zum Flughafen und entscheidet dann spontan?,"Hier entwickelt man, lässt Dinge runterfallen und Kinder helfen spontan."
979,29,13,1.0,1.0,"Weil es ihr sehr unangenehm ist, darüber zu sprechen.","Ich muss sagen, dass mir das Ganze etwas unangenehm ist."
980,24,11,1.0,1.0,"Und ich schlage sofort vor, das wir gehen wieder Textblöcke.","Ich schlage vor, wir machen hier eine kurze Pause."
981,34,9,1.0,1.0,"Wenn Samuel die Chips sieht, frisst er sie alle weg.",Kann ich auch ein paar von den Chips haben?
982,28,14,1.0,1.0,"Und bevor wir mit Mythos 4 weitermachen, ein kurzer Rückblick.","Aber auch dieser Mythos zeigt, wie alte Bilder weiterleben."
983,32,9,1.0,1.0,Zwei Tickets in die Türkei für dich und Mama.,"Bitte gebt es mir, damit ich die Tickets kaufen kann."
984,29,13,1.0,1.0,"Lassen Sie mich raten, es geht um meinen Mann.","Ich würde Ihnen dazu raten, Ihre Entscheidung noch einmal zu überdenken."
985,30,6,1.0,1.0,"Naja, nicht jeder kann so ein guter Lehrer sein wie ich.","Naja, dann ist es meistens das Falsche, was man sagen will."
986,18,7,1.0,1.0,Kurz darauf hat Trump einen Militäreinsatz der USA bestätigt.,"Jesus sagte: ""Zwei oder drei Zeugen bestätigen jedes Wort."
987,18,8,1.0,1.0,"Millatu-Ibrāhīm ist eine Organisation, die in Deutschland verboten worden ist.","Wenn ich allein lerne, verschwende ich keine Zeit mit Organisationen."
988,22,11,1.0,1.0,Lisa ist gerade richtig doll auf den Rücken gefallen.,"Ein gebrochener Mann mit grauen Haaren, krummem Rücken und zittriger Stimme."
989,28,15,1.0,1.0,Wir haben sogar eine Flasche Champagner für Sie geöffnet.,"Ja, eine Flasche und Sie sehen zehn Jahre jünger aus."
990,23,16,1.0,1.0,In Thomas' ehemaliger Kanzlei hängt heute eine kleine Gedenktafel.,Zwei so reizende Kinder und eine so wunderbare ehemalige Frau.
991,25,12,1.0,1.0,Wir sind mit der Bohrung wahrscheinlich auf eine Ader gestoßen.,In Fällen wie diesen stoßen Lebens- mittelkontrollen an ihre Grenzen.
992,20,14,1.0,1.0,Es geht um die Einsetzung einer Arbeitsgruppe Außen- und Sicherheitspolitik.,"Aber ich verstehe, warum das von außen natürlich so aussieht."
993,16,9,1.0,1.0,"Jetzt haben wir noch was, um von innen zu wärmen.",Wir sind spendenfinanziert und unsere Dauerspender innen nennen wir liebevoll Hartz-Breaker.
994,27,10,1.0,1.0,Unten der Schlegeis-Stausee und oben gibt es einen berühmten Foto-Hotspot.,Unten der Schlegeis-Stausee und oben gibt es einen berühmten Foto-Hotspot.
995,20,9,1.0,1.0,"Ich möchte definitiv keine Festanstellung, weil du weiterhin Workshops leiten möchtest.",Ich habe unser Geschäft aber auf einen anderen Weg geleitet.
996,27,13,1.0,1.0,"Jetzt wird versucht, die Ausbreitung von Ebola zu stoppen.","Bösartige Websites werden blockiert, Webtracker gestoppt und lästige Werbepop-ups ausgeblendet."
997,24,14,1.0,1.0,"Warum sollte ich mir Gedanken darüber machen, ob du sie bemerkst?","Die haben wahrscheinlich nicht einmal bemerkt, dass Ihnen etwas fehlt."
998,18,8,1.0,1.0,Die Nachricht löste bei den Mitarbeitern große Unsicherheit aus.,Aber auch dort kann ein gemeinsames Problem Smalltalk auslösen.
999,23,10,1.0,1.0,"In alter Basis wird es einfach sein, das herauszukriegen.",Es ist die Basis für das berühmte „Made in Germany“.
1000,15,9,1.0,1.0,"Wusstet ihr, dass viele Tonnen Plastik im Meer schwimmen?",Für achthundert Tonnen gibt es in Vitruvs System keine Maschine.
1001,20,10,1.0,1.0,"Das stimmt technisch, aber so ist es nicht gemeint, Opa.",Aber aber technisch gesehen bin ich noch eine Jungfrau.
1002,21,7,1.0,1.0,"Wir haben Marokko vergessen, Herr Schaible, steht die Leitung?","Wir haben Marokko vergessen, Herr Schaible, steht die Leitung?"
1003,19,10,1.0,1.0,"Wir würden lieber aufgeben, als AI Slop zu produzieren.","In der Wohnung haben wir Rauch-Maschinen, die Theaternebel produzieren."
1004,27,9,1.0,1.0,Ich werde jetzt zu ihm gehen und ihn nach Rat fragen.,"Das muss nicht die OP sein, aber definitiv sich Rat holen."
1005,28,12,1.0,1.0,Wir gehen regelmäßig zusammen Fußball spielen oder auch ins Kino.,Wir gehen regelmäßig zusammen Fußball spielen oder auch ins Kino.
1006,28,7,1.0,1.0,Damit kannst du schnelle Notizen aufschreiben oder auch aufsprechen.,Damit kannst du schnelle Notizen aufschreiben oder auch aufsprechen.
1007,28,14,1.0,1.0,"Samuel, als erstes möchte ich dir deinen Test zurückgeben.","Ich dachte, ich könnte dir irgendwie etwas zurückgeben, aber was nur?"
1008,26,8,1.0,1.0,"Und wenn wir am Flughafen sind, versuch bitte dich zu entspannen.","Nein, es ist sogar so laut wie auf einem Flughafen!"
1009,20,12,1.0,1.0,Zu Hause kennt kaum jemand die Herkunft der Lebensmittel.,Zu Hause kennt kaum jemand die Herkunft der Lebensmittel.
1010,18,10,1.0,1.0,Ein Kernproblem aber bleibt: Nur 59 Prozent Pünktlichkeit im Fernverkehr.,Also der Transformator hat so einen Wirkungsgrad von 98 Prozent.
1011,24,6,1.0,1.0,"Willst du mir etwa erzählen, dass Michelle mich betrügt?","Willst du mir etwa erzählen, dass Michelle mich betrügt?"
1012,21,16,1.0,1.0,„Ist das die neue Transparenz bei der Bahn?” Kein Kommentar.,Ist die Deutsche Bahn im direkten Vergleich wirklich schlechter?
1013,28,15,1.0,1.0,Zum Glück habe ich schnell eine gute Lehrerin gefunden.,"Ich tue einfach so, als wäre ich Lehrerin und Single."
1014,20,10,1.0,1.0,Terroranschläge wie diese hat es noch nie zuvor gegeben.,Einen Tag zuvor: Nach dem CSD kommt es zum Streit.
1015,17,10,1.0,1.0,Seitdem wurde im Ruhrgebiet unter schweren Arbeitsbedingungen viel Bergbau betrieben.,"Sie betrieben Handel, aber sie plünderten und raubschatzten auch."
1016,19,8,1.0,1.0,Sie haben sich dann ja auch radikalisiert sehr schnell offenbar.,Offenbar wollten die beiden bei dem Angriff auch selbst sterben.
1017,21,10,1.0,1.0,Jugendliche lieben deine Mutter doller als dir lieb ist.,Jugendliche lieben deine Mutter doller als dir lieb ist.
1018,23,8,1.0,1.0,"Was sind das für Fälle, bei denen Helena Steinhaus finanziell einspringt?","Ein „finanzielles Polster“ ist also Geld, das man gespart hat."
1019,26,13,1.0,1.0,Zivile Gruppen trainieren den Einsatz von Waffen gegen die Eindringlinge.,Ich habe seit langem mal wieder im Fitnesstudio trainiert.
1020,17,6,1.0,1.0,Mit Unterstützung der Luftwaffe schlägt das Afrikaor die Briten zurück.,"Die Sozialpädagogen sollen helfen, wenn die beiden Unterstützung brauchen."
1021,24,16,1.0,1.0,Sie müssen uniformähnliche Kleidung und ihre Waffen offen tragen.,"Oder die Nähnadel, mit der sie sich wärmende Kleidung anfertigen."
1022,21,11,1.0,1.0,Nun ist ganz roher Besuch von dort zu uns gekommen.,Ich war auf dem Rückweg vom Besuch meines Bruders im Armeelazarett.
1023,18,4,1.0,1.0,"Es ist auf jeden Fall weniger gefährlich, als unser Angebot abzulehnen.","Es ist auf jeden Fall weniger gefährlich, als unser Angebot abzulehnen."
1024,19,10,1.0,1.0,Um unseren Planeten für die kommenden Generationen zu sichern.,"Um ihren Erfolg zu sichern, bauen die Smorpianer 1000 Raketen."
1025,21,10,1.0,1.0,"Würdest du, Herr unsere Sünden beachten, oh Herr, wer stehen?","Wir sprühen das ganze Auto ein, beachten die Einwirkzeit."
1026,24,15,1.0,1.0,"Was denkt ihr, wo verläuft da für euch die Grenze?","Als ich neu war, habe ich mich auch oft verlaufen."
1027,22,11,1.0,1.0,Wenig später kennen sie auch die Bezeichnung des geheimnisvollen Objekts.,"Es ist ein Objekt, dann zwei und dann drei."
1028,21,12,1.0,1.0,Ich muss dann ja auch die Verantwortung für alles tragen.,"Du wolltest keine Verantwortung übernehmen für das, was du getan hast."
1029,18,5,1.0,1.0,"Konkrete Vorschläge, die wir machen im Hinblick auf eine Entschließung.","Ich meine, den Vorschlag dazu hat ja Honecker gemacht."
1030,14,1,1.0,1.0,Seit Dezember letzten Jahres werden Straftäter auch in diese Länder abgeschoben.,Seit Dezember letzten Jahres werden Straftäter auch in diese Länder abgeschoben.
1031,17,9,1.0,1.0,Seine Truppen kommen aus allen Ecken des ostfränkischen Reiches.,Die englischen Truppen überqueren die Grenze zur Niederländisch Borneo.
1032,17,3,1.0,1.0,"Lolli plus Döner, mir geht es mehr als gut.","Lolli plus Döner, mir geht es mehr als gut."
1033,20,9,1.0,1.0,Wir stellen uns in zwei Reihen auf und los.,Wir stellen uns in zwei Reihen auf und los.
1034,18,5,1.0,1.0,Und so stehen sich die politischen Lager immer unversöhnlicher gegenüber.,Und so stehen sich die politischen Lager immer unversöhnlicher gegenüber.
1035,19,4,1.0,1.0,"Er führt einen Lebensstil nach Pippi-Langstrumpf-Art, statt Pferd mit Fahrrad.","Er führt einen Lebensstil nach Pippi-Langstrumpf-Art, statt Pferd mit Fahrrad."
1036,23,7,1.0,1.0,"Wir können das Boot benutzen, um Fische zu fangen.",Der alte Fischer schaffte es einen riesigen Fisch zu fangen.
1037,22,9,1.0,1.0,"Nein, wer weiß nicht mal, wie man das ausspricht.",Nur Pontius Pilatus und nur die Römer konnten das Todesurteil aussprechen.
1038,28,13,1.0,1.0,Sie hat mir jedes Jahr Gläser zu meinem Geburtstag geschickt.,Früher haben wir seinen Geburtstag zusammen mit der Familie gefeiert.
1039,20,9,1.0,1.0,"Was sie in diesem Haus umgesetzt haben, wird nachwirken.","Wenn das so umgesetzt werden würde, wie der Vorschlag der EU-Kommission."
1040,16,7,1.0,1.0,Es gilt immer noch das alte Prinzip des Verursacherprinzips.,Es gilt immer noch das alte Prinzip des Verursacherprinzips.
1041,19,16,1.0,1.0,Sie müssen sich mal die Realitäten vor Ort anschauen!,"Aber das ist kein Problem, das ist die Realität."
1042,19,7,1.0,1.0,"WISO Steuer gehört zu Buhl, deswegen musst du einen Buhl-Account erstellen.","WISO Steuer gehört zu Buhl, deswegen musst du einen Buhl-Account erstellen."
