n,surface,tag,md_repaired,st,acc,text,verdict,note,judge,kind
147,Biergarten,NN,biergart,Biergarten,Biergarten,Der Biergarten. Ich bin im Biergarten.,st,spaCy invented biergart,claude-opus-5,invented lemma
148,well,ADJD,well,wellen,wellen,"yeah, I was welcomed really well wurde ich sehr gut aufgenommen, deswegen by the family, therefore vermiss' ich tatsächlich überhaupt nichts.",md,English; Stanza invented wellen,claude-opus-5,foreign word
149,bräuchte,VVFIN,bräuchte,brauchen,brauchen,"Denn dafür bräuchte man erst mal Geld, um Spieler zu kaufen.",st,bräuchte unreduced by spaCy,claude-opus-5,left unreduced
150,Globuli,NN,globuli,Globulus,Globulus,Das fertige Heilmittel wird dann meistens auf Zucker kügelchen geträufelt und als Globuli verkauft.,st,Globulus is the singular,claude-opus-5,left unreduced
151,Erste,NN,erste,erst,erst,"Guten Morgen! Es ist acht Uhr, ich bin grade aufgestanden und das Erste, was ich morgens mache, ist zu meditieren.",both,das Erste: erste vs erst,claude-opus-5,convention
152,weißt,VVFIN,wissen,weißen,weißen,"Das heißt, das Geld... äh... rinnt dir so durch die Finger und du weißt gar nicht, wo's bleibt?",md,weißt is wissen,claude-opus-5,wrong reading
153,Schnäbel,NN,schnäbel,Schnabel,Schnabel,"Damit dabei nichts passiert, kürzen wir ihre Schnäbel und Krallen.",st,spaCy left the plural,claude-opus-5,left unreduced
154,ersten,ADJA,erster,erst,erst,"Nach den, äh, ersten Abenden, die wir zu zweit zusammen verbracht haben, ne? - Ja. - Ja.",both,convention: erster vs erst,claude-opus-5,convention
155,willst,VMFIN,willen,wollen,wollen,"Und willst du Yara, Riton, zu deinem Mann nehmen?",st,spaCy invented willen,claude-opus-5,invented lemma
156,Draufgucken,NN,draufgucke,Draufgucken,Draufgucke,"Draufgucken hat gesagt 373737, also 111, das sind drei mal 37 Striche.",st,spaCy invented draufgucke,claude-opus-5,invented lemma
157,geht's,VVFIN,gehen,gehe'en,gehten,Da geht's dann explizit um Corona.,md,Stanza mangles geht's,claude-opus-5,'s contraction
158,begeistert,ADJD,begeistert,begeistern,begeistern,"Schillers Arbeitgeber, der Herzog von Württemberg, ist von den „Räubern“ wenig begeistert.",both,begeistert: participial adjective vs verb,claude-opus-5,participial adjective
159,nächste,ADJA,nächster,nah,nah,Man bezieht sich dabei immer auf die nächste volle Stunde.,both,UD lemmatises nächste to nah,claude-opus-5,convention
160,allerliebsten,NN,allerliebsten,allerlieb,allerlieb,"Ähm, am allerliebsten trinke ich Kaffee mit meiner Freundin.",neither,am allerliebsten: neither reaches a lemma,claude-opus-5,neither
161,beeindruckt,VVPP,beeindrucken,beeindruckt,beeindruckt,Alex zeigt einen Zaubertrick. Carlos ist beeindruckt.,both,beeindruckt: participial adjective vs verb,claude-opus-5,participial adjective
162,besuchst,VVFIN,besuchst,besuchen,besuchen,Du besuchst meine Eltern? (Vater:) Ist das so schwer vorstellbar?,st,besuchst unreduced by spaCy,claude-opus-5,left unreduced
163,Willst,VVFIN,wollen,willen,wollen,"„Willst du auch ein Bier, Christian?“ Oh, sehr gerne, Georg.",md,"sentence-initial Willst: Stanza gave willen, spaCy wollen",claude-opus-5,sentence-initial
164,lieber,ADV,lieber,lieb,lieb,"Halte dich lieber da raus, Lisa!",both,lieber as adverb vs comparative of lieb,claude-opus-5,lexicalised comparative
165,weiter,ADV,weiter,weit,weit,"Das hat sich immer noch weiter verschärft vermutlich, oder?",both,weiter as adverb vs comparative of weit,claude-opus-5,lexicalised comparative
166,früher,ADJD,früh,früher,früher,Hier ist alles genau wie früher.,both,früher as adverb vs comparative of früh,claude-opus-5,lexicalised comparative
167,angefreundet,VVPP,angefreundet,anfreunden,anfreunden,"Wir haben uns angefreundet, als wir zusammen für die Klausuren gelernt haben.",st,participle unreduced by spaCy,claude-opus-5,left unreduced
168,bestimmt,VVFIN,bestimmen,bestimmt,bestimmt,"Ähm... und ich weiß nicht, ob ich sagen würde, dass es generell was gibt, was mich nervt... weil das gibt es bestimmt überall.",st,bestimmt here is the adverb; spaCy gave the verb,claude-opus-5,wrong reading
169,verlinkt,VVPP,verlinkt,verlinken,verlinken,"Also sehr spannend zum geschichtlichen Teil, habe ich auch noch mal was verlinkt.",st,participle unreduced by spaCy,claude-opus-5,left unreduced
170,drücktest,VVFIN,drücktest,drücken,drücken,"Gebrauchtest du den Konjunktiv häufiger, drücktest du dich nicht nur viel eloquenter aus.",st,preterite unreduced by spaCy,claude-opus-5,left unreduced
171,ersten,ADJA,erster,erst,erst,Wann die ersten Siedler hier eintreffen ist bis heute nicht ganz geklärt.,both,convention: erster vs erst,claude-opus-5,convention
172,Roma,NN,rom,Roma,Rom,"Aber auch, warum es auch so ein emotionales Thema ist. (Rattern, Klingeln) Sinti und Roma erfahren in Deutschland immer noch Diskriminierung.",both,Rom is technically the singular of Roma,claude-opus-5,both exist
173,Moleküle,NN,moleküle,Molekül,Molekül,"Und genauso gibt es auch Moleküle, die alle möglichen Effekte haben.",st,spaCy left the plural,claude-opus-5,left unreduced
174,gehört,VVPP,hören,gehören,gehören,"Das sind Dinge, die bisher eher nicht unbedingt zu den Stärken der deutschen Autobauer gehört haben.",st,gehört haben is gehören; spaCy gave hören,claude-opus-5,wrong reading
175,Sternkreiszeichen,NN,sternkreiszeiche,Sternkreiszeichen,Sternkreiszeichen,"Geschlecht wechseln und haben erstaunliche Fähigkeiten wie Werkzeuggebrauch, Orientierung oder das Erkennen von Sternkreiszeichen.",st,spaCy invented sternkreiszeiche,claude-opus-5,invented lemma
176,ersten,ADJA,erster,erst,erst,"Wir hatten das Glück, habt ihr ja mitbekommen, dass wir den letzten Monat meines ersten Trimesters weg waren.",both,convention: erster vs erst,claude-opus-5,convention
177,Let's,NN,let's,Let',Let's,"Interesting topic, let's go. - Let's go.",md,English let's; Stanza mangled it,claude-opus-5,'s contraction
178,Größeres,NN,größeres,Größere,Größeres,"Auch viele kleinere Gewinne, statt ab und zu mal was Größeres.",neither,was Größeres: neither reaches groß,claude-opus-5,neither
179,Miss,NN,miss,Miß,Miß,"Ich mache für Miss Miss etwas Kaffee, Dad.",md,old spelling Miß,claude-opus-5,old spelling
180,Tschüss,NN,tschüss,Tschuß,Tschüss,"Super gerne. - Tschüss, liebe Leute! - Ciao!",md,Stanza gave Tschuß,claude-opus-5,old spelling
181,Knallflaschen,NN,knallflasch,Knallflasche,Knallflasche,"Hast du noch Knallflaschen, Markus?",st,spaCy invented knallflasch,claude-opus-5,invented lemma
182,Bitte,ADV,bitte,bitten,bitten,"""Hallo!"" ""Sagen Sie doch was!"" Bitte reden Sie doch mit mir!",md,Bitte the particle,claude-opus-5,particle as verb/noun
183,Öffentlich-Rechtlichen,NN,öffentlich-rechtliche,Öffentlich-Rechtlich,Öffentlich-Rechtlich,Wo ist denn der Unterschied zwischen den Privaten und den Öffentlich-Rechtlichen in Deutschland?,both,"nominalised adjective, both defensible",claude-opus-5,convention
184,Schau,VVIMP,schauen,Schau,Schau,"Ja. Schau dir mal diese Schwellung an. Alter, das Gehirn ist ja riesig.",md,sentence-initial imperative Schau unreduced by Stanza,claude-opus-5,sentence-initial
185,geht's,VVFIN,gehen,gehe'en,gehten,"Zum Beispiel sage ich: ""Manuel hat einen Hund"", und ihr sagt dann: ""Das ist sein Hund."" Los geht's.",md,Stanza mangles geht's,claude-opus-5,'s contraction
186,gekriegt,VVPP,gekriegt,kriegen,kriegen,"Wenn er Wasser gekriegt hat, dann blühen da schöne Blumen.",st,gekriegt unreduced by spaCy,claude-opus-5,left unreduced
187,entführe,VVFIN,entführen,entfahren,entführen,Ich entführe keine kleinen fzenden Kinder.,md,Stanza gave entfahren for entführe,claude-opus-5,wrong reading
188,Zusammenhängen,NN,zusammenhäng,Zusammenhang,Zusammenhang,"Es geht dabei sehr oft um Texte, aber man kann dieses Verb auch in anderen Zusammenhängen benutzen.",st,spaCy invented zusammenhäng,claude-opus-5,invented lemma
189,Migräne,NN,migran,Migräne,Migräne,"Wir haben bei Ihnen auf der Website versucht, Medikamente gegen Migräne zu bestellen.",st,spaCy invented migran,claude-opus-5,invented lemma
190,Deutschen,NN,deutsche,deutsch,Deutsche,Und hier zählt man im Deutschen etwas anders als in anderen Ländern.,both,im Deutschen: deutsch vs deutsche,claude-opus-5,both exist
191,solltet,VMFIN,solltet,sollen,sollen,Ich wusste es. Ihr Deutschen solltet mir einen Orden verleihen.,st,solltet unreduced by spaCy,claude-opus-5,left unreduced
192,weitergeholfen,VVINF,weitergeholfen,weiterhelfen,weiterhelfen,"Wir hoffen, dass euch dieses Video etwas weitergeholfen hat und ihr den Dativ jetzt mit Sicherheit nutzen könnt, wenn ihr Deutsch sprecht.",st,weitergeholfen unreduced by spaCy,claude-opus-5,left unreduced
193,Glitzerjacke,NN,glitzerjack,Glitzerjacke,Glitzerjacke,"Nein, das war... so wie er hat! Mit dem äh der Glitzerjacke und auch mit dem Klavierschal.",st,spaCy invented glitzerjack,claude-opus-5,invented lemma
194,Verben,NN,verbe,Verb,Verb,Wir zeigen euch heute einige dieser Verben. Los geht's.,st,spaCy invented verbe,claude-opus-5,invented lemma
195,gespannt,ADJD,gespannt,spannen,spannen,"Ich bin gespannt, was ihr denkt, schreibt in die Kommentare.",md,"gespannt sein is the lexicalised adjective, not spannen",claude-opus-5,wrong reading
196,Bakterien,NN,bakterie,Bakterium,Bakterie,"Deshalb lohnt es sich auch, anhand eines Speichelabstrichs die Anzahl bestimmter Bakterien zu bestimmen.",both,Bakterie and Bakterium both exist,claude-opus-5,both exist
197,Internets,NN,internet,Internets,Internets,"Wenn dann wieder alles anläuft, ist man quasi beim Stand vor dem Ausfall des Internets.",md,genitive Internets unreduced by Stanza,claude-opus-5,left unreduced
198,enttäuscht,VVPP,enttäuschen,enttäuscht,enttäuscht,"Pierre sagt, viele seiner Freunde seien jetzt vor der Bundestagswahl enttäuscht von der Politik und den Parteien.",both,enttäuscht: participial adjective vs verb,claude-opus-5,participial adjective
199,1950er-Jahren,NN,1950er-jahr,1950er-Jahre,1950er-Jahre,"In den 1950er-Jahren wird eine Reihe von Doping-Skandalen aufgedeckt, bei denen Betrüger die Rennen beeinflussen.",both,die 1950er-Jahre is plural-only; either,claude-opus-5,both exist
200,Russland,NN,russland,Rußland,Rußland,"In Russland und anderen Ländern, die auf Seiten Russlands stehen, gab es eher Zustimmung.",md,old spelling Rußland,claude-opus-5,old spelling
