n,p,model,input_tokens,seconds,verdict,label,rule,stratum,pattern
331,0.55,jev-1.13.0,695,0.36,frame,good,,panel,der Mensch
332,0.5,jev-1.13.0,685,0.34,frame,good,,panel,der Mensch
333,0.57,jev-1.13.0,699,0.35,frame,good,,panel,der Mensch
334,0.84,jev-1.13.0,693,0.36,frame,good,,panel,etw./jdn. (Akk) finden
335,0.82,jev-1.13.0,707,0.33,frame,good,,panel,etw./jdn. (Akk) finden
336,0.81,jev-1.13.0,715,0.36,other,good,,panel,etw./jdn. (Akk) finden
337,0.92,jev-1.13.0,676,0.36,frame,good,,panel,das Video
338,0.54,jev-1.13.0,695,0.33,frame,good,,panel,das Video
339,0.75,jev-1.13.0,679,0.36,frame,good,,panel,das Video
340,0.82,jev-1.13.0,685,0.36,frame,good,,panel,etw. (Akk) tun
341,0.71,jev-1.13.0,700,0.33,frame,good,,panel,etw. (Akk) tun
342,0.77,jev-1.13.0,701,0.36,frame,good,,panel,etw. (Akk) tun
343,0.88,jev-1.13.0,689,0.36,other,good,,panel,jdm. (Dat) stehen
344,0.75,jev-1.13.0,694,0.25,other,good,,panel,jdm. (Dat) stehen
345,0.91,jev-1.13.0,703,0.28,other,good,,panel,jdm. (Dat) stehen
346,0.73,jev-1.13.0,703,0.25,frame,good,,panel,mit jdm. / über etw./jdn. sprechen
347,0.88,jev-1.13.0,699,0.28,frame,good,,panel,mit jdm. / über etw./jdn. sprechen
348,0.96,jev-1.13.0,725,0.25,frame,good,,panel,mit jdm. / über etw./jdn. sprechen
349,0.64,jev-1.13.0,706,0.26,construction,bad,,panel,das Beispiel
350,0.65,jev-1.13.0,690,0.28,frame,good,,panel,das Beispiel
351,0.52,jev-1.13.0,717,0.77,construction,bad,,panel,das Beispiel
352,0.94,jev-1.13.0,688,0.28,frame,good,,panel,"selbst, selber"
353,0.93,jev-1.13.0,681,0.3,frame,good,,panel,"selbst, selber"
354,0.92,jev-1.13.0,692,0.24,frame,good,,panel,"selbst, selber"
355,0.7,jev-1.13.0,678,0.28,frame,good,,panel,die Zeit
356,0.69,jev-1.13.0,691,0.29,frame,good,,panel,die Zeit
357,0.7,jev-1.13.0,676,0.29,construction,bad,,panel,die Zeit
358,0.91,jev-1.13.0,684,0.28,frame,good,,panel,das Land
359,0.89,jev-1.13.0,681,0.27,frame,good,,panel,das Land
360,0.57,jev-1.13.0,699,0.25,frame,good,,panel,das Land
361,0.8,jev-1.13.0,694,0.27,frame,good,,panel,etw. (Akk) bekommen
362,0.6,jev-1.13.0,689,0.28,frame,good,,panel,etw. (Akk) bekommen
363,0.8,jev-1.13.0,703,0.23,frame,good,,panel,etw. (Akk) bekommen
364,0.89,jev-1.13.0,689,0.28,frame,good,,panel,etw./jdn. (Akk) brauchen
365,0.93,jev-1.13.0,704,0.36,other,good,,panel,etw./jdn. (Akk) brauchen
366,0.85,jev-1.13.0,711,0.29,frame,good,,panel,etw./jdn. (Akk) brauchen
367,0.94,jev-1.13.0,715,0.29,other,good,,panel,jdm. (Dat) etw. (Akk) bedeuten
368,0.78,jev-1.13.0,701,0.38,other,good,,panel,jdm. (Dat) etw. (Akk) bedeuten
369,0.91,jev-1.13.0,706,0.36,other,good,,panel,jdm. (Dat) etw. (Akk) bedeuten
370,0.79,jev-1.13.0,704,0.25,frame,good,,panel,"gern, gerne"
371,0.78,jev-1.13.0,680,0.45,frame,good,,panel,"gern, gerne"
372,0.85,jev-1.13.0,677,0.35,frame,good,,panel,"gern, gerne"
373,0.95,jev-1.13.0,681,0.24,frame,good,,panel,"nichts, nix"
374,0.78,jev-1.13.0,695,0.29,construction,bad,,panel,"nichts, nix"
375,0.89,jev-1.13.0,679,0.33,frame,good,,panel,"nichts, nix"
376,0.8,jev-1.13.0,686,0.36,frame,good,,panel,jdm. (Dat) passieren
377,0.9,jev-1.13.0,710,0.36,frame,good,,panel,jdm. (Dat) passieren
378,0.71,jev-1.13.0,696,0.42,frame,good,,panel,jdm. (Dat) passieren
379,0.62,jev-1.13.0,703,0.27,frame,good,,panel,der Tag
380,0.63,jev-1.13.0,679,0.36,frame,good,,panel,der Tag
381,0.42,jev-1.13.0,681,0.32,frame,good,,panel,der Tag
382,0.93,jev-1.13.0,707,0.28,frame,good,,panel,die Frage
383,0.72,jev-1.13.0,681,0.27,frame,good,,panel,die Frage
384,0.95,jev-1.13.0,691,0.25,frame,good,,panel,die Frage
385,0.56,jev-1.13.0,692,0.26,frame,good,,panel,der Mann
386,0.46,jev-1.13.0,692,0.29,frame,good,,panel,der Mann
387,0.95,jev-1.13.0,683,0.25,frame,good,,panel,der Mann
388,0.87,jev-1.13.0,693,0.33,other,good,,panel,jdm. (Dat) / etw. (Akk) glauben
389,0.94,jev-1.13.0,704,0.38,other,good,,panel,jdm. (Dat) / etw. (Akk) glauben
390,0.97,jev-1.13.0,694,0.24,other,good,,panel,jdm. (Dat) / etw. (Akk) glauben
391,0.58,jev-1.13.0,687,0.31,frame,good,,panel,die Frau
392,0.72,jev-1.13.0,698,0.29,frame,good,,panel,die Frau
393,0.95,jev-1.13.0,693,0.32,frame,good,,panel,die Frau
394,0.06,jev-1.13.0,693,0.26,other,bad,,panel,etw./jdn. (Akk) lassen
395,0.83,jev-1.13.0,689,0.25,frame,good,,panel,etw./jdn. (Akk) lassen
396,0.73,jev-1.13.0,705,0.24,other,good,,panel,etw./jdn. (Akk) lassen
397,0.8,jev-1.13.0,716,0.24,frame,good,,panel,jdm. (Dat) etw. (Akk) schreiben
398,0.8,jev-1.13.0,721,0.23,frame,good,,panel,jdm. (Dat) etw. (Akk) schreiben
399,0.75,jev-1.13.0,689,0.25,frame,good,,panel,jdm. (Dat) etw. (Akk) schreiben
400,0.6,jev-1.13.0,690,0.29,other,good,,panel,nach etw. aussehen
401,0.72,jev-1.13.0,733,0.3,other,good,,panel,nach etw. aussehen
402,0.68,jev-1.13.0,695,0.25,other,good,,panel,nach etw. aussehen
403,0.88,jev-1.13.0,681,0.29,frame,good,,panel,die Leute
404,0.96,jev-1.13.0,679,0.24,frame,good,,panel,die Leute
405,0.6,jev-1.13.0,702,0.33,frame,good,,panel,die Leute
406,0.91,jev-1.13.0,701,0.38,frame,good,,panel,die Partei
407,0.92,jev-1.13.0,696,0.29,frame,good,,panel,die Partei
408,0.62,jev-1.13.0,699,0.4,frame,good,,panel,die Partei
409,0.67,jev-1.13.0,701,0.36,frame,good,,panel,jdm. (Dat) etw. (Akk) zeigen
410,0.78,jev-1.13.0,698,0.34,frame,good,,panel,jdm. (Dat) etw. (Akk) zeigen
411,0.43,jev-1.13.0,705,0.35,other,good,,panel,jdm. (Dat) etw. (Akk) zeigen
412,0.81,jev-1.13.0,683,0.37,frame,good,,panel,das Leben
413,0.14,jev-1.13.0,709,0.32,construction,bad,,panel,das Leben
414,0.61,jev-1.13.0,703,0.36,frame,good,,panel,das Leben
415,0.69,jev-1.13.0,691,0.36,frame,good,,panel,das Kind
416,0.58,jev-1.13.0,725,0.35,frame,good,,panel,das Kind
417,0.54,jev-1.13.0,690,0.34,frame,good,,panel,das Kind
418,0.21,jev-1.13.0,690,0.36,construction,bad,,panel,etw./jdn. (Akk) nehmen
419,0.3,jev-1.13.0,686,0.33,construction,bad,,panel,etw./jdn. (Akk) nehmen
420,0.6,jev-1.13.0,705,0.36,frame,good,,panel,etw./jdn. (Akk) nehmen
421,0.62,jev-1.13.0,710,0.36,construction,bad,,panel,jdm. (Dat) etw. (Akk) bringen
422,0.36,jev-1.13.0,713,0.36,construction,bad,,panel,jdm. (Dat) etw. (Akk) bringen
423,0.85,jev-1.13.0,697,0.31,frame,good,,panel,jdm. (Dat) etw. (Akk) bringen
424,0.33,jev-1.13.0,690,0.28,frame,good,,panel,das Problem
425,0.56,jev-1.13.0,697,0.25,frame,good,,panel,das Problem
426,0.49,jev-1.13.0,697,0.25,frame,good,,panel,das Problem
427,0.53,jev-1.13.0,693,0.28,frame,good,,panel,der Fall
428,0.24,jev-1.13.0,681,0.27,construction,bad,,panel,der Fall
429,0.86,jev-1.13.0,686,0.28,frame,good,,panel,der Fall
430,0.38,jev-1.13.0,678,0.23,frame,good,,panel,der Herr
431,0.36,jev-1.13.0,685,0.29,frame,good,,panel,der Herr
432,0.42,jev-1.13.0,680,0.34,frame,good,,panel,der Herr
433,0.81,jev-1.13.0,679,0.25,frame,good,,panel,das Thema
434,0.32,jev-1.13.0,685,0.28,frame,good,,panel,das Thema
435,0.59,jev-1.13.0,700,0.28,frame,good,,panel,das Thema
436,0.07,jev-1.13.0,685,0.27,other,bad,,panel,jdm. (Dat) gehören
437,0.38,jev-1.13.0,699,0.23,other,good,,panel,jdm. (Dat) gehören
438,0.14,jev-1.13.0,683,0.32,other,bad,,panel,jdm. (Dat) gehören
439,0.85,jev-1.13.0,690,0.29,frame,good,,panel,etw./jdn. (Akk) kennen
440,0.84,jev-1.13.0,710,0.37,frame,good,,panel,etw./jdn. (Akk) kennen
441,0.87,jev-1.13.0,708,0.23,frame,good,,panel,etw./jdn. (Akk) kennen
442,0.88,jev-1.13.0,708,0.3,frame,good,,panel,das Geld
443,0.96,jev-1.13.0,687,0.35,frame,good,,panel,das Geld
444,0.74,jev-1.13.0,680,0.3,frame,good,,panel,das Geld
445,0.77,jev-1.13.0,703,0.35,frame,good,,panel,jdm. (Dat) helfen
446,0.96,jev-1.13.0,689,0.37,frame,good,,panel,jdm. (Dat) helfen
447,0.6,jev-1.13.0,691,0.33,frame,good,,panel,jdm. (Dat) helfen
448,0.91,jev-1.13.0,686,0.36,frame,good,,panel,"lange, lang"
449,0.86,jev-1.13.0,692,0.35,frame,good,,panel,"lange, lang"
450,0.92,jev-1.13.0,681,0.33,frame,good,,panel,"lange, lang"
