pattern,before,refused,share_refused
an jdm./etw. (Dat) vorbeigehen,2,0,0.0
jdn. (Akk) auf etw. verweisen,2,0,0.0
auf etw. (Akk) verzichten,2,0,0.0
etw. (Akk) von etw. / sich abgrenzen,2,0,0.0
etw. (Akk) verstärken,2,0,0.0
etw. (Akk) analysieren,2,0,0.0
jdm. (Dat) etw. (Akk) garantieren,2,0,0.0
jdn. (Akk) / sich auf etw. einlassen,2,0,0.0
etw. (Akk) für jdn. vorsehen,2,0,0.0
etw. (Akk) von jdm. / sich von jdm. abwenden,2,0,0.0
jdn. (Akk) küssen,2,0,0.0
jdn./etw. (Akk) betreuen,2,0,0.0
jdn./etw. (Akk) von etw. isolieren,2,0,0.0
etw. (Akk) auswerten,2,0,0.0
jdn. (Akk) / sich von jdm. verabschieden,2,0,0.0
etw. (Akk) ablegen,2,0,0.0
etw. (Akk) voraussetzen,2,0,0.0
jdn. (Akk) mit etw. überraschen,2,0,0.0
etw. (Akk) vorhaben,2,1,0.5
sich auf etw. (Akk) / mit jdm. einigen,2,0,0.0
jdn. (Akk) in etw. unterrichten,2,0,0.0
jdn. (Akk) zu etw. drängen,2,0,0.0
jdn./etw. (Akk) vernichten,2,0,0.0
jdn./etw. (Akk) einschätzen,2,0,0.0
etw. (Akk) mit jdm. austauschen,2,0,0.0
jdm. (Dat) / etw. (Akk) zusagen,2,0,0.0
etw. (Akk) anordnen,2,0,0.0
jdn./etw. (Akk) in etw. einbeziehen,2,0,0.0
aus etw. (Dat) hervorgehen,2,0,0.0
jdn./etw. (Akk) benennen,2,0,0.0
jdn. (Akk) wegen etw. (Gen) anklagen,2,0,0.0
jdn. (Akk) mit etw. ausstatten,2,0,0.0
etw. (Akk) anstreben,2,0,0.0
etw. (Akk) / sich rechtfertigen,2,0,0.0
etw. (Akk) auf etw. begrenzen,2,0,0.0
etw. (Akk) überprüfen,2,0,0.0
etw. (Akk) verzeichnen,2,0,0.0
jdn. (Akk) mit etw. konfrontieren,2,0,0.0
auf jdn./etw. (Akk) zutreffen,2,0,0.0
etw. (Akk) bergen,2,0,0.0
auf jdn./etw. (Akk) zielen,2,0,0.0
etw. (Akk) steigern,2,0,0.0
jdn./etw. (Akk) vor etw. (Dat) bewahren,2,0,0.0
etw. (Akk) / sich aus etw. zusammensetzen,2,0,0.0
etw. (Akk) leiten,2,0,0.0
etw. (Akk) verarbeiten,2,0,0.0
jdn./etw. (Akk) unterbrechen,2,0,0.0
jdm. (Dat) / sich (Akk) trauen,2,0,0.0
etw. (Akk) ausgleichen,2,0,0.0
etw. (Akk) / sich umdrehen,2,0,0.0
zu etw. / etw. (Akk) antreten,2,0,0.0
jdn./etw. (Akk) bremsen,2,0,0.0
jdn. (Akk) operieren,2,0,0.0
jdn./etw. (Akk) übersehen,2,0,0.0
etw. (Akk) putzen,2,0,0.0
jdm. (Dat) / etw. (Akk) kündigen,1,0,0.0
jdm. (Dat) etw. (Akk) verweigern,1,0,0.0
jdm./etw. (Dat) unterliegen,1,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) verschaffen,1,0,0.0
etw. (Akk) / sich wandeln,1,0,0.0
jdm. (Dat) etw. (Akk) / etw. (Akk) einräumen,1,0,0.0
etw. (Akk) konzipieren,1,0,0.0
etw./jdn. (Akk) auswählen,1,0,0.0
jdn. (Akk) mit etw. beauftragen,1,0,0.0
jdn./etw. (Akk) / sich aufrichten,1,0,0.0
etw. (Akk) bestreiten,1,0,0.0
etw. (Akk) für jdn. empfinden,1,0,0.0
etw. (Akk) mit etw. vereinen,1,0,0.0
jdn. (Akk) begrüßen,1,0,0.0
in etw. (Akk/Dat) bohren,1,0,0.0
jdn. (Akk) zu etw. aufrufen,1,0,0.0
jdn./etw. (Akk) vernachlässigen,1,0,0.0
etw. (Akk) absetzen,1,0,0.0
jdn./etw. (Akk) zurückhalten,1,0,0.0
jdn./etw. (Akk) mit etw. umgeben,1,0,0.0
jdn./etw. (Akk) in etw. (Dat) unterbringen,1,0,0.0
etw. (Akk) aufbewahren,1,0,0.0
jdm. (Dat) etw. (Akk) flüstern,1,0,0.0
jdm./etw. (Dat) lauschen,1,0,0.0
etw. (Akk) / bei etw. abschneiden,1,0,0.0
jdm. (Dat) etw. (Akk) beibringen,1,0,0.0
jdm./etw. (Dat) ausweichen,1,0,0.0
jdm. (Dat) etw. (Akk) vorgeben,1,0,0.0
etw. (Akk) murmeln,1,0,0.0
jdn. (Akk) verwundern,1,0,0.0
etw. (Akk) markieren,1,0,0.0
sich als etw. erweisen,1,0,0.0
gegen etw. protestieren,1,0,0.0
auf jdn./etw. (Akk) zurückgreifen,1,0,0.0
etw. (Akk) mit etw. verknüpfen,1,0,0.0
etw. (Akk) an etw. / sich jdm. (Dat) anschließen,1,0,0.0
etw. (Akk) an etw. ausrichten,1,0,0.0
jdn. (Akk) zu etw. anregen,1,0,0.0
jdm. (Dat) etw. (Akk) / sich jdm./etw. (Dat) zuwenden,1,0,0.0
etw. (Akk) erheben,1,0,0.0
etw. (Dat) vorbeugen,1,0,0.0
etw. (Akk) / sich strecken,1,0,0.0
etw. (Akk) / sich über etw. (Akk) beklagen,1,0,0.0
jdn. (Akk) / sich an etw. (Dat) erfreuen,1,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) besorgen,1,0,0.0
etw. (Akk) an etw. (Dat) anbringen,1,0,0.0
etw. (Akk) einschalten,1,0,0.0
jdn./etw. (Akk) in etw. einschließen,1,0,0.0
jdn. (Akk) ausbilden,1,0,0.0
etw. (Akk) mit jdm. vereinbaren,1,0,0.0
etw. (Akk) hinnehmen,1,0,0.0
etw. (Akk) abbrechen,1,0,0.0
jdn./etw. (Akk) in etw. integrieren,1,0,0.0
etw. (Akk) / sich von jdm. abheben,1,0,0.0
jdn./etw. (Akk) einholen,1,0,0.0
jdn. (Akk) mit etw. infizieren,1,0,0.0
jdm. (Dat) etw. (Akk) berechnen,1,0,0.0
etw. (Akk) lagern,1,0,0.0
jdn. (Akk) mit etw. versehen,1,0,0.0
mit jdm. telefonieren,1,0,0.0
etw. (Akk) rücken,1,0,0.0
etw. (Akk) beherrschen,1,0,0.0
jdm. (Dat) etw. (Akk) zuordnen,1,0,0.0
etw. (Akk) zeichnen,1,0,0.0
jdm. (Dat) etw. (Akk) bereitstellen,1,0,0.0
jdm. (Dat) etw. (Akk) / --- versagen,1,0,0.0
jdn./etw. (Akk) anmelden,1,0,0.0
etw. (Akk) verfassen,1,0,0.0
etw. (Akk) reißen,1,0,0.0
etw. (Akk) reiten,1,0,0.0
jdm. (Dat) etw. (Akk) vorlegen,1,0,0.0
jdn./etw. (Akk) empfangen,1,0,0.0
etw. (Akk) / sich ausdehnen,1,0,0.0
etw. (Akk) formen,1,0,0.0
etw. (Akk) erfordern,1,0,0.0
etw. (Akk) gießen,1,0,0.0
etw. (Akk) aufweisen,1,0,0.0
etw. (Akk) hervorrufen,1,0,0.0
etw. (Akk) / sich in etw. vertiefen,1,0,0.0
etw. (Akk) reinigen,1,0,0.0
etw. (Akk) erbringen,1,0,0.0
etw. (Akk) schwingen,1,0,0.0
etw. (Akk) zerreißen,1,0,0.0
etw. (Akk) / sich verschärfen,1,0,0.0
für etw. (Akk) / an etw. (Dat) haften,1,0,0.0
jdm. (Dat) etw. (Akk) erläutern,1,0,0.0
auf etw. (Akk) / für etw. plädieren,1,0,0.0
etw. (Akk) beugen,1,0,0.0
jdn. (Akk) zu etw. auffordern,1,0,0.0
etw. (Akk) beseitigen,1,0,0.0
aus etw. (Dat) aussteigen,1,0,0.0
sich irren,1,0,0.0
etw. (Akk) abschalten,1,0,0.0
etw./jdn. (Akk) berücksichtigen,1,0,0.0
jdn./etw. (Akk) überholen,1,0,0.0
jdn./etw. (Akk) belasten,1,0,0.0
etw. (Akk) jdm./etw. (Dat) vorziehen,1,0,0.0
nach etw. (Dat) streben,1,0,0.0
mit jdm. über etw. verhandeln,1,0,0.0
jdn./etw. (Akk) zurückweisen,1,0,0.0
jdm. (Dat) etw. (Akk) unterstellen,1,0,0.0
jdn./etw. (Akk) befriedigen,1,0,0.0
etw. (Akk) strukturieren,1,0,0.0
etw. (Akk) heben,1,0,0.0
etw. (Akk) erzielen,1,0,0.0
jdn./etw. (Akk) versichern,1,0,0.0
etw. (Akk) entwerfen,1,0,0.0
etw. (Akk) fixieren,1,0,0.0
jdn. (Akk) zu etw. berechtigen,1,0,0.0
etw. (Akk) mit etw. mischen,1,0,0.0
jdm. (Dat) etw. (Akk) / etw. (Akk) herausgeben,1,0,0.0
etw. (Akk) aufräumen,1,0,0.0
etw. (Akk) beeinträchtigen,1,0,0.0
etw. (Akk) beschleunigen,1,0,0.0
etw. (Akk) in etw. fügen,1,0,0.0
jdn./etw. (Akk) sperren,1,0,0.0
jdn./etw. (Akk) überwachen,1,0,0.0
etw. (Akk) dokumentieren,1,0,0.0
etw. (Akk) begreifen,1,0,0.0
etw. (Akk) aushalten,1,0,0.0
jdm. (Dat) etw. (Akk) verkünden,1,0,0.0
etw. (Akk) auf etw. zurückführen,1,0,0.0
auf etw. (Akk) aufspringen,1,0,0.0
jdn./etw. (Akk) vernehmen,1,0,0.0
auf jdn. (Akk) zugehen,1,0,0.0
jdm. (Dat) etw. (Akk) vorlesen,1,0,0.0
etw. (Akk) / sich herausstellen,1,0,0.0
jdn. (Akk) beeindrucken,1,0,0.0
jdn./etw. (Akk) gefährden,1,0,0.0
aus etw. (Dat) resultieren,1,0,0.0
etw. (Akk) bedenken,1,0,0.0
jdm. (Dat) etw. (Akk) erleichtern,1,0,0.0
auf jdn./etw. (Akk) starren,1,0,0.0
jdn. (Akk) an / über etw. lächeln,1,0,0.0
etw. (Akk) mit etw. kombinieren,1,0,0.0
jdn. (Akk) / sich (Akk) ausweisen,1,0,0.0
jdm./etw. (Dat) gleichen,1,0,0.0
etw. (Akk) inszenieren,1,0,0.0
etw. (Akk) kennzeichnen,1,0,0.0
jdn. (Akk) / sich ansiedeln,1,0,0.0
jdm. (Dat) entgegenkommen,1,0,0.0
jdm. (Dat) etw. (Akk) erteilen,1,0,0.0
jdm. (Dat) winken,1,0,0.0
etw. (Akk) ausschalten,1,0,0.0
etw. (Akk) in/aus etw. pressen,1,0,0.0
etw. (Akk) reflektieren,1,0,0.0
etw. (Akk) / sich verdoppeln,1,0,0.0
sich (Dat) etw. (Akk) notieren,1,0,0.0
jdn. (Akk) zu etw. / etw. (Akk) veranlassen,1,0,0.0
etw. (Akk) an etw. binden,1,0,0.0
jdm./etw. (Dat) verfallen,1,0,0.0
jdm. (Dat) etw. (Akk) / sich übergeben,1,0,0.0
etw. (Akk) schleppen,1,0,0.0
jdm. (Dat) etw. (Akk) gewährleisten,1,0,0.0
sich auf etw. (Akk) spezialisieren,1,0,0.0
etw. (Akk) einhalten,1,0,0.0
jdm. (Dat) etw. (Akk) aufzeigen,1,0,0.0
für etw. (Akk) aufkommen,1,0,0.0
etw. (Akk) auflegen,1,0,0.0
etw. (Akk) mit etw. vereinigen,1,0,0.0
für etw. / um jdn. werben,1,0,0.0
mit jdm./etw. (Dat) auskommen,1,0,0.0
