n,stratum,pattern,gloss,surface,text,video,start,verdict,what,note,judge,rule
120,uniform,der Zeitpunkt,,dem Zeitpunkt,"Allein das ist schon krass, aber leider nicht alles. (englisch:) Denn zu dem Zeitpunkt hatte die Hongkonger Polizei bereits ein Kopfgeld auf Carmen ausgesetzt.",m8e-ZaZSWqY,494.04,frame,,,claude-opus-5,
121,uniform,das Gefühl,das Gefühl means feeling or intuition.,lustige Gefühle,"THC aktiviert einige Regionen und beruhigt andere, wodurch lustige Gefühle entstehen.",gI-A5rikt2U,189.96,frame,,,claude-opus-5,
122,uniform,auf etw. (Akk) / für etw. plädieren,auf etwas plädieren means to plead for something.,für einen De-Risking plädieren,"Ich würde immer für einen De-Risking plädieren, aber kein De-Coupling, das habe ich schon ausgeführt.",zjLkTb2jQnw,12671.685846153847,frame,,,claude-opus-5,
123,uniform,das Kind,das Kind means child (a young human being).,ein malendes Kind,Stell dir das Universum als ein malendes Kind vor.,FYh4dWI-bqQ,25.32,frame,,,claude-opus-5,
124,uniform,etw. (Akk) wollen,,wollte,"Seit 1991 unabhängig, aber mit einer Region, die nicht zum Rest des Staates gehören wollte, nämlich Transnistrien.",0gu1gDgQ2Ck,286.72,other,modal,,claude-opus-5,modal
125,uniform,das Gegenteil,das Gegenteil means the opposite.,Gegenteil,"Im Gegenteil, es wird immer verheerender.",3PPd4lYvP0s,465.8,construction,im Gegenteil,,claude-opus-5,
126,uniform,jdm. (Dat) etw. (Akk) erzählen,jemandem etwas erzählen means to tell someone something.,die Dramen erzählen,"Amerikanische Seifenopern, die die Dramen reicher Familien erzählen.",IJQ2v1IQcc0,366.6,frame,,recipient elided,claude-opus-5,
127,uniform,etw. (Akk) ausdrücken,etwas ausdrücken means to express something.,sich sich ausdrückt,"Es ist unglaublich, wie gut er sich ausdrückt und was für eine angenehme Ausstrahlung er vor der Kamera hat.",UWk2aaYHGY8,540.92,other,sich ausdrücken,,claude-opus-5,
128,uniform,die Bundesrepublik,die Bundesrepublik means the Federal Republic (of Germany).,der Bundesrepublik,"Auch im Westen, in der Bundesrepublik konnte man das beobachten.",AeOtbACux5w,571.24,frame,,,claude-opus-5,
129,uniform,die Seite,die Seite means side.,die andere Seite,"Vor allem, weil wir Demokraten uns nicht aller Mittel bedienen können, die die andere Seite hat.",oZlJeK-AacE,1353.2,frame,,,claude-opus-5,
130,uniform,der Arzt,der Arzt means doctor.,dem Arzt,"Am besten, ich fahre direkt zu der Praxis, um mit dem Arzt zu sprechen.",zd3MotIR_eI,184.024,frame,,,claude-opus-5,
131,uniform,etw./jdn. (Akk) haben,,hat,"Bereits 1953 hat er der israelischen Regierung mitgeteilt, dass Eichmann in Argentinien Zuflucht gefunden hat.",mmNgFfUN4MA,755.64,other,auxiliary (perfect),,claude-opus-5,aux
132,uniform,"allein, alleine",allein means alone.,Allein,Allein auf dem Schlachtschiff USS Arizona lagern sogar 680.000 Liter Flugzeugbenzin und 5.000 Tonnen Munition.,YXa6owVk8LA,296.44,frame,,allein = only,claude-opus-5,
133,uniform,"all, alle",,allem,"Entscheidend sind jetzt die kommenden Monate, vor allem auch die Monate nach der Wahl im nächsten Jahr.",U6GW6gzIywo,635.6,construction,vor allem,,claude-opus-5,
134,uniform,das Haus,das Haus means the building where people live.,Hause,"Ja, ich denke, wir sollten alle einfach nach Hause gehen.",tqR3JB7mo_o,1479.72,construction,nach Hause,,claude-opus-5,
135,uniform,der Krieg,der Krieg means war.,einen Krieg,Und noch einen Krieg führt das Land seit einiger Zeit: einen Cyberkrieg.,0gu1gDgQ2Ck,801.44,frame,,,claude-opus-5,
136,uniform,jdn. (Akk) führen,jemanden führen means to lead someone or something.,beim BR zum Umdenken geführt,Die Kritik an den Ingolstadt-Folgen hat beim BR schließlich zum Umdenken geführt.,9FsXQkOdP7I,1686.68,other,zu etw. führen (lead to),,claude-opus-5,
137,uniform,die Information,die Information means information or notice.,Informationen,"Und keinem Forscher würde es einfallen, Informationen, wie man normales Laborequipment zum Bau von Bomben einsetzen könnte, im Internet zu teilen.",M6Tat_YeZbc,491.7994520547945,frame,,,claude-opus-5,
138,uniform,etw. (Akk) befürchten,etwas befürchten means to fear something.,befürchten,"Die Menschen in Taiwan besorgt das, denn sie befürchten, dass die USA China gewähren lassen würden, wenn dessen Armee versuchen würde, Taiwan anzugreifen.",cdN8aL2_hiY,577.56,frame,,,claude-opus-5,
139,uniform,der Künstler,der Künstler means artist.,der Künstler,Nicht nur der Künstler verdient.,bGOthUru6hA,268.08,frame,,,claude-opus-5,
140,uniform,mit etw. aufhören,mit etwas aufhören means to stop doing something.,aufhören,"Ich muss aufhören, daran zu denken.",esyaBtMuRsM,397.42,frame,,aufhören zu + inf,claude-opus-5,
141,uniform,etw./jdn. (Akk) haben,,hatten das,"Also du kommst ja, wir hatten das heute schon mal, auch eine ganz klassische Einwanderungsgeschichte.",6wdfaDUNckw,219.64,frame,,,claude-opus-5,
142,uniform,der Tod,der Tod means death.,dem Tod,Mit dem Tod von Ali Chamenei sind wir bei der Frage aus dem Titel dieses Videos hier angekommen.,mOgzrsfM-BA,268.32,frame,,,claude-opus-5,
143,uniform,die Entscheidung,die Entscheidung means decision or decisions.,die Entscheidung,"Aber egal, wie die Entscheidung ausfällt, die gesellschaftlichen Spannungen wurden dadurch noch einmal verschärft.",iF8crBezySA,693.28,frame,,,claude-opus-5,
144,uniform,etw. (Akk) können,,können,Und wir können sie mit der nötigen Technologie ausstatten.,ME6xH8jrNK4,88.683,other,modal,,claude-opus-5,modal
145,uniform,jdn. (Akk) zu etw. einladen,jemanden zu etwas einladen means to invite someone to something.,Putin eingeladen,"Donald Trump hat Wladimir Putin eingeladen, möchte den Krieg in der Ukraine beenden.",SGvv-xIoStA,178.04,frame,,,claude-opus-5,
146,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,Wörter benutzen,"Versucht dabei, Wörter zu benutzen, die ihr beim Lesen gelernt habt.",xWgB_L31IOs,765.3982432432432,frame,,,claude-opus-5,
147,uniform,etw. (Akk) erzeugen,etwas erzeugen means to generate (energy/power).,erzeugte einen Selektionsdruck,Der schwierige Übergang vom Jagen und Sammeln zum Ackerbau erzeugte einen Selektionsdruck.,5IpAsztfBBA,160.04,frame,,,claude-opus-5,
148,uniform,der Ausdruck,der Ausdruck means an expression or phrase.,diese Ausdrücke,"Wenn ihr diese Ausdrücke kennt, könnt ihr euch abwechslungsreicher auf Deutsch ausdrücken und Muttersprachler besser verstehen.",Xb46PtEeGmU,15.76,frame,,,claude-opus-5,
149,uniform,die Mutter,die Mutter means mother.,meiner Mutter,Ich habe gerade mit meiner Mutter gesprochen.,erEyk5iHhGc,353.131,frame,,,claude-opus-5,
150,uniform,die Schule,die Schule means school (the institution or the activity of attending it).,die Schule,Lisa hat die Schule bereits gewechselt.,eFiDZrQWaHU,1351.875,frame,,,claude-opus-5,
151,uniform,die Frage,die Frage means question.,keine Frage,"Ja, ich glaube, das ist keine Frage des Geldes mehr.",9rVCgdaOv4I,2065.9533333333347,frame,,,claude-opus-5,
152,uniform,der Fall,auf jeden Fall means definitely/absolutely.,keinen Fall,Komm auf keinen Fall raus.,JqyD9UoF0No,691.473,construction,auf keinen Fall,,claude-opus-5,
153,uniform,nach etw. klingen,nach etwas klingen means to sound like something.,klingt,Ein formeller Brief klingt sehr offiziell.,sbdl1y5XosI,337.4982608695653,other,klingen + adjective (sound),,claude-opus-5,
154,uniform,etw./jdn. (Akk) haben,,die nötige Kraft hat,"Umsetzen lässt sich so etwas nur, wenn man auch die nötige Kraft dafür hat.",kBUzEoX5ENI,721.24,frame,,,claude-opus-5,
155,uniform,etw. (Akk) verbreiten,etwas verbreiten means to spread something.,Unruhe verbreitet,Die NATO-Staaten haben auch ordentlich Unruhe verbreitet.,FHvP4RKLUp4,237.2,frame,,,claude-opus-5,
156,uniform,"all, alle",,allem,"Sie sagen, das ist eine kühle Machtpolitikerin, die vor allem auf eins aus ist: auf den eigenen Vorteil.",IUqGpj7dLfg,418.4,construction,vor allem,,claude-opus-5,
157,uniform,etw. (Akk) wollen,,wollen,"Er sagt, wir wollen das gemeinsam im Herbst entscheiden.",DxlQCJZUdVo,861.44,other,modal,,claude-opus-5,modal
158,uniform,die Erde,die Erde means the planet Earth.,Die Erde,Die Erde kühlt sich weiter ab und es regnet wahrscheinlich Millionen von Jahren lang.,8wQkM-znhjY,517.56,frame,,,claude-opus-5,
159,uniform,das Kind,das Kind means child (a young human being).,Kinder,Ihr seid ja noch Kinder.,qaWTR3YkRJI,280.958,frame,,,claude-opus-5,
160,uniform,der Hersteller,der Hersteller means manufacturer.,die Hersteller,"Wenn Minderjährige Vape Pens konsumieren oder Dampfer Einweg-Vapes einfach in den Hausmüll werfen, dann können die Hersteller nicht dafür verantwortlich gemacht werden.",F5rN_LkLWMQ,718.92,frame,,,claude-opus-5,
161,uniform,"vorne, vorn",vorne means front or forward (direction).,vorne,"Da vorne ist eine Oase, glaube ich.",LA3U2FAyunM,1187.406,frame,,,claude-opus-5,
162,uniform,etw. (Akk) lernen,etwas lernen means to acquire knowledge or skills.,lernten,"Im Osten war wichtig, dass die Kinder lernten, im sozialistischen System zu leben.",qzXXbR3MqjI,268.39079999999996,frame,,,claude-opus-5,
163,uniform,etw. (Akk) ändern,etwas ändern means to change something.,sich sich etwas ändern,Es könnte sich ja etwas ändern.,YWAzVYPivWE,308.48,other,sich ändern,,claude-opus-5,
164,uniform,etw. (Akk) können,,kann,"Millionen gucken zu."" Was kann der machen?",EprQ9qtTafg,1315.003157894737,other,modal,,claude-opus-5,modal
165,uniform,die Sprache,die Sprache means language.,Sprache,"Und der Bereich in unserem Gehirn, der für Sprache und Struktur verantwortlich ist, wird deaktiviert.",oNtNLyzWneM,126.34536585365854,frame,,,claude-opus-5,
166,uniform,etw. (Akk) einnehmen,etwas einnehmen means to earn or receive (money).,Ohne die Magie nimmt seinen Platz ein,"Ohne die Magie des Feuerbringers nimmt n alles wieder seinen Platz ein, wo es wissenschaftlich hingehört.",xru8Neeub1k,4762.47294117647,frame,,seinen Platz einnehmen,claude-opus-5,
167,uniform,etw./jdn. (Akk) haben,,habe,Ich habe schon zu Mittag gegessen.,98S3JDk_7Ww,4407.111,other,auxiliary (perfect),,claude-opus-5,aux
168,uniform,die Rücksicht,die Rücksicht means consideration or regard.,keine Rücksicht,"Ein irrwitziges Vorhaben, das auf das Leben und die Gesundheit der Jugendlichen keine Rücksicht nimmt.",AdoL7zmVSmU,1289.04,construction,Rücksicht nehmen auf,,claude-opus-5,
169,uniform,jdm. (Dat) etw. (Akk) bedeuten,jemandem etwas bedeuten means to mean something to someone.,Menschen bedeuten,"Die würden übersetzt sehr oft ""Menschen"" oder ""Volk"" bedeuten.",rVLYaU1mNjY,167.04,other,bedeuten (signify),,claude-opus-5,
170,uniform,die Schwester,die Schwester means sister.,Schwester,"Ich brauche deine Hilfe, Schwester.",Wee30B9zUL8,132.5,frame,,,claude-opus-5,
171,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,mache die Lara einen Antrag,"Ich glaube, ich mache die Lara auch einen Antrag.",5nhnENjf2lA,404.75,construction,jdm. einen Antrag machen,,claude-opus-5,
172,uniform,etw. (Akk) verdienen,etwas verdienen means to earn something (money or income).,eine zweite Chance verdient,"Ich denke, Jan hat eine zweite Chance verdient.",7w_Y0Nn2FBE,59.326,frame,,,claude-opus-5,
173,uniform,etw. (Akk) wissen,etwas wissen means to know something.,weiß,"Ich weiß nicht, ob ich es dir erzählen kann.",y-fiIZWz3Bk,410.251,frame,,,claude-opus-5,
174,uniform,der Held,der Held means hero.,ein Held,Doch ich bleibe ein Held.,PUjcC-VJE7s,3.4955555555555553,frame,,,claude-opus-5,
175,uniform,etw. (Akk) an jdn. zahlen,etwas an jemanden zahlen means to pay something to someone (or to pay for something).,zahle an der Kasse,Ich zahle an der Kasse.,DGd2b3pSixw,735.669,other,zahlen (intransitive),,claude-opus-5,
176,uniform,etw./jdn. (Akk) haben,,hatte,"Er hatte gesagt, dass er einkaufen wollte.",LkufozluseI,5060.224761904763,other,auxiliary (perfect),,claude-opus-5,aux
177,uniform,"all, alle",,alle,Wir sind alle hier zum lernen.,JCf91HHEojg,421.89484615384623,frame,,,claude-opus-5,
178,uniform,die Bank,die Bank means the financial institution.,Bank 900.,"Punkt a. Wir überweisen 900 € für Miete, das heißt unser Buchungssatz lautet Mietaufwand an Bank 900.",34RchejaaPo,118.21387096774194,frame,,,claude-opus-5,
179,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,mit dem Dativ benutzt,Aber sie wird auch mit dem Dativ benutzt.,UJG0jUBGiRU,826.6799999999998,frame,,passive,claude-opus-5,
180,uniform,der Tag,der Tag means the period of daylight or a 24-hour day.,jeden Tag,Ein kleiner Schritt jeden Tag ist besser als ein großer Schritt einmal in der Woche.,uP_ernGddlA,711.32,frame,,,claude-opus-5,
181,uniform,jdn. (Akk) führen,jemanden führen means to lead someone or something.,ihn führt,"Das impliziert ja, dass es diesen einen Mann gibt, Wladimir Putin, russischer Präsident, der den Krieg allein begonnen hat und ihn alleine führt.",AVukppy9qRc,42.04,construction,Krieg führen,,claude-opus-5,
182,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sage,"Dabei beschreibe ich einen Körperteil erst und sage dann, wie er auf Deutsch heißt.",KXKBogPrjV8,51.157499999999985,frame,,,claude-opus-5,
183,uniform,etw. (Akk) wollen,,wollen,"Was ist mit denen, die das Windrad nicht vor ihrer Tür haben wollen?",KYZkyrOc7FA,1056.6,other,modal,,claude-opus-5,modal
184,uniform,die Mama,die Mama means mother/mom.,Mama,"Kein Problem, Mama und Papa!",jk5V7vFnqZc,274.945,frame,,,claude-opus-5,
185,uniform,etw. (Akk) mit etw. kombinieren,etwas mit etwas kombinieren means to combine something with something.,Bei einem Shift kombinieren sich sich,"Bei einem Shift kombinieren sich genetische Eigenschaften verschiedener Viren, wobei eine so wesentliche und abrupte genetische Veränderung auftritt, dass ein ganz neues Virus entsteht.",rt5ZtBfDrIs,408.92,other,sich kombinieren,,claude-opus-5,
186,uniform,jdm. (Dat) etw. (Akk) sichern,"jemandem etwas sichern means to secure something for someone (to obtain or guarantee rights, advantages, etc.).",gesichert,"Darum ist es so wichtig, dass der Radraum gut gesichert ist.",slyev-JfiyI,3008.96,other,"sichern (secure, lock)",state passive,claude-opus-5,
187,uniform,ein paar,ein paar means a few.,paar,"Ich war vor ein paar Wochen wirklich besorgt, weil ich damit gerechnet hatte, dass mit den Lockerungen die Infektionszahlen wieder hochgehen.",De5FGogMWzQ,1313.36,frame,,,claude-opus-5,
188,uniform,etw. (Akk) für etw. ausgeben,etwas für etwas ausgeben means to spend something (money) for something.,eine Menge Geld ausgegeben,"Die haben ein tolles Produkt, aber das ist egal , denn die haben eine Menge Geld dafür ausgegeben.",98S3JDk_7Ww,728.728,frame,,,claude-opus-5,
189,uniform,der Schutz,der Schutz means protection.,Schutz,"Hier lag einst eine der größten keltischen Höhenfestungen, die den einheimischen Pikten bei Gefahr Schutz bot.",mS6gOaa5vYo,1079.0,frame,,Schutz bieten,claude-opus-5,
190,uniform,jdn. (Akk) beruhigen,jemanden beruhigen means to calm someone down or to reassure someone.,dich beruhigen,Du musst dich endlich beruhigen.,3TwY5jtZJvM,3722.241126760563,other,sich beruhigen,,claude-opus-5,
191,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,lassen,Man könnte auch bestimmteDinge bestehen lassen.,zOUQZvm7c7E,717.32,other,"etw. tun lassen (let, leave)",,claude-opus-5,
192,uniform,etw. (Akk) tun,etwas tun means to do something.,eines tun,"Um möglichst lange zu überleben, kannst du nur eines tun: gar nichts.",3IpcM5gqRM4,342.883,frame,,,claude-opus-5,
193,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen,jemanden anschauen means to look at someone or something closely.,Schauen uns uns das an an,"Schauen wir uns das genauer an. Wie vorhin angesprochen, haben alle Diktaturen gemeinsam, dass es keine Gewaltenteilung gibt.",Ec_Nn0OiTRc,182.6,frame,,,claude-opus-5,
194,uniform,die Folge,die Folge means episode (of a TV show or series).,einer neuen Folge Mr.,In einer neuen Folge Mr.Wissen2go Exklusiv.,stq0ZB5HHyA,61.6,frame,,episode sense of the same noun,claude-opus-5,
195,uniform,die Partie,die Partie means a chess or board game match.,die Partie,"Je nachdem, wie die Partie weitergeht.",7HLH8Q5FTwg,642.733,frame,,,claude-opus-5,
196,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt eine enge wirtschaftliche Zusammenarbeit,Es gibt eine enge wirtschaftliche Zusammenarbeit.,w7cf0kaYvKE,527.68,construction,es gibt,,claude-opus-5,es_gibt
197,uniform,der Gott,der Gott means God.,Gott,"Oh Gott, warum schlägt mein Herz auf einmal so stark, wenn ich an ihn denke?",oHJ57gROfmw,183.20054054054057,construction,oh Gott,,claude-opus-5,
198,uniform,der Krieg,der Krieg means war.,der Krieg,"Und damit sind wir bei Folge zwei: Dass der Krieg in der Ukraine Auswirkungen auf die Weltwirtschaft hat, das merken wir momentan alle.",puEJwWdlYuY,356.92,frame,,,claude-opus-5,
199,uniform,die Sicherheit,die Sicherheit means safety.,die Sicherheit,"Für mich bedeutet, dass wir als Parlamentarier nutzen unsere Möglichkeiten, um den Frieden und die Sicherheit in Europa zu stärken.",zjLkTb2jQnw,856.7938888888889,frame,,,claude-opus-5,
200,uniform,etw./jdn. (Akk) haben,,habe,"Ich habe schon versucht, mit ihr darüber zu sprechen, aber es hat nichts gebracht.",QBWSyYeB5B8,107.455,other,auxiliary (perfect),,claude-opus-5,aux
201,uniform,das Auge,das Auge means eye.,zwei riesigen leeren Augen,Zusammen mit zwei riesigen leeren Augen hat der Mola immer einen dämlichen Gesichtausdruck.,-sNiIwGn46Y,191.93500000000003,frame,,,claude-opus-5,
202,uniform,etw. (Akk) organisieren,etwas organisieren means to organize something.,Sex mit russischen Mädchen organisiert,"Laut Recherchen des Spiegel soll Epstein geschrieben haben, er habe Sex mit russischen Mädchen für Gates organisiert.",RgwO0qVFW-Q,713.96,frame,,,claude-opus-5,
203,uniform,etw./jdn. (Akk) kennen,etwas kennen means to be acquainted with or to know someone/something.,kenne keine Albanerin,Ich kenne keine Albanerin namens Yara.,_i_1y_nSxCA,191.273,frame,,,claude-opus-5,
204,uniform,die Polizei,die Polizei means the police.,der Polizei,Kurz darauf geht ein Sonderkommando der Polizei in Trainingsanzügen und mit Sturmgewehren auf den Dächern rundum sowie auf dem besetzten Gebäude in Stellung.,lk019BF5RDI,367.84,frame,,,claude-opus-5,
205,uniform,etw./jdn. (Akk) haben,,haben,Nicht ohne Grund haben die USA im Zweiten Weltkrieg Stützpunkte auf Grönland errichtet und einen dieser Stützpunkte dann auch im sogenannten Kalten Krieg beibehalten.,-PlfwHI2ma0,585.44,other,auxiliary (perfect),,claude-opus-5,aux
206,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,keinen Begriff machen,"Zeitungen wie das SPD-Blatt „Vorwärts“ zitieren Schilderungen aus Briefen von Soldaten: „Ihr könnt euch gar keinen Begriff in Deutschland davon machen, wie es hier aussieht.",3ZbKzL8od8s,712.56,construction,sich einen Begriff von etw. machen,,claude-opus-5,
207,uniform,etw./jdn. (Akk) verändern,etwas verändern means to change something.,verändert deine Gene,"Es verändert deine Gene, deine DNA und bringt auch noch sämtliche ande- re krebserregende Effekte mit sich.",XTMIomsXxKM,174.52,frame,,,claude-opus-5,
208,uniform,das Ende,das Ende means finally or in the long run.,Ende,"Ende der 1970er-Jahre wird Iran eine islamische Republik, in der die Geistlichkeit das Sagen hat und eine religiöse Diktatur errichtet.",IAD_fVFE6y8,356.64,frame,,,claude-opus-5,
209,uniform,die Insel,die Insel means island.,alle entlegenen Inseln,"Wir haben alle entlegenen Inseln besucht, die Arktis erobert und den Dschungel erforscht.",q6fgbYWsMgw,4.36,frame,,,claude-opus-5,
210,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,findet,Da findet ihr einige Dokumentationen aus der ZDF-Mediathek verlinkt.,LGIMpZnfP-E,660.6,frame,,,claude-opus-5,
211,uniform,das Thema,das Thema means topic.,diesem heiklen Thema,"Danke euch, dass ihr bei diesem heiklen Thema fair bleibt in den Kommentaren, danke fürs Zuschauen und bis zum nächsten Mal.",_EJLZxZR-_M,964.52,frame,,,claude-opus-5,
212,uniform,"eben, ebend",eben means exactly/as expected/just now.,eben,"Und wenn man Letztere anhand von starker Evidenz erkennt, dann ist man hier klug beraten, eben doch auf die Wissenschaft zu hören.",ptJ-42ME3f8,1557.52,frame,,,claude-opus-5,
213,uniform,der Dank,der Dank means thanks/thankfulness.,Vielen Dank,Vielen Dank für Ihr Verständnis.,PFsFOWjW33A,556.21,construction,vielen Dank,,claude-opus-5,
214,uniform,etw. (Akk) benutzen,etwas benutzen means to use something.,benutzen die,"Wenn diese Dokumente auftauchen, benutzen wir die auch. allein damit unsere andere Blätter nicht Hofberichterstattung unterstellen.",_kl4oeGNxVI,2891.072727272727,frame,,,claude-opus-5,
215,uniform,der Bundestag,der Bundestag means the German federal parliament.,des Bundestags,Die wichtigste Aufgabe des Bundestags ist aber: Gesetze beschließen.,Mk2PSAgkYNU,40.0,frame,,,claude-opus-5,
216,uniform,etw./jdn. (Akk) lassen,etwas lassen means to let something happen or allow it.,sich sich lassen,"Mao nutzt diese Zeit und die militärischen Fehler seiner Konkurrenten, um sich 1943 auch offiziell zum Vorsitzenden der Kommunistischen Partei wählen zu lassen.",eHVHjYmYQ5U,215.04,other,etw. tun lassen (causative),,claude-opus-5,
217,uniform,das Militär,das Militär means the armed forces or the military as an institution.,Militär,"In der Weimarer Republik bekleiden Personen aus diesen Kreisen oft einflussreiche Posten, etwa als Richter oder im Militär.",tDI4SxeoH6k,131.76,frame,,,claude-opus-5,
218,uniform,der Nachbar,der Nachbar means neighbor.,ihre neuen Nachbarn,Sie wollte ihre neuen Nachbarn kennenlernen.,BrTWUh8kUec,390.093,frame,,,claude-opus-5,
219,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,mir gesagt,"Nein, er hat mir gesagt, er ist zu Hause.",8vhAcpQejSA,484.75,frame,,,claude-opus-5,
220,uniform,der Tag,der Tag means the period of daylight or a 24-hour day.,Tag,Ausfahrt Tag und Nacht freihalten!,o-L4Ha843I0,10.123,frame,,,claude-opus-5,
221,uniform,der Job,der Job means a paid position of employment.,Job,"Wie geht ihr mit Stress im Job um? Habt ihr spezielle Routinen oder Techniken, die euch helfen, im Alltag die Ruhe zu bewahren?",Tt5DYoKSKGQ,1093.5367741935486,frame,,,claude-opus-5,
222,uniform,das Wort,das Wort means word.,Das Wort Geschmäckle,"Das Wort “Geschmäckle” kommt aus dem süddeutschen Sprachraum, genauer gesagt aus dem Schwäbischen.",xKB21l3klHo,515.76,frame,,,claude-opus-5,
223,uniform,die Wohnung,die Wohnung means apartment.,ihre früheren Wohnungen,"In ihre früheren Wohnungen ziehen nichtjüdische ""Mitbürger"" ein.",pFo2kXMqa98,318.2,frame,,,claude-opus-5,
224,uniform,etw./jdn. (Akk) haben,,hat,Sie hat also “neun” gesagt oder auch “sieben”.,UyJEBGjch2g,306.2294736842106,other,auxiliary (perfect),,claude-opus-5,aux
225,uniform,der Mensch,der Mensch means person/people.,den Menschen,Und wie sollte den Menschen geholfen werden?,ZVBxklE6o-I,684.6,frame,,,claude-opus-5,
226,uniform,jdm. (Dat) erscheinen,jemandem erscheinen means to seem to someone.,erscheint,"Vielleicht löschen sie das Universum selbst. (Böses Lachen) (Fröhliche Musik) Ein schwarzes Locher erscheint, wenn eine unfassbare Menge Materie auf ganz kleinem Raum konzentriert ist.",VOYuMywDnXI,15.233,other,"erscheinen (appear, intransitive)",,claude-opus-5,
227,uniform,die Handlung,die Handlung means action.,Handlung,"Im geschlossenen Drama gilt die Einheit von Handlung, Zeit und Ort.",rh5MUxhUUEE,519.4,frame,,,claude-opus-5,
228,uniform,die Antwort,die Antwort means answer.,Eine Antwort,"Eine Antwort darauf gibt US-Präsident Donald Trump vor den Kameras, oder genauer gesagt vor einer Kamera.",fvMbJHASc5o,279.44,frame,,,claude-opus-5,
229,uniform,der Student,der Student means student.,Studenten,"Aber das stimmt so auch nicht, denn wir führen uns vor Augen, es sind junge Menschen, die die Grünen wählen, Studenten, Abiturienten und andere.",mjak9u_sdRY,400.96,frame,,,claude-opus-5,
230,uniform,das Parlament,das Parlament means parliament.,das Parlament,"Es hat nur eine Woche gedauert, bis dieses Gesetz tatsächlich durch das Parlament gegangen ist.",f0f4jC56MTs,214.96,frame,,,claude-opus-5,
231,uniform,der Herr,der Herr means Mr.,Herr Kunze,"Ok, vielen Dank, Herr Kunze!",xdSbZ4YyGqE,397.251,frame,,title,claude-opus-5,
232,uniform,"der Teil, das Teil",der Teil means part.,welchen Teilen,"Das heißt, aus welchen Teilen wird sie bestehen.",i4YRCtzi_B0,408.3421428571429,frame,,,claude-opus-5,
233,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,Anteile hält,"Außerdem möchte er die USA unabhängiger von China machen und verbieten, dass China Anteile an lebenswichtiger Infrastruktur in den USA hält.",4K-7BSnfm78,781.4,frame,,,claude-opus-5,
234,uniform,etw./jdn. (Akk) finden,etwas finden means to find something.,Yara finden,"Vielleicht kann er uns helfen, Yara zu finden.",Ged11_KhtWc,576.134,frame,,,claude-opus-5,
235,uniform,die Produktion,die Produktion means production.,die Produktion,"Kurz nach Bekanntwerden der Vorwürfe hat Volkswagen sogar angekündigt, die Produktion dort auszuweiten.",l6n5EmaQlVA,457.96,frame,,,claude-opus-5,
236,uniform,jdn. (Akk) erschießen,jemanden erschießen means to shoot someone (kill them with a firearm).,keine erschossen,"Ich habe sehr viele Fakten und alle Fakten sagen mir, dass Lee keine die erschossen hat.",KLDG8XvcQWw,3842.611219512194,frame,,garbled but the frame is there,claude-opus-5,
237,uniform,der Mund,der Mund means mouth.,dein Mund,"Gut, dein Mund hast du ja schon mal trainiert, Cheer.",3TwY5jtZJvM,1277.5097435897435,frame,,,claude-opus-5,
238,uniform,die Quelle,die Quelle means source.,den Quellen,"In den Quellen ist immer die Rede davon, dass ungeheure Massen an Wikingern angreifen.",KE8j-fOZidQ,504.48,frame,,,claude-opus-5,
239,uniform,etw./jdn. (Akk) erreichen,etwas erreichen means to contact someone or make contact with them.,der Atompilz eine Höhe erreichte,"Ihre Explosion war so gewaltig, dass die Druckwelle etwa dreimal die Erde umrundete und der Atompilz eine Höhe von 64 km erreichte.",SorIEgajNd0,69.28,frame,,,claude-opus-5,
240,uniform,"all, alle",,allem,"Denn dass die CDU tatsächlich mit dem BSW koaliert, dürfte vor allem in den westdeutschen Bundesländern bei den Mitgliedern nicht gut ankommen.",GDKjxv78PWI,658.48,construction,vor allem,,claude-opus-5,
241,uniform,jdn./etw. (Akk) wählen,jemanden wählen means to elect someone (to office).,beim letzten Mal Biden gewählt,"Die Leute, die beim letzten Mal Biden nur deshalb gewählt haben, weil er eben nicht Trump ist, könnten dieses Mal nicht mitmachen.",LduT5XIVt_U,520.92,frame,,,claude-opus-5,
242,uniform,jdm. (Dat) gehören,gehört means heard.,gehört,Dazu gehört sie noch heute.,3ZEhLpSjHZk,545.76,other,zu etw. gehören,,claude-opus-5,
243,uniform,etw. (Akk) spielen,"etwas spielen means to play (a game, instrument, or activity).",eine große Rolle spielt bei dem,"Und ich bin der Meinung, dass diese Person oder Gruppe, mit der er gesprochen hat, eine große Rolle spielt bei dem, was er gemacht hat.",LhIV_MhdhuE,597.44,construction,eine Rolle spielen,,claude-opus-5,
