n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
267,0.3009,unsloth/Qwen3.5-9B-GGUF,,1.93,frame,,uniform,jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen
268,0.6012,unsloth/Qwen3.5-9B-GGUF,,2.17,frame,,uniform,etw. (Akk) machen
269,0.8011,unsloth/Qwen3.5-9B-GGUF,,7.62,frame,,uniform,die Frage
270,0.8837,unsloth/Qwen3.5-9B-GGUF,,1.02,frame,,uniform,die Million
271,0.8711,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,uniform,das Thema
272,0.6206,unsloth/Qwen3.5-9B-GGUF,,1.42,other,,uniform,jdm. (Dat) etw. (Akk) reichen
273,0.6107,unsloth/Qwen3.5-9B-GGUF,,2.3,other,modal,uniform,etw. (Akk) wollen
274,0.53,unsloth/Qwen3.5-9B-GGUF,,2.47,frame,,uniform,die Leute
275,0.8307,unsloth/Qwen3.5-9B-GGUF,,1.32,frame,,uniform,die Bewertung
276,0.0266,unsloth/Qwen3.5-9B-GGUF,,5.82,other,modal,uniform,etw. (Akk) können
277,0.2783,unsloth/Qwen3.5-9B-GGUF,,2.66,frame,,uniform,die Geschichte
278,0.2342,unsloth/Qwen3.5-9B-GGUF,,2.43,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
279,0.5214,unsloth/Qwen3.5-9B-GGUF,,2.21,other,modal,uniform,etw. (Akk) können
280,0.2702,unsloth/Qwen3.5-9B-GGUF,,1.37,other,,uniform,von etw. ausgehen
281,0.4365,unsloth/Qwen3.5-9B-GGUF,,2.62,frame,,uniform,jdn./etw. (Akk) kontrollieren
282,0.1715,unsloth/Qwen3.5-9B-GGUF,,0.61,other,,uniform,etw./jdn. (Akk) lassen
283,0.6978,unsloth/Qwen3.5-9B-GGUF,,0.73,frame,,uniform,auf jdn./etw. (Akk) zutreffen
284,0.4849,unsloth/Qwen3.5-9B-GGUF,,2.19,frame,,uniform,etw./jdn. (Akk) finden
285,0.9475,unsloth/Qwen3.5-9B-GGUF,,3.58,frame,,uniform,die Datei
286,0.8741,unsloth/Qwen3.5-9B-GGUF,,1.8,construction,,uniform,die Straße
287,0.6292,unsloth/Qwen3.5-9B-GGUF,,1.57,frame,,uniform,der Freund
288,0.5516,unsloth/Qwen3.5-9B-GGUF,,0.89,other,modal,uniform,etw. (Akk) können
289,0.894,unsloth/Qwen3.5-9B-GGUF,,1.03,frame,,uniform,der Euro
290,0.9479,unsloth/Qwen3.5-9B-GGUF,,1.51,frame,,uniform,das Krankenhaus
291,0.4448,unsloth/Qwen3.5-9B-GGUF,,2.67,frame,,uniform,"all, alle"
292,0.6038,unsloth/Qwen3.5-9B-GGUF,,1.46,frame,,uniform,etw. (Akk) gewinnen
293,0.7731,unsloth/Qwen3.5-9B-GGUF,,1.7,frame,,uniform,die Sekunde
294,0.5223,unsloth/Qwen3.5-9B-GGUF,,1.93,frame,,uniform,etw. (Akk) akzeptieren
295,0.8913,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,uniform,der Mensch
296,0.3353,unsloth/Qwen3.5-9B-GGUF,,1.05,other,modal,uniform,etw. (Akk) können
297,0.4487,unsloth/Qwen3.5-9B-GGUF,,6.96,frame,,uniform,"eben, ebend"
298,0.6802,unsloth/Qwen3.5-9B-GGUF,,1.76,frame,,uniform,die Unsicherheit
299,0.8841,unsloth/Qwen3.5-9B-GGUF,,5.86,frame,,uniform,der Soldat
300,0.2968,unsloth/Qwen3.5-9B-GGUF,,3.78,frame,,uniform,etw. (Akk) bei jdm. abgeben
301,0.465,unsloth/Qwen3.5-9B-GGUF,,1.05,other,aux,panel,etw./jdn. (Akk) haben
302,0.4926,unsloth/Qwen3.5-9B-GGUF,,0.71,other,aux,panel,etw./jdn. (Akk) haben
303,0.2958,unsloth/Qwen3.5-9B-GGUF,,7.52,other,aux,panel,etw./jdn. (Akk) haben
304,0.3522,unsloth/Qwen3.5-9B-GGUF,,2.56,other,modal,panel,etw. (Akk) können
305,0.4863,unsloth/Qwen3.5-9B-GGUF,,1.27,other,modal,panel,etw. (Akk) können
306,0.6422,unsloth/Qwen3.5-9B-GGUF,,3.83,other,modal,panel,etw. (Akk) können
307,0.6228,unsloth/Qwen3.5-9B-GGUF,,1.42,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
308,0.3622,unsloth/Qwen3.5-9B-GGUF,,0.92,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
309,0.4773,unsloth/Qwen3.5-9B-GGUF,,0.7,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
310,0.4258,unsloth/Qwen3.5-9B-GGUF,,0.56,frame,,panel,jdm. (Dat) etw. (Akk) sagen
311,0.8785,unsloth/Qwen3.5-9B-GGUF,,9.86,frame,,panel,jdm. (Dat) etw. (Akk) sagen
312,0.8125,unsloth/Qwen3.5-9B-GGUF,,1.57,frame,,panel,jdm. (Dat) etw. (Akk) sagen
313,0.1429,unsloth/Qwen3.5-9B-GGUF,,0.8,other,,panel,etw. (Akk) machen
314,0.96,unsloth/Qwen3.5-9B-GGUF,,6.3,frame,,panel,etw. (Akk) machen
315,0.4596,unsloth/Qwen3.5-9B-GGUF,,1.61,frame,,panel,etw. (Akk) machen
316,0.6268,unsloth/Qwen3.5-9B-GGUF,,2.31,frame,,panel,"all, alle"
317,0.4008,unsloth/Qwen3.5-9B-GGUF,,1.94,frame,,panel,"all, alle"
318,0.6322,unsloth/Qwen3.5-9B-GGUF,,0.8,frame,,panel,"all, alle"
319,0.4738,unsloth/Qwen3.5-9B-GGUF,,0.82,other,modal,panel,etw. (Akk) wollen
320,0.9169,unsloth/Qwen3.5-9B-GGUF,,10.44,other,modal,panel,etw. (Akk) wollen
321,0.4077,unsloth/Qwen3.5-9B-GGUF,,1.27,other,modal,panel,etw. (Akk) wollen
322,0.7971,unsloth/Qwen3.5-9B-GGUF,,1.32,frame,,panel,etw./jdn. (Akk) sehen
323,0.5359,unsloth/Qwen3.5-9B-GGUF,,1.93,frame,,panel,etw./jdn. (Akk) sehen
324,0.4305,unsloth/Qwen3.5-9B-GGUF,,5.92,frame,,panel,etw./jdn. (Akk) sehen
325,0.8835,unsloth/Qwen3.5-9B-GGUF,,3.45,frame,,panel,das Jahr
326,0.5864,unsloth/Qwen3.5-9B-GGUF,,0.75,frame,,panel,das Jahr
327,0.7714,unsloth/Qwen3.5-9B-GGUF,,7.44,frame,,panel,das Jahr
328,0.7529,unsloth/Qwen3.5-9B-GGUF,,5.86,frame,,panel,etw. (Akk) wissen
329,0.1667,unsloth/Qwen3.5-9B-GGUF,,0.74,frame,,panel,etw. (Akk) wissen
330,0.637,unsloth/Qwen3.5-9B-GGUF,,7.65,frame,,panel,etw. (Akk) wissen
331,0.7953,unsloth/Qwen3.5-9B-GGUF,,0.6,frame,,panel,der Mensch
332,0.8167,unsloth/Qwen3.5-9B-GGUF,,0.82,frame,,panel,der Mensch
333,0.7877,unsloth/Qwen3.5-9B-GGUF,,1.72,frame,,panel,der Mensch
334,0.4049,unsloth/Qwen3.5-9B-GGUF,,0.77,frame,,panel,etw./jdn. (Akk) finden
335,0.9381,unsloth/Qwen3.5-9B-GGUF,,2.2,frame,,panel,etw./jdn. (Akk) finden
336,0.6978,unsloth/Qwen3.5-9B-GGUF,,2.95,other,,panel,etw./jdn. (Akk) finden
337,0.916,unsloth/Qwen3.5-9B-GGUF,,0.66,frame,,panel,das Video
338,0.7638,unsloth/Qwen3.5-9B-GGUF,,7.04,frame,,panel,das Video
339,0.7503,unsloth/Qwen3.5-9B-GGUF,,3.39,frame,,panel,das Video
340,0.8817,unsloth/Qwen3.5-9B-GGUF,,6.35,frame,,panel,etw. (Akk) tun
341,0.8762,unsloth/Qwen3.5-9B-GGUF,,1.61,frame,,panel,etw. (Akk) tun
342,0.3249,unsloth/Qwen3.5-9B-GGUF,,3.84,frame,,panel,etw. (Akk) tun
343,0.878,unsloth/Qwen3.5-9B-GGUF,,1.59,other,,panel,jdm. (Dat) stehen
344,0.5344,unsloth/Qwen3.5-9B-GGUF,,1.35,other,,panel,jdm. (Dat) stehen
345,0.0837,unsloth/Qwen3.5-9B-GGUF,,3.9,other,,panel,jdm. (Dat) stehen
346,0.5278,unsloth/Qwen3.5-9B-GGUF,,0.67,frame,,panel,mit jdm. / über etw./jdn. sprechen
347,0.3214,unsloth/Qwen3.5-9B-GGUF,,2.62,frame,,panel,mit jdm. / über etw./jdn. sprechen
348,0.6738,unsloth/Qwen3.5-9B-GGUF,,2.12,frame,,panel,mit jdm. / über etw./jdn. sprechen
349,0.7699,unsloth/Qwen3.5-9B-GGUF,,1.04,construction,,panel,das Beispiel
350,0.6154,unsloth/Qwen3.5-9B-GGUF,,6.67,frame,,panel,das Beispiel
351,0.7764,unsloth/Qwen3.5-9B-GGUF,,5.9,construction,,panel,das Beispiel
352,0.4828,unsloth/Qwen3.5-9B-GGUF,,11.54,frame,,panel,"selbst, selber"
353,0.8181,unsloth/Qwen3.5-9B-GGUF,,1.93,frame,,panel,"selbst, selber"
354,0.38,unsloth/Qwen3.5-9B-GGUF,,5.12,frame,,panel,"selbst, selber"
355,0.7592,unsloth/Qwen3.5-9B-GGUF,,1.34,frame,,panel,die Zeit
356,0.3928,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,panel,die Zeit
357,0.6208,unsloth/Qwen3.5-9B-GGUF,,1.36,construction,,panel,die Zeit
358,0.8666,unsloth/Qwen3.5-9B-GGUF,,5.71,frame,,panel,das Land
359,0.8408,unsloth/Qwen3.5-9B-GGUF,,2.7,frame,,panel,das Land
360,0.7239,unsloth/Qwen3.5-9B-GGUF,,1.57,frame,,panel,das Land
361,0.7105,unsloth/Qwen3.5-9B-GGUF,,5.82,frame,,panel,etw. (Akk) bekommen
362,0.9267,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,panel,etw. (Akk) bekommen
363,0.845,unsloth/Qwen3.5-9B-GGUF,,3.13,frame,,panel,etw. (Akk) bekommen
364,0.8841,unsloth/Qwen3.5-9B-GGUF,,1.36,frame,,panel,etw./jdn. (Akk) brauchen
365,0.1577,unsloth/Qwen3.5-9B-GGUF,,2.28,other,,panel,etw./jdn. (Akk) brauchen
366,0.8005,unsloth/Qwen3.5-9B-GGUF,,1.41,frame,,panel,etw./jdn. (Akk) brauchen
367,0.5478,unsloth/Qwen3.5-9B-GGUF,,5.81,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
368,0.4691,unsloth/Qwen3.5-9B-GGUF,,1.23,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
369,0.3842,unsloth/Qwen3.5-9B-GGUF,,2.03,other,,panel,jdm. (Dat) etw. (Akk) bedeuten
370,0.8144,unsloth/Qwen3.5-9B-GGUF,,6.41,frame,,panel,"gern, gerne"
371,0.8427,unsloth/Qwen3.5-9B-GGUF,,7.56,frame,,panel,"gern, gerne"
372,0.959,unsloth/Qwen3.5-9B-GGUF,,1.24,frame,,panel,"gern, gerne"
373,0.9454,unsloth/Qwen3.5-9B-GGUF,,1.05,frame,,panel,"nichts, nix"
374,0.5915,unsloth/Qwen3.5-9B-GGUF,,11.19,construction,,panel,"nichts, nix"
375,0.2474,unsloth/Qwen3.5-9B-GGUF,,0.69,frame,,panel,"nichts, nix"
376,0.667,unsloth/Qwen3.5-9B-GGUF,,5.7,frame,,panel,jdm. (Dat) passieren
377,0.5031,unsloth/Qwen3.5-9B-GGUF,,1.98,frame,,panel,jdm. (Dat) passieren
378,0.9227,unsloth/Qwen3.5-9B-GGUF,,1.22,frame,,panel,jdm. (Dat) passieren
379,0.9487,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,panel,der Tag
380,0.801,unsloth/Qwen3.5-9B-GGUF,,0.9,frame,,panel,der Tag
381,0.775,unsloth/Qwen3.5-9B-GGUF,,1.72,frame,,panel,der Tag
382,0.8109,unsloth/Qwen3.5-9B-GGUF,,5.22,frame,,panel,die Frage
383,0.8175,unsloth/Qwen3.5-9B-GGUF,,1.43,frame,,panel,die Frage
384,0.8485,unsloth/Qwen3.5-9B-GGUF,,1.57,frame,,panel,die Frage
385,0.9,unsloth/Qwen3.5-9B-GGUF,,0.69,frame,,panel,der Mann
386,0.7386,unsloth/Qwen3.5-9B-GGUF,,1.21,frame,,panel,der Mann
387,0.6002,unsloth/Qwen3.5-9B-GGUF,,1.98,frame,,panel,der Mann
388,0.6719,unsloth/Qwen3.5-9B-GGUF,,4.75,other,,panel,jdm. (Dat) / etw. (Akk) glauben
389,0.6487,unsloth/Qwen3.5-9B-GGUF,,7.87,other,,panel,jdm. (Dat) / etw. (Akk) glauben
390,0.4738,unsloth/Qwen3.5-9B-GGUF,,4.25,other,,panel,jdm. (Dat) / etw. (Akk) glauben
391,0.3858,unsloth/Qwen3.5-9B-GGUF,,7.91,frame,,panel,die Frau
392,0.3231,unsloth/Qwen3.5-9B-GGUF,,10.65,frame,,panel,die Frau
393,0.7858,unsloth/Qwen3.5-9B-GGUF,,0.64,frame,,panel,die Frau
394,0.4753,unsloth/Qwen3.5-9B-GGUF,,6.37,other,,panel,etw./jdn. (Akk) lassen
395,0.8216,unsloth/Qwen3.5-9B-GGUF,,2.59,frame,,panel,etw./jdn. (Akk) lassen
396,0.8384,unsloth/Qwen3.5-9B-GGUF,,0.88,other,,panel,etw./jdn. (Akk) lassen
397,0.7839,unsloth/Qwen3.5-9B-GGUF,,1.59,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
398,0.8624,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
399,0.5014,unsloth/Qwen3.5-9B-GGUF,,0.64,frame,,panel,jdm. (Dat) etw. (Akk) schreiben
400,0.3824,unsloth/Qwen3.5-9B-GGUF,,1.13,other,,panel,nach etw. aussehen
401,0.4194,unsloth/Qwen3.5-9B-GGUF,,0.73,other,,panel,nach etw. aussehen
402,0.449,unsloth/Qwen3.5-9B-GGUF,,6.36,other,,panel,nach etw. aussehen
403,0.8577,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,panel,die Leute
404,0.7622,unsloth/Qwen3.5-9B-GGUF,,2.1,frame,,panel,die Leute
405,0.6841,unsloth/Qwen3.5-9B-GGUF,,0.74,frame,,panel,die Leute
406,0.782,unsloth/Qwen3.5-9B-GGUF,,1.88,frame,,panel,die Partei
407,0.7937,unsloth/Qwen3.5-9B-GGUF,,0.65,frame,,panel,die Partei
408,0.88,unsloth/Qwen3.5-9B-GGUF,,0.74,frame,,panel,die Partei
409,0.9573,unsloth/Qwen3.5-9B-GGUF,,4.54,frame,,panel,jdm. (Dat) etw. (Akk) zeigen
410,0.4145,unsloth/Qwen3.5-9B-GGUF,,1.59,frame,,panel,jdm. (Dat) etw. (Akk) zeigen
411,0.2703,unsloth/Qwen3.5-9B-GGUF,,1.04,other,,panel,jdm. (Dat) etw. (Akk) zeigen
412,0.9135,unsloth/Qwen3.5-9B-GGUF,,1.78,frame,,panel,das Leben
413,0.6476,unsloth/Qwen3.5-9B-GGUF,,6.18,construction,,panel,das Leben
414,0.5333,unsloth/Qwen3.5-9B-GGUF,,3.06,frame,,panel,das Leben
415,0.8542,unsloth/Qwen3.5-9B-GGUF,,5.61,frame,,panel,das Kind
416,0.8459,unsloth/Qwen3.5-9B-GGUF,,5.59,frame,,panel,das Kind
417,0.7164,unsloth/Qwen3.5-9B-GGUF,,1.02,frame,,panel,das Kind
418,0.5929,unsloth/Qwen3.5-9B-GGUF,,1.57,construction,,panel,etw./jdn. (Akk) nehmen
419,0.7573,unsloth/Qwen3.5-9B-GGUF,,0.63,construction,,panel,etw./jdn. (Akk) nehmen
420,0.3074,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,panel,etw./jdn. (Akk) nehmen
421,0.6029,unsloth/Qwen3.5-9B-GGUF,,2.52,construction,,panel,jdm. (Dat) etw. (Akk) bringen
422,0.3579,unsloth/Qwen3.5-9B-GGUF,,1.11,construction,,panel,jdm. (Dat) etw. (Akk) bringen
423,0.6073,unsloth/Qwen3.5-9B-GGUF,,5.18,frame,,panel,jdm. (Dat) etw. (Akk) bringen
424,0.8435,unsloth/Qwen3.5-9B-GGUF,,5.78,frame,,panel,das Problem
425,0.4528,unsloth/Qwen3.5-9B-GGUF,,10.14,frame,,panel,das Problem
426,0.9653,unsloth/Qwen3.5-9B-GGUF,,5.57,frame,,panel,das Problem
427,0.6777,unsloth/Qwen3.5-9B-GGUF,,0.69,frame,,panel,der Fall
428,0.2746,unsloth/Qwen3.5-9B-GGUF,,0.69,construction,,panel,der Fall
429,0.837,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,panel,der Fall
430,0.7582,unsloth/Qwen3.5-9B-GGUF,,6.29,frame,,panel,der Herr
431,0.4181,unsloth/Qwen3.5-9B-GGUF,,2.71,frame,,panel,der Herr
432,0.8452,unsloth/Qwen3.5-9B-GGUF,,7.85,frame,,panel,der Herr
433,0.7683,unsloth/Qwen3.5-9B-GGUF,,2.94,frame,,panel,das Thema
434,0.3821,unsloth/Qwen3.5-9B-GGUF,,2.74,frame,,panel,das Thema
435,0.6882,unsloth/Qwen3.5-9B-GGUF,,2.95,frame,,panel,das Thema
436,0.1094,unsloth/Qwen3.5-9B-GGUF,,0.85,other,,panel,jdm. (Dat) gehören
437,0.2015,unsloth/Qwen3.5-9B-GGUF,,0.64,other,,panel,jdm. (Dat) gehören
438,0.3524,unsloth/Qwen3.5-9B-GGUF,,3.08,other,,panel,jdm. (Dat) gehören
439,0.8657,unsloth/Qwen3.5-9B-GGUF,,5.98,frame,,panel,etw./jdn. (Akk) kennen
440,0.8233,unsloth/Qwen3.5-9B-GGUF,,1.34,frame,,panel,etw./jdn. (Akk) kennen
441,0.8195,unsloth/Qwen3.5-9B-GGUF,,6.13,frame,,panel,etw./jdn. (Akk) kennen
442,0.5868,unsloth/Qwen3.5-9B-GGUF,,0.78,frame,,panel,das Geld
443,0.7924,unsloth/Qwen3.5-9B-GGUF,,2.48,frame,,panel,das Geld
444,0.8608,unsloth/Qwen3.5-9B-GGUF,,2.67,frame,,panel,das Geld
445,0.9616,unsloth/Qwen3.5-9B-GGUF,,1.21,frame,,panel,jdm. (Dat) helfen
446,0.5728,unsloth/Qwen3.5-9B-GGUF,,1.75,frame,,panel,jdm. (Dat) helfen
447,0.7555,unsloth/Qwen3.5-9B-GGUF,,2.33,frame,,panel,jdm. (Dat) helfen
448,0.8462,unsloth/Qwen3.5-9B-GGUF,,1.08,frame,,panel,"lange, lang"
449,0.5493,unsloth/Qwen3.5-9B-GGUF,,0.83,frame,,panel,"lange, lang"
450,0.8629,unsloth/Qwen3.5-9B-GGUF,,0.73,frame,,panel,"lange, lang"
